Saturday,12,September,2026,22:31:20:00009-VCID:79F958E3F8D95B5B8C-802C,VCDS Version: Release 23.3.1 (x64),Data version: 20230421 DS346.2
03L 906 023 TB,ADVMB,R4 1.6l TDI   H43 9979,
,,G003,F0,G004,F0,G006,F0,G012,F0,G015,F0,G022,F0,G023,F0,G024,F0,G028,F0,G031,F0,G052,F0,G000,F0,

Marker,TIME,Loc. IDE00021,TIME,Loc. IDE00025,TIME,Loc. IDE00075,TIME,Loc. IDE00086,TIME,Loc. IDE00100-ENG101842,TIME,Loc. IDE00188-ENG102817,TIME,Loc. IDE00190-ENG100128,TIME,Loc. IDE00191-ENG103684,TIME,Loc. IDE00201-ENG102664,TIME,Loc. IDE00347,TIME,Loc. IDE00371-ENG100275,,,
,STAMP,Engine RPM,STAMP,Coolant temperature,STAMP,Vehicle speed,STAMP,Accelerator pedal position,STAMP,Engine torque-TQI_SP,STAMP,Fuel high-pressure: actual value-FUP_FIL,STAMP,Charge air pressure: specified value-MAP_SP_MMV,STAMP,Charge air pressure: actual value-MAP_MMV,STAMP,High fuel pressure: specified value-FUP_SP_KPA,STAMP,Air mass: actual value:,STAMP,Fuel consumption-FCO_T,,,
,, /min,, °C,, km/h,, %,, Nm,, MPa,, hPa,, hPa,, kPa,, g/s,, ml/s,,,
,2.27,4754,0.15,88,0.35,72,0.55,78.4,0.76,125.41,0.96,146.057,1.19,1429.58,1.43,1700.72,1.65,120861.816,1.85,96.61,2.05,0.5220,,,
,4.57,2999,2.49,88,2.69,72,2.91,78.4,3.13,5.16,3.32,48.730,3.52,1608.10,3.75,1547.82,3.95,116857.910,4.16,106.65,4.37,0.5455,,,
,6.87,3523,4.77,88,4.97,77,5.17,78.4,5.40,332.97,5.61,157.831,5.83,2312.74,6.03,2286.87,6.23,160052.490,6.43,99.65,6.65,0.5983,,,
,9.20,3992,7.08,88,7.29,91,7.52,78.4,7.73,325.91,7.94,162.170,8.16,2169.29,8.36,2242.59,8.57,161987.305,8.79,110.79,8.99,0.6923,,,
,11.55,3518,9.41,88,9.61,99,9.81,14.5,10.01,0.00,10.21,51.868,10.43,1576.84,10.67,1513.58,10.90,51995.850,11.11,64.00,11.33,0.6865,,,
,13.86,3008,11.77,88,11.98,86,12.17,14.5,12.40,0.00,12.61,51.959,12.81,1364.16,13.02,1356.61,13.23,51385.498,13.43,52.17,13.65,0.6810,,,
,16.14,2673,14.07,88,14.27,74,14.47,14.5,14.67,0.00,14.89,53.210,15.07,1295.50,15.28,1290.53,15.49,53991.699,15.71,44.93,15.93,0.6755,,,
,18.47,1060,16.35,89,16.57,66,16.77,14.5,16.97,0.00,17.19,51.453,17.41,1251.47,17.61,1250.15,17.83,40203.857,18.05,25.27,18.27,0.6673,,,
,20.81,4785,18.69,89,18.92,62,19.14,74.1,19.35,151.03,19.57,145.776,19.77,2316.72,19.97,1848.65,20.17,123822.021,20.39,99.16,20.60,0.6830,,,
,23.10,2944,21.01,90,21.22,60,21.43,78.4,21.65,0.00,21.85,145.685,22.05,1514.24,22.25,1573.77,22.46,51995.850,22.67,69.17,22.91,0.6923,,,
,25.39,899,23.31,90,23.51,58,23.71,14.5,23.91,0.00,24.11,36.316,24.31,1234.31,24.53,1216.48,24.74,32098.389,24.95,14.07,25.17,0.6840,,,
