Saturday,12,September,2026,22:45:34:00009-VCID:79F958E3F8D95B5B8C-802C,VCDS Version: Release 23.3.1 (x64),Data version: 20230421 DS346.2
03L 906 023 TB,ADVMB,R4 1.6l TDI   H43 9979,
,,G003,F0,G004,F0,G006,F0,G012,F0,G015,F0,G022,F0,G023,F0,G024,F0,G028,F0,G031,F0,G052,F0,G000,F0,

Marker,TIME,Loc. IDE00021,TIME,Loc. IDE00025,TIME,Loc. IDE00075,TIME,Loc. IDE00086,TIME,Loc. IDE00100-ENG101842,TIME,Loc. IDE00188-ENG102817,TIME,Loc. IDE00190-ENG100128,TIME,Loc. IDE00191-ENG103684,TIME,Loc. IDE00201-ENG102664,TIME,Loc. IDE00347,TIME,Loc. IDE00371-ENG100275,,,
,STAMP,Engine RPM,STAMP,Coolant temperature,STAMP,Vehicle speed,STAMP,Accelerator pedal position,STAMP,Engine torque-TQI_SP,STAMP,Fuel high-pressure: actual value-FUP_FIL,STAMP,Charge air pressure: specified value-MAP_SP_MMV,STAMP,Charge air pressure: actual value-MAP_MMV,STAMP,High fuel pressure: specified value-FUP_SP_KPA,STAMP,Air mass: actual value:,STAMP,Fuel consumption-FCO_T,,,
,, /min,, °C,, km/h,, %,, Nm,, MPa,, hPa,, hPa,, kPa,, g/s,, ml/s,,,
,0.62,1687,0.84,87,1.02,0,1.22,14.9,1.42,10.09,1.63,89.258,1.85,1335.80,2.05,1329.00,0.01,37969.971,0.19,22.34,0.39,0.3713,,,
,2.90,3033,3.12,87,3.32,0,3.52,25.9,3.73,8.69,3.93,53.778,4.13,1360.18,4.36,1344.51,2.26,83050.537,2.47,52.86,2.69,0.3723,,,
,5.16,3129,5.37,86,5.60,0,5.79,33.7,5.99,35.66,6.19,109.216,6.39,1540.36,6.62,1689.94,4.54,64422.607,4.74,46.09,4.95,0.3713,,,
,7.42,2627,7.63,86,7.83,18,8.03,78.8,8.25,179.28,8.47,144.733,8.68,2345.41,8.89,2286.70,6.82,116833.496,7.02,64.12,7.22,0.3883,,,
,9.75,4876,9.96,86,10.16,38,10.39,14.9,10.57,0.00,10.78,53.253,11.00,1393.76,11.21,1331.82,9.13,161987.305,9.33,108.51,9.54,0.4340,,,
,12.02,2415,12.22,86,12.43,36,12.65,21.2,12.87,11.19,13.05,60.028,13.26,1317.39,13.46,1324.69,11.41,58160.400,11.64,40.13,11.82,0.4308,,,
,14.27,2270,14.47,86,14.68,34,14.89,14.5,15.12,0.00,15.30,46.619,15.50,1188.13,15.70,1176.77,13.66,56909.180,13.88,40.02,14.07,0.4288,,,
,16.52,1921,16.72,85,16.92,26,17.14,14.5,17.36,0.00,17.55,37.280,17.75,1134.89,17.96,1132.99,15.91,44854.736,16.13,29.96,16.32,0.4243,,,
