Saturday,12,September,2026,22:43:09:00009-VCID:79F958E3F8D95B5B8C-802C,VCDS Version: Release 23.3.1 (x64),Data version: 20230421 DS346.2
03L 906 023 TB,ADVMB,R4 1.6l TDI   H43 9979,
,,G003,F0,G004,F0,G006,F0,G012,F0,G015,F0,G022,F0,G023,F0,G024,F0,G028,F0,G031,F0,G052,F0,G000,F0,

Marker,TIME,Loc. IDE00021,TIME,Loc. IDE00025,TIME,Loc. IDE00075,TIME,Loc. IDE00086,TIME,Loc. IDE00100-ENG101842,TIME,Loc. IDE00188-ENG102817,TIME,Loc. IDE00190-ENG100128,TIME,Loc. IDE00191-ENG103684,TIME,Loc. IDE00201-ENG102664,TIME,Loc. IDE00347,TIME,Loc. IDE00371-ENG100275,,,
,STAMP,Engine RPM,STAMP,Coolant temperature,STAMP,Vehicle speed,STAMP,Accelerator pedal position,STAMP,Engine torque-TQI_SP,STAMP,Fuel high-pressure: actual value-FUP_FIL,STAMP,Charge air pressure: specified value-MAP_SP_MMV,STAMP,Charge air pressure: actual value-MAP_MMV,STAMP,High fuel pressure: specified value-FUP_SP_KPA,STAMP,Air mass: actual value:,STAMP,Fuel consumption-FCO_T,,,
,, /min,, °C,, km/h,, %,, Nm,, MPa,, hPa,, hPa,, kPa,, g/s,, ml/s,,,
,1.91,782,2.13,87,2.36,0,0.18,14.5,0.40,32.78,0.62,35.675,0.84,1045.59,1.04,1045.59,1.26,35546.875,1.47,10.19,1.69,0.3670,,,
,4.28,780,4.48,87,4.68,0,2.59,14.5,2.80,32.78,3.02,35.553,3.23,1045.42,3.43,1045.34,3.63,35583.496,3.86,10.49,4.07,0.3643,,,
,6.59,783,6.79,87,7.00,0,4.88,14.5,5.10,33.16,5.31,35.547,5.50,1045.42,5.72,1045.34,5.94,35583.496,6.16,10.49,6.37,0.3625,,,
,8.83,2878,9.02,87,9.24,0,7.20,16.9,7.40,99.84,7.60,93.079,7.82,1109.93,8.01,1137.88,8.21,115313.721,8.42,58.44,8.62,0.3610,,,
,11.18,2748,11.39,87,11.61,0,9.46,31.8,9.67,14.94,9.88,66.656,10.11,1322.45,10.34,1327.76,10.55,63610.840,10.77,42.35,10.98,0.3590,,,
,13.46,2493,13.68,87,13.89,0,11.84,24.3,12.04,15.50,12.24,65.430,12.44,1364.91,12.65,1356.53,12.85,65228.271,13.06,43.57,13.26,0.3585,,,
,15.72,3324,15.92,87,16.14,24,14.10,27.5,14.30,16.72,14.51,64.697,14.71,1336.88,14.91,1336.88,15.11,64978.027,15.33,44.20,15.52,0.3590,,,
,18.08,4391,18.28,86,18.48,36,16.36,78.8,16.60,223.25,16.79,168.359,17.02,2032.89,17.24,1950.22,17.45,161987.305,17.66,106.48,17.87,0.4278,,,
,20.36,3243,20.57,86,20.76,51,18.68,78.8,18.89,23.44,19.11,63.098,19.33,1960.75,19.53,1906.11,19.73,161273.193,19.93,89.40,20.14,0.4678,,,
,22.69,918,22.90,86,23.11,45,20.96,14.5,21.16,0.00,21.38,42.139,21.61,1457.52,21.84,1363.99,22.05,33483.887,22.26,16.49,22.47,0.4648,,,
,24.98,913,25.18,85,25.38,38,23.34,14.5,23.54,25.75,23.74,32.001,23.95,1104.13,24.15,1098.82,24.36,32843.018,24.58,12.81,24.77,0.4620,,,
,27.34,922,27.55,85,27.76,32,25.60,14.5,25.82,27.34,26.03,33.313,26.24,1081.33,26.46,1080.00,26.68,33227.539,26.89,13.05,27.11,0.4585,,,
,29.62,920,29.83,85,30.02,26,27.97,14.5,28.18,28.16,28.39,34.332,28.60,1078.84,28.81,1078.59,29.01,34259.033,29.21,13.04,29.42,0.4560,,,
,31.89,916,32.11,85,32.34,19,30.23,14.5,30.43,28.63,30.63,35.345,30.85,1078.09,31.05,1078.18,31.26,35388.184,31.46,12.97,31.68,0.4538,,,
,34.24,915,34.45,85,34.65,15,32.55,14.5,32.77,28.88,32.98,36.090,33.19,1078.18,33.41,1078.43,33.62,36541.748,33.84,13.32,34.04,0.4505,,,
,36.55,918,36.77,86,36.98,11,34.86,14.5,35.08,31.41,35.27,36.963,35.48,1079.50,35.68,1079.25,35.90,36926.270,36.11,12.81,36.34,0.4485,,,
,38.83,921,39.02,86,39.23,3,37.18,14.5,37.39,32.03,37.60,36.627,37.82,1080.08,38.01,1079.92,38.21,36529.541,38.42,13.36,38.62,0.4463,,,
