Saturday,12,September,2026,22:36:42:00009-VCID:79F958E3F8D95B5B8C-802C,VCDS Version: Release 23.3.1 (x64),Data version: 20230421 DS346.2
03L 906 023 TB,ADVMB,R4 1.6l TDI   H43 9979,
,,G003,F0,G004,F0,G006,F0,G012,F0,G015,F0,G022,F0,G023,F0,G024,F0,G028,F0,G031,F0,G052,F0,G000,F0,

Marker,TIME,Loc. IDE00021,TIME,Loc. IDE00025,TIME,Loc. IDE00075,TIME,Loc. IDE00086,TIME,Loc. IDE00100-ENG101842,TIME,Loc. IDE00188-ENG102817,TIME,Loc. IDE00190-ENG100128,TIME,Loc. IDE00191-ENG103684,TIME,Loc. IDE00201-ENG102664,TIME,Loc. IDE00347,TIME,Loc. IDE00371-ENG100275,,,
,STAMP,Engine RPM,STAMP,Coolant temperature,STAMP,Vehicle speed,STAMP,Accelerator pedal position,STAMP,Engine torque-TQI_SP,STAMP,Fuel high-pressure: actual value-FUP_FIL,STAMP,Charge air pressure: specified value-MAP_SP_MMV,STAMP,Charge air pressure: actual value-MAP_MMV,STAMP,High fuel pressure: specified value-FUP_SP_KPA,STAMP,Air mass: actual value:,STAMP,Fuel consumption-FCO_T,,,
,, /min,, °C,, km/h,, %,, Nm,, MPa,, hPa,, hPa,, kPa,, g/s,, ml/s,,,
,0.19,1955,0.41,87,0.64,30,0.82,29.0,1.02,66.69,1.22,103.711,1.43,1716.39,1.65,1219.47,1.83,126605.225,2.04,51.25,0.01,0.3283,,,
,2.46,2472,2.66,87,2.88,41,3.08,74.1,3.28,328.31,3.49,156.219,3.71,2299.80,3.94,2131.56,4.18,161987.305,4.38,105.35,2.24,0.3388,,,
,4.79,4006,5.00,87,5.22,64,5.44,78.4,5.67,230.56,5.86,164.941,6.08,1753.71,6.30,1817.80,6.51,54132.080,6.71,67.80,4.59,0.3888,,,
,7.13,2848,7.34,87,7.54,73,7.74,78.4,7.94,333.53,8.16,153.467,8.35,2365.55,8.55,2356.68,8.76,157598.877,8.96,96.97,6.93,0.4490,,,
,9.43,3364,9.62,87,9.82,87,10.03,78.4,10.24,332.09,10.45,162.628,10.68,2211.58,10.91,2267.55,11.11,161987.305,11.32,106.04,9.19,0.5005,,,
,11.74,3865,11.95,87,12.17,99,12.36,78.4,12.58,226.00,12.79,163.574,13.00,2107.43,13.22,2061.41,13.44,161987.305,13.68,108.62,11.53,0.5600,,,
,14.08,4236,14.29,87,14.50,108,14.71,78.4,14.93,214.03,15.15,163.635,15.34,2031.15,15.54,1926.34,15.74,75903.320,15.94,65.47,13.87,0.6423,,,
,16.35,2949,16.55,87,16.75,106,16.96,14.5,17.18,0.00,17.39,54.346,17.61,1361.42,17.83,1346.66,18.05,53942.871,18.27,43.13,16.16,0.6635,,,
