Saturday,12,September,2026,22:26:26:00009-VCID:79F958E3F8D95B5B8C-802C,VCDS Version: Release 23.3.1 (x64),Data version: 20230421 DS346.2
03L 906 023 TB,ADVMB,R4 1.6l TDI   H43 9979,
,,G003,F0,G004,F0,G006,F0,G012,F0,G015,F0,G022,F0,G023,F0,G024,F0,G028,F0,G031,F0,G000,F0,G000,F0,

Marker,TIME,Loc. IDE00021,TIME,Loc. IDE00025,TIME,Loc. IDE00075,TIME,Loc. IDE00086,TIME,Loc. IDE00100-ENG101842,TIME,Loc. IDE00188-ENG102817,TIME,Loc. IDE00190-ENG100128,TIME,Loc. IDE00191-ENG103684,TIME,Loc. IDE00201-ENG102664,TIME,Loc. IDE00347,,,,,
,STAMP,Engine RPM,STAMP,Coolant temperature,STAMP,Vehicle speed,STAMP,Accelerator pedal position,STAMP,Engine torque-TQI_SP,STAMP,Fuel high-pressure: actual value-FUP_FIL,STAMP,Charge air pressure: specified value-MAP_SP_MMV,STAMP,Charge air pressure: actual value-MAP_MMV,STAMP,High fuel pressure: specified value-FUP_SP_KPA,STAMP,Air mass: actual value:,,,,,
,, /min,, °C,, km/h,, %,, Nm,, MPa,, hPa,, hPa,, kPa,, g/s,,,,,
,0.42,1255,0.64,89,0.84,9,1.05,23.9,1.26,53.66,1.48,59.991,1.69,1078.09,1.91,1146.33,0.02,55529.785,0.20,18.36,,,,,
,2.52,1807,2.72,89,2.94,15,3.16,36.1,3.38,68.69,3.59,106.122,3.81,1813.90,4.03,1469.63,2.12,63201.904,2.32,26.37,,,,,
,4.68,3177,4.90,88,5.11,29,5.32,59.6,5.52,205.47,5.73,158.447,5.95,1854.87,6.16,1797.82,4.25,134893.799,4.47,86.67,,,,,
,6.80,2692,7.00,88,7.21,40,7.41,77.6,7.61,324.84,7.81,153.247,8.02,2328.82,8.23,2291.84,6.37,51995.850,6.59,73.11,,,,,
,8.91,3814,9.10,88,9.31,61,9.53,78.4,9.74,255.44,9.94,167.444,10.16,2005.03,10.38,1940.44,8.45,161798.096,8.67,107.81,,,,,
,10.99,4698,11.19,88,11.42,72,11.62,14.5,11.84,66.63,12.06,152.905,12.28,2427.74,12.49,2396.90,10.58,141979.980,10.78,108.11,,,,,
,13.14,3145,13.35,88,13.55,81,13.76,78.8,13.97,333.03,14.18,161.652,14.38,2266.63,14.58,2281.89,12.70,154650.879,12.93,98.83,,,,,
,15.19,3620,15.40,88,15.59,93,15.81,22.0,16.03,1.28,16.25,56.732,16.46,1712.83,16.68,1952.71,14.79,161987.305,14.99,105.19,,,,,
,17.30,2603,17.51,88,17.73,98,17.94,78.8,18.16,334.59,18.35,148.364,18.55,2476.41,18.75,2375.42,16.89,146368.408,17.09,86.11,,,,,
,19.39,2703,19.58,88,19.78,97,19.99,14.5,20.20,0.00,20.44,37.891,20.67,1283.73,20.87,1262.09,18.95,88415.527,19.17,55.10,,,,,
,21.53,3207,21.75,88,21.97,81,22.18,14.5,22.38,0.00,22.59,50.562,22.81,1355.29,23.02,1353.05,21.09,48693.848,21.31,46.90,,,,,
,23.66,2795,23.85,89,24.05,69,24.25,14.5,24.46,0.00,24.67,51.276,24.88,1294.01,25.08,1287.21,23.23,51617.432,23.44,48.60,,,,,
,25.72,2547,25.94,89,26.16,63,26.36,14.5,26.57,0.00,26.78,48.059,26.99,1239.45,27.20,1235.06,25.28,50390.625,25.50,42.68,,,,,
,27.83,2318,28.03,89,28.24,57,28.44,14.5,28.65,0.00,28.85,43.823,29.05,1211.76,29.25,1208.44,27.43,46075.439,27.64,38.15,,,,,
,29.90,996,30.11,90,30.33,53,30.54,14.5,30.75,0.00,30.96,32.562,31.17,1126.68,31.37,1133.81,29.45,34631.348,29.69,19.27,,,,,
,31.97,1902,32.19,90,32.40,47,32.61,14.5,32.83,0.00,33.05,47.485,33.27,1177.18,33.47,1188.04,31.57,35174.561,31.77,27.13,,,,,
