Saturday,12,September,2026,22:24:16:00009-VCID:79F958E3F8D95B5B8C-802C,VCDS Version: Release 23.3.1 (x64),Data version: 20230421 DS346.2
03L 906 023 TB,ADVMB,R4 1.6l TDI   H43 9979,
,,G003,F0,G004,F0,G006,F0,G012,F0,G015,F0,G022,F0,G023,F0,G024,F0,G028,F0,G031,F0,G000,F0,G000,F0,

Marker,TIME,Loc. IDE00021,TIME,Loc. IDE00025,TIME,Loc. IDE00075,TIME,Loc. IDE00086,TIME,Loc. IDE00100-ENG101842,TIME,Loc. IDE00188-ENG102817,TIME,Loc. IDE00190-ENG100128,TIME,Loc. IDE00191-ENG103684,TIME,Loc. IDE00201-ENG102664,TIME,Loc. IDE00347,,,,,
,STAMP,Engine RPM,STAMP,Coolant temperature,STAMP,Vehicle speed,STAMP,Accelerator pedal position,STAMP,Engine torque-TQI_SP,STAMP,Fuel high-pressure: actual value-FUP_FIL,STAMP,Charge air pressure: specified value-MAP_SP_MMV,STAMP,Charge air pressure: actual value-MAP_MMV,STAMP,High fuel pressure: specified value-FUP_SP_KPA,STAMP,Air mass: actual value:,,,,,
,, /min,, °C,, km/h,, %,, Nm,, MPa,, hPa,, hPa,, kPa,, g/s,,,,,
,1.46,1559,1.70,88,1.89,40,0.01,34.5,0.20,77.00,0.42,76.910,0.61,1125.85,0.82,1138.46,1.04,77416.992,1.25,23.25,,,,,
,3.58,1793,3.78,88,3.98,47,2.10,36.1,2.32,157.81,2.53,121.045,2.74,2277.91,2.95,1363.08,3.18,127642.822,3.37,45.20,,,,,
,5.62,2308,5.83,88,6.03,61,4.20,78.4,4.42,337.69,4.61,140.216,4.81,2497.56,5.01,2605.85,5.22,142462.158,5.44,75.26,,,,,
,7.73,2862,7.96,89,8.20,75,6.23,78.4,6.45,335.63,6.67,147.565,6.85,2493.99,7.07,2461.74,7.29,149444.580,7.51,89.04,,,,,
,9.88,3395,10.09,89,10.30,87,8.40,78.4,8.61,333.91,8.82,157.764,9.04,2354.69,9.24,2327.99,9.46,159130.859,9.69,97.92,,,,,
,11.93,3832,12.12,89,12.34,98,10.50,78.4,10.70,333.44,10.93,162.439,11.11,2202.70,11.31,2277.33,11.51,161987.305,11.71,108.35,,,,,
,14.06,2735,14.27,89,14.49,98,12.55,78.4,12.76,227.09,12.98,164.941,13.21,2042.76,13.45,1853.46,13.64,65893.555,13.85,56.22,,,,,
,16.12,2507,16.33,89,16.53,90,14.70,14.5,14.93,0.00,15.11,50.812,15.31,1352.47,15.51,1335.55,15.72,50048.828,15.94,42.10,,,,,
,18.19,1145,18.37,89,18.58,77,16.74,14.5,16.95,0.00,17.17,42.938,17.36,1260.01,17.56,1242.10,17.76,32904.053,17.97,18.90,,,,,
,20.26,1686,20.47,90,20.70,65,18.78,14.5,18.98,0.00,19.20,30.853,19.43,1121.29,19.62,1119.47,19.84,31945.801,20.05,22.52,,,,,
,22.40,2183,22.62,90,22.84,53,20.90,14.5,21.11,0.00,21.32,46.057,21.54,1195.67,21.74,1203.22,21.96,43499.756,22.20,35.28,,,,,
,24.56,917,24.77,90,24.97,46,23.05,14.5,23.26,0.00,23.48,29.742,23.71,1156.37,23.94,1135.80,24.14,29333.496,24.35,12.88,,,,,
,26.60,915,26.81,90,27.02,37,25.19,14.5,25.37,4.72,25.58,28.845,25.78,1075.77,25.98,1073.37,26.20,28991.699,26.40,12.93,,,,,
,28.75,909,28.96,90,29.20,22,27.23,14.5,27.46,5.94,27.70,28.479,27.90,1065.82,28.12,1066.57,28.33,29132.080,28.54,12.96,,,,,
,30.83,914,31.03,90,31.23,13,29.39,14.5,29.60,23.34,29.81,28.986,30.01,1071.46,30.22,1072.54,30.44,29016.113,30.62,13.21,,,,,
,32.96,1315,33.20,90,33.40,13,31.46,14.5,31.70,23.03,31.89,28.931,32.10,1074.69,32.32,1074.78,32.54,32214.355,32.76,16.36,,,,,
,35.10,1059,35.32,90,35.54,16,33.60,27.1,33.81,45.56,34.02,52.515,34.23,1151.81,34.47,1152.47,34.66,45941.162,34.88,15.67,,,,,
,37.23,1174,37.45,90,37.64,18,35.75,23.5,35.97,47.91,36.18,41.406,36.39,1158.69,36.60,1159.85,36.81,41485.596,37.02,18.11,,,,,
,39.28,1211,39.48,90,39.72,18,37.84,22.0,38.04,25.59,38.25,38.379,38.46,1176.60,38.67,1176.02,38.87,37347.412,39.07,19.01,,,,,
