Saturday,12,September,2026,22:12:04:00009-VCID:79F958E3F8D95B5B8C-802C,VCDS Version: Release 23.3.1 (x64),Data version: 20230421 DS346.2
03L 906 023 TB,ADVMB,R4 1.6l TDI   H43 9979,
,,G003,F0,G004,F0,G006,F0,G012,F0,G015,F0,G022,F0,G023,F0,G024,F0,G028,F0,G031,F0,G000,F0,G000,F0,

Marker,TIME,Loc. IDE00021,TIME,Loc. IDE00025,TIME,Loc. IDE00075,TIME,Loc. IDE00086,TIME,Loc. IDE00100-ENG101842,TIME,Loc. IDE00188-ENG102817,TIME,Loc. IDE00190-ENG100128,TIME,Loc. IDE00191-ENG103684,TIME,Loc. IDE00201-ENG102664,TIME,Loc. IDE00347,,,,,
,STAMP,Engine RPM,STAMP,Coolant temperature,STAMP,Vehicle speed,STAMP,Accelerator pedal position,STAMP,Engine torque-TQI_SP,STAMP,Fuel high-pressure: actual value-FUP_FIL,STAMP,Charge air pressure: specified value-MAP_SP_MMV,STAMP,Charge air pressure: actual value-MAP_MMV,STAMP,High fuel pressure: specified value-FUP_SP_KPA,STAMP,Air mass: actual value:,,,,,
,, /min,, °C,, km/h,, %,, Nm,, MPa,, hPa,, hPa,, kPa,, g/s,,,,,
,1.46,780,1.67,38,1.88,0,2.09,14.5,0.16,31.88,0.38,28.503,0.60,1005.71,0.81,1005.96,1.03,28387.451,1.24,11.36,,,,,
,3.56,780,3.77,38,3.96,0,4.16,14.5,2.30,31.78,2.52,28.320,2.72,1006.29,2.94,1006.62,3.15,28356.934,3.36,11.43,,,,,
,5.66,781,5.87,39,6.08,0,6.29,14.5,4.37,31.28,4.58,27.960,4.80,1006.45,5.03,1006.54,5.24,28393.555,5.46,11.21,,,,,
,7.79,780,8.00,39,8.20,0,8.40,14.5,6.51,31.28,6.72,28.186,6.94,1006.45,7.16,1006.78,7.37,28369.141,7.58,11.36,,,,,
,9.82,782,10.04,39,10.24,0,10.45,14.5,8.61,31.44,8.81,28.314,9.02,1006.78,9.21,1007.28,9.42,28369.141,9.62,11.27,,,,,
,11.91,780,12.12,39,12.32,0,12.54,14.5,10.65,30.97,10.85,28.430,11.07,1007.03,11.30,1006.95,11.52,28393.555,11.71,11.37,,,,,
,14.06,782,14.28,39,14.49,0,14.70,14.5,12.74,31.09,12.94,28.436,13.16,1007.28,13.38,1006.95,13.59,28387.451,13.83,11.01,,,,,
,16.19,781,16.40,39,16.60,0,16.81,14.5,14.91,31.28,15.13,28.369,15.34,1007.12,15.56,1007.28,15.78,28363.037,15.98,10.96,,,,,
,18.23,780,18.43,39,18.63,0,18.83,14.5,17.03,31.03,17.21,28.436,17.41,1007.20,17.62,1007.28,17.82,28387.451,18.03,11.31,,,,,
,20.30,781,20.50,40,20.70,0,20.90,14.5,19.05,31.03,19.27,28.345,19.46,1007.78,19.66,1007.53,19.87,28375.244,20.07,10.97,,,,,
,22.33,780,22.57,40,22.79,0,22.99,14.5,21.11,30.91,21.31,28.406,21.53,1007.45,21.71,1007.86,21.91,28424.072,22.13,11.30,,,,,
,24.52,781,24.73,40,24.93,0,25.14,14.5,23.21,31.41,23.43,28.571,23.64,1008.03,23.85,1007.61,24.08,28417.969,24.31,11.37,,,,,
,26.57,783,26.80,40,26.98,0,27.18,14.5,25.34,31.19,25.56,28.308,25.75,1008.03,25.95,1008.36,26.15,28424.072,26.35,11.28,,,,,
,28.60,779,28.82,40,29.06,0,29.25,14.5,27.39,31.44,27.59,28.662,27.80,1008.44,27.99,1008.44,28.19,28405.762,28.40,11.16,,,,,
,30.70,745,30.90,40,31.10,0,31.32,14.5,29.46,31.19,29.67,28.491,29.88,1008.61,30.09,1008.77,30.31,28387.451,30.50,11.23,,,,,
