Sunday,13,September,2026,21:25:23:00009-VCID:79F958E3F8D95B5B8C-802C,VCDS Version: Release 23.3.1 (x64),Data version: 20230421 DS346.2
03L 906 023 TB,ADVMB,R4 1.6l TDI   H43 9979,
,,G003,F0,G006,F0,G012,F0,G015,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,

Marker,TIME,Loc. IDE00021,TIME,Loc. IDE00075,TIME,Loc. IDE00086,TIME,Loc. IDE00100-ENG101842,,,,,,,,,,,,,,,,,
,STAMP,Engine RPM,STAMP,Vehicle speed,STAMP,Accelerator pedal position,STAMP,Engine torque-TQI_SP,,,,,,,,,,,,,,,,,
,, /min,, km/h,, %,, Nm,,,,,,,,,,,,,,,,,
,0.01,907,0.02,7,0.02,14.5,0.02,26.44,,,,,,,,,,,,,,,,,
,0.20,908,0.21,6,0.21,14.5,0.21,26.94,,,,,,,,,,,,,,,,,
,0.40,908,0.41,5,0.41,14.5,0.41,27.53,,,,,,,,,,,,,,,,,
,0.60,910,0.60,4,0.61,14.5,0.61,27.47,,,,,,,,,,,,,,,,,
,0.79,911,0.80,3,0.80,14.5,0.80,27.63,,,,,,,,,,,,,,,,,
,0.98,913,0.98,2,0.99,14.5,0.99,27.78,,,,,,,,,,,,,,,,,
,1.18,916,1.18,1,1.19,14.5,1.19,27.22,,,,,,,,,,,,,,,,,
,1.37,912,1.37,0,1.38,14.5,1.38,27.16,,,,,,,,,,,,,,,,,
,1.57,906,1.57,0,1.58,14.5,1.58,26.19,,,,,,,,,,,,,,,,,
,1.77,891,1.78,0,1.78,31.0,1.78,26.19,,,,,,,,,,,,,,,,,
,1.96,1219,1.96,0,1.97,76.1,1.97,90.59,,,,,,,,,,,,,,,,,
,2.15,1792,2.15,0,2.16,78.4,2.16,129.94,,,,,,,,,,,,,,,,,
,2.34,2389,2.34,0,2.35,78.8,2.35,157.03,,,,,,,,,,,,,,,,,
,2.55,2721,2.56,0,2.56,78.4,2.56,28.75,,,,,,,,,,,,,,,,,
,2.76,2731,2.76,0,2.76,78.4,2.76,2.44,,,,,,,,,,,,,,,,,
,2.96,2700,2.97,0,2.97,78.4,2.97,7.59,,,,,,,,,,,,,,,,,
,3.14,2661,3.14,0,3.14,78.8,3.14,48.84,,,,,,,,,,,,,,,,,
,3.35,2757,3.35,0,3.36,78.8,3.36,0.00,,,,,,,,,,,,,,,,,
,3.55,2690,3.56,0,3.56,78.8,3.56,6.19,,,,,,,,,,,,,,,,,
,3.76,2689,3.76,0,3.76,78.8,3.77,54.41,,,,,,,,,,,,,,,,,
,3.96,2568,3.96,0,3.97,78.8,3.97,148.28,,,,,,,,,,,,,,,,,
,4.16,2594,4.17,2,4.17,78.8,4.17,189.09,,,,,,,,,,,,,,,,,
,4.36,2594,4.36,4,4.37,78.8,4.37,126.00,,,,,,,,,,,,,,,,,
