Sunday,13,September,2026,21:27:23:00009-VCID:79F958E3F8D95B5B8C-802C,VCDS Version: Release 23.3.1 (x64),Data version: 20230421 DS346.2
03L 906 023 TB,ADVMB,R4 1.6l TDI   H43 9979,
,,G003,F0,G006,F0,G012,F0,G015,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,

Marker,TIME,Loc. IDE00021,TIME,Loc. IDE00075,TIME,Loc. IDE00086,TIME,Loc. IDE00100-ENG101842,,,,,,,,,,,,,,,,,
,STAMP,Engine RPM,STAMP,Vehicle speed,STAMP,Accelerator pedal position,STAMP,Engine torque-TQI_SP,,,,,,,,,,,,,,,,,
,, /min,, km/h,, %,, Nm,,,,,,,,,,,,,,,,,
,0.01,780,0.01,0,0.01,14.5,0.01,18.44,,,,,,,,,,,,,,,,,
,0.19,779,0.19,0,0.20,14.5,0.20,18.81,,,,,,,,,,,,,,,,,
,0.39,780,0.39,0,0.39,14.5,0.40,18.44,,,,,,,,,,,,,,,,,
,0.59,778,0.59,0,0.60,14.5,0.60,18.81,,,,,,,,,,,,,,,,,
,0.80,780,0.80,0,0.80,14.5,0.80,18.63,,,,,,,,,,,,,,,,,
,1.00,780,1.01,0,1.01,14.5,1.01,18.63,,,,,,,,,,,,,,,,,
,1.20,779,1.20,0,1.21,14.5,1.21,25.69,,,,,,,,,,,,,,,,,
,1.40,1227,1.41,0,1.41,74.1,1.41,88.81,,,,,,,,,,,,,,,,,
,1.60,1844,1.61,0,1.61,78.4,1.61,128.69,,,,,,,,,,,,,,,,,
,1.80,2507,1.80,0,1.80,78.8,1.81,149.28,,,,,,,,,,,,,,,,,
,1.99,2723,1.99,0,1.99,78.8,2.00,27.34,,,,,,,,,,,,,,,,,
,2.18,2738,2.18,0,2.19,78.8,2.19,2.97,,,,,,,,,,,,,,,,,
,2.38,2725,2.38,0,2.39,78.8,2.39,3.41,,,,,,,,,,,,,,,,,
,2.57,2656,2.57,0,2.58,78.8,2.58,58.69,,,,,,,,,,,,,,,,,
,2.77,2720,2.78,0,2.78,78.8,2.78,6.53,,,,,,,,,,,,,,,,,
,2.98,2725,2.98,0,2.99,78.8,2.99,0.47,,,,,,,,,,,,,,,,,
,3.16,2671,3.17,0,3.17,78.8,3.17,33.38,,,,,,,,,,,,,,,,,
,3.35,2702,3.35,0,3.36,78.8,3.36,29.59,,,,,,,,,,,,,,,,,
,3.55,2732,3.55,0,3.56,78.8,3.56,0.00,,,,,,,,,,,,,,,,,
,3.74,2685,3.74,0,3.75,78.8,3.75,7.88,,,,,,,,,,,,,,,,,
,3.93,2664,3.93,0,3.94,79.2,3.94,106.19,,,,,,,,,,,,,,,,,
,4.11,2757,4.11,0,4.12,79.2,4.12,0.00,,,,,,,,,,,,,,,,,
,4.31,2509,4.31,2,4.32,78.8,4.32,200.16,,,,,,,,,,,,,,,,,
