Sunday,13,September,2026,21:23:09:00009-VCID:79F958E3F8D95B5B8C-802C,VCDS Version: Release 23.3.1 (x64),Data version: 20230421 DS346.2
03L 906 023 TB,ADVMB,R4 1.6l TDI   H43 9979,
,,G003,F0,G006,F0,G012,F0,G015,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,

Marker,TIME,Loc. IDE00021,TIME,Loc. IDE00075,TIME,Loc. IDE00086,TIME,Loc. IDE00100-ENG101842,,,,,,,,,,,,,,,,,
,STAMP,Engine RPM,STAMP,Vehicle speed,STAMP,Accelerator pedal position,STAMP,Engine torque-TQI_SP,,,,,,,,,,,,,,,,,
,, /min,, km/h,, %,, Nm,,,,,,,,,,,,,,,,,
,0.01,1537,0.01,39,0.01,31.8,0.01,50.50,,,,,,,,,,,,,,,,,
,0.21,1540,0.21,39,0.22,32.9,0.22,71.88,,,,,,,,,,,,,,,,,
,0.41,1560,0.41,39,0.42,36.5,0.42,84.81,,,,,,,,,,,,,,,,,
,0.62,1574,0.62,39,0.62,42.0,0.62,132.50,,,,,,,,,,,,,,,,,
,0.81,1590,0.81,40,0.82,50.6,0.82,181.88,,,,,,,,,,,,,,,,,
,1.00,1610,1.01,40,1.01,64.7,1.01,194.34,,,,,,,,,,,,,,,,,
,1.20,1641,1.20,41,1.21,72.2,1.21,205.47,,,,,,,,,,,,,,,,,
,1.39,1667,1.39,42,1.40,78.0,1.40,216.25,,,,,,,,,,,,,,,,,
,1.57,1694,1.57,42,1.58,78.0,1.58,226.97,,,,,,,,,,,,,,,,,
,1.76,1725,1.76,43,1.77,78.4,1.77,241.63,,,,,,,,,,,,,,,,,
,1.95,1761,1.95,44,1.96,78.4,1.96,259.28,,,,,,,,,,,,,,,,,
,2.14,1816,2.14,45,2.15,78.4,2.15,327.13,,,,,,,,,,,,,,,,,
,2.32,1853,2.32,46,2.33,78.4,2.33,338.91,,,,,,,,,,,,,,,,,
,2.51,1897,2.51,48,2.52,78.4,2.52,338.69,,,,,,,,,,,,,,,,,
,2.70,1950,2.70,49,2.70,78.4,2.70,337.72,,,,,,,,,,,,,,,,,
,2.91,2011,2.91,50,2.92,78.4,2.92,337.41,,,,,,,,,,,,,,,,,
,3.12,2062,3.12,52,3.13,78.4,3.13,337.63,,,,,,,,,,,,,,,,,
,3.31,2127,3.32,53,3.32,78.4,3.32,337.09,,,,,,,,,,,,,,,,,
,3.50,2178,3.50,55,3.51,78.4,3.51,337.09,,,,,,,,,,,,,,,,,
,3.69,2237,3.69,56,3.70,78.0,3.70,336.72,,,,,,,,,,,,,,,,,
,3.90,2298,3.91,57,3.91,78.4,3.91,336.50,,,,,,,,,,,,,,,,,
,4.09,2346,4.09,59,4.09,78.4,4.09,336.44,,,,,,,,,,,,,,,,,
,4.28,2407,4.28,60,4.28,78.4,4.29,335.91,,,,,,,,,,,,,,,,,
