Sunday,13,September,2026,21:09:46:00009-VCID:79F958E3F8D95B5B8C-802C,VCDS Version: Release 23.3.1 (x64),Data version: 20230421 DS346.2
03L 906 023 TB,ADVMB,R4 1.6l TDI   H43 9979,
,,G003,F0,G006,F0,G012,F0,G015,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,

Marker,TIME,Loc. IDE00021,TIME,Loc. IDE00075,TIME,Loc. IDE00086,TIME,Loc. IDE00100-ENG101842,,,,,,,,,,,,,,,,,
,STAMP,Engine RPM,STAMP,Vehicle speed,STAMP,Accelerator pedal position,STAMP,Engine torque-TQI_SP,,,,,,,,,,,,,,,,,
,, /min,, km/h,, %,, Nm,,,,,,,,,,,,,,,,,
,0.16,1489,0.16,22,0.17,31.0,0.17,47.94,,,,,,,,,,,,,,,,,
,0.36,1506,0.36,23,0.36,31.4,0.36,47.31,,,,,,,,,,,,,,,,,
,0.55,1528,0.55,23,0.55,31.8,0.56,49.03,,,,,,,,,,,,,,,,,
,0.74,1553,0.74,23,0.74,31.8,0.74,46.03,,,,,,,,,,,,,,,,,
,0.94,1573,0.95,24,0.95,31.8,0.95,48.38,,,,,,,,,,,,,,,,,
,1.14,1602,1.15,24,1.15,31.8,1.15,46.25,,,,,,,,,,,,,,,,,
,1.35,1641,1.35,24,1.36,40.0,1.36,96.28,,,,,,,,,,,,,,,,,
,1.56,1693,1.56,25,1.56,55.3,1.56,159.50,,,,,,,,,,,,,,,,,
,1.76,1748,1.77,26,1.77,68.2,1.77,175.84,,,,,,,,,,,,,,,,,
,1.97,1800,1.98,27,1.98,77.3,1.98,192.25,,,,,,,,,,,,,,,,,
,2.17,1886,2.18,28,2.18,78.4,2.18,202.94,,,,,,,,,,,,,,,,,
,2.38,1961,2.39,29,2.39,78.4,2.39,218.22,,,,,,,,,,,,,,,,,
,2.57,2052,2.58,31,2.58,78.4,2.58,232.00,,,,,,,,,,,,,,,,,
,2.78,2151,2.79,32,2.79,78.0,2.79,260.38,,,,,,,,,,,,,,,,,
,2.98,2292,2.98,34,2.99,78.4,2.99,338.28,,,,,,,,,,,,,,,,,
,3.18,2449,3.19,37,3.19,78.4,3.19,331.34,,,,,,,,,,,,,,,,,
,3.38,2609,3.38,39,3.39,78.4,3.39,328.69,,,,,,,,,,,,,,,,,
,3.57,2736,3.58,41,3.58,78.4,3.58,332.16,,,,,,,,,,,,,,,,,
,3.77,2903,3.78,43,3.78,78.4,3.78,333.69,,,,,,,,,,,,,,,,,
,3.97,3037,3.98,46,3.98,78.4,3.98,337.97,,,,,,,,,,,,,,,,,
,4.16,3185,4.17,48,4.17,78.4,4.17,334.16,,,,,,,,,,,,,,,,,
,4.36,3347,4.36,50,4.37,78.4,4.37,333.00,,,,,,,,,,,,,,,,,
,4.55,3499,4.56,52,4.56,78.4,4.56,320.41,,,,,,,,,,,,,,,,,
