Sunday,13,September,2026,21:06:29:00009-VCID:79F958E3F8D95B5B8C-802C,VCDS Version: Release 23.3.1 (x64),Data version: 20230421 DS346.2
03L 906 023 TB,ADVMB,R4 1.6l TDI   H43 9979,
,,G003,F0,G006,F0,G012,F0,G015,F0,G024,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,

Marker,TIME,Loc. IDE00021,TIME,Loc. IDE00075,TIME,Loc. IDE00086,TIME,Loc. IDE00100-ENG101842,TIME,Loc. IDE00191-ENG103684,,,,,,,,,,,,,,,
,STAMP,Engine RPM,STAMP,Vehicle speed,STAMP,Accelerator pedal position,STAMP,Engine torque-TQI_SP,STAMP,Charge air pressure: actual value-MAP_MMV,,,,,,,,,,,,,,,
,, /min,, km/h,, %,, Nm,, hPa,,,,,,,,,,,,,,,
,0.01,916,0.01,2,0.01,14.5,0.01,20.28,0.02,1054.88,,,,,,,,,,,,,,,
,0.18,919,0.19,1,0.19,14.5,0.19,19.94,0.19,1054.46,,,,,,,,,,,,,,,
,0.37,920,0.37,1,0.37,14.5,0.37,19.56,0.38,1054.21,,,,,,,,,,,,,,,
,0.56,920,0.56,0,0.57,14.5,0.57,18.53,0.57,1054.63,,,,,,,,,,,,,,,
,0.76,911,0.76,0,0.77,14.5,0.77,17.59,0.77,1054.71,,,,,,,,,,,,,,,
,0.95,894,0.95,0,0.95,14.5,0.95,17.25,0.95,1054.05,,,,,,,,,,,,,,,
,1.14,869,1.15,0,1.15,14.5,1.15,18.13,1.15,1054.05,,,,,,,,,,,,,,,
,1.34,850,1.34,0,1.35,14.5,1.35,18.50,1.35,1052.39,,,,,,,,,,,,,,,
,1.54,826,1.55,0,1.55,14.5,1.55,19.31,1.55,1050.98,,,,,,,,,,,,,,,
,1.73,805,1.73,0,1.74,14.5,1.74,19.97,1.74,1049.40,,,,,,,,,,,,,,,
,1.92,788,1.93,0,1.93,14.5,1.93,109.91,1.93,1047.08,,,,,,,,,,,,,,,
,2.12,1296,2.12,0,2.13,49.8,2.13,94.69,2.13,1044.18,,,,,,,,,,,,,,,
,2.32,1983,2.33,0,2.33,61.6,2.33,137.16,2.33,1072.62,,,,,,,,,,,,,,,
,2.54,2649,2.54,0,2.55,62.7,2.55,124.69,2.55,1171.21,,,,,,,,,,,,,,,
,2.73,2743,2.73,0,2.73,53.7,2.74,12.09,2.74,1293.35,,,,,,,,,,,,,,,
,2.93,2659,2.93,0,2.94,53.7,2.94,82.13,2.94,1320.05,,,,,,,,,,,,,,,
,3.13,2760,3.13,0,3.14,58.0,3.14,0.00,3.14,1333.65,,,,,,,,,,,,,,,
,3.33,2710,3.34,0,3.34,58.0,3.34,5.72,3.34,1372.62,,,,,,,,,,,,,,,
,3.54,2648,3.54,0,3.54,58.4,3.54,76.75,3.54,1374.61,,,,,,,,,,,,,,,
,3.72,2712,3.72,0,3.73,58.0,3.73,11.41,3.73,1361.34,,,,,,,,,,,,,,,
,3.92,2748,3.92,0,3.93,58.0,3.93,0.00,3.93,1368.72,,,,,,,,,,,,,,,
,4.11,2699,4.11,0,4.12,78.8,4.12,6.59,4.12,1375.85,,,,,,,,,,,,,,,
,4.31,2612,4.31,0,4.32,78.8,4.32,166.25,4.32,1390.69,,,,,,,,,,,,,,,
,4.50,2733,4.50,0,4.51,78.8,4.51,0.00,4.51,1478.00,,,,,,,,,,,,,,,
,4.69,2539,4.69,2,4.70,78.8,4.70,191.78,4.70,1576.43,,,,,,,,,,,,,,,
,4.89,2564,4.90,3,4.90,78.8,4.90,209.41,4.90,1681.73,,,,,,,,,,,,,,,
,5.08,2618,5.08,5,5.09,78.8,5.09,89.94,5.09,1880.49,,,,,,,,,,,,,,,
,5.29,2531,5.29,7,5.29,78.8,5.29,297.56,5.29,2037.53,,,,,,,,,,,,,,,
,5.48,2649,5.48,10,5.49,78.8,5.49,38.09,5.49,2119.87,,,,,,,,,,,,,,,
,5.68,2482,5.68,13,5.69,78.8,5.69,332.50,5.69,2158.76,,,,,,,,,,,,,,,
,5.89,2854,5.89,16,5.90,78.8,5.90,283.72,5.90,2188.28,,,,,,,,,,,,,,,
,6.09,3472,6.10,25,6.10,78.8,6.10,313.44,6.10,2322.77,,,,,,,,,,,,,,,
,6.30,4149,6.30,32,6.31,78.8,6.31,311.13,6.31,2175.26,,,,,,,,,,,,,,,
,6.49,4580,6.50,37,6.50,78.8,6.50,266.31,6.50,2059.09,,,,,,,,,,,,,,,
,6.69,4765,6.70,35,6.70,78.8,6.70,211.94,6.70,1936.79,,,,,,,,,,,,,,,
,6.91,4598,6.91,32,6.92,78.8,6.92,197.28,6.92,1830.32,,,,,,,,,,,,,,,
,7.10,4567,7.10,36,7.11,78.8,7.11,195.88,7.11,1817.55,,,,,,,,,,,,,,,
,7.31,4659,7.31,36,7.32,78.8,7.32,154.91,7.32,1826.26,,,,,,,,,,,,,,,
,7.51,4783,7.51,38,7.52,78.8,7.52,18.06,7.52,1747.40,,,,,,,,,,,,,,,
,7.72,4685,7.72,38,7.72,14.5,7.72,5.59,7.72,1690.19,,,,,,,,,,,,,,,
,7.91,4340,7.92,38,7.92,14.5,7.92,60.47,7.92,1650.31,,,,,,,,,,,,,,,
,8.11,4243,8.11,39,8.11,72.9,8.12,195.16,8.12,1762.25,,,,,,,,,,,,,,,
,8.30,3634,8.30,41,8.31,78.8,8.31,236.00,8.31,1970.29,,,,,,,,,,,,,,,
