Sunday,13,September,2026,21:03:23:00009-VCID:79F958E3F8D95B5B8C-802C,VCDS Version: Release 23.3.1 (x64),Data version: 20230421 DS346.2
03L 906 023 TB,ADVMB,R4 1.6l TDI   H43 9979,
,,G003,F0,G006,F0,G012,F0,G015,F0,G023,F0,G024,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,

Marker,TIME,Loc. IDE00021,TIME,Loc. IDE00075,TIME,Loc. IDE00086,TIME,Loc. IDE00100-ENG101842,TIME,Loc. IDE00190-ENG100128,TIME,Loc. IDE00191-ENG103684,,,,,,,,,,,,,
,STAMP,Engine RPM,STAMP,Vehicle speed,STAMP,Accelerator pedal position,STAMP,Engine torque-TQI_SP,STAMP,Charge air pressure: specified value-MAP_SP_MMV,STAMP,Charge air pressure: actual value-MAP_MMV,,,,,,,,,,,,,
,, /min,, km/h,, %,, Nm,, hPa,, hPa,,,,,,,,,,,,,
,0.01,1243,0.01,46,0.01,28.6,0.01,53.75,0.01,1217.06,0.01,1217.06,,,,,,,,,,,,,
,0.21,1237,0.21,46,0.22,28.6,0.22,54.00,0.22,1216.73,0.22,1216.81,,,,,,,,,,,,,
,0.44,1248,0.44,46,0.44,28.6,0.44,53.50,0.44,1216.65,0.45,1216.15,,,,,,,,,,,,,
,0.66,1254,0.67,46,0.67,32.5,0.67,139.91,0.67,1215.49,0.67,1215.32,,,,,,,,,,,,,
,0.87,1244,0.87,46,0.88,78.4,0.88,149.72,0.88,1898.89,0.88,1247.83,,,,,,,,,,,,,
,1.08,1261,1.08,46,1.09,78.4,1.09,157.34,1.09,1908.18,1.09,1278.59,,,,,,,,,,,,,
,1.28,1265,1.29,47,1.29,78.4,1.29,166.88,1.29,1910.83,1.29,1305.95,,,,,,,,,,,,,
,1.48,1269,1.49,47,1.49,78.4,1.49,171.06,1.49,1915.98,1.49,1337.13,,,,,,,,,,,,,
,1.69,1283,1.69,48,1.70,78.4,1.70,175.81,1.70,1933.47,1.70,1363.41,,,,,,,,,,,,,
,2.09,1297,2.09,48,2.10,78.4,2.10,183.06,2.10,1954.20,2.10,1421.21,,,,,,,,,,,,,
,2.30,1314,2.30,48,2.30,78.4,2.30,186.13,2.30,1971.36,2.30,1454.29,,,,,,,,,,,,,
,2.49,1316,2.50,48,2.50,78.8,2.50,188.97,2.50,1973.77,2.50,1481.74,,,,,,,,,,,,,
,2.70,1332,2.70,49,2.70,78.4,2.70,193.00,2.70,1996.99,2.70,1513.08,,,,,,,,,,,,,
,2.91,1335,2.91,49,2.92,78.4,2.92,195.56,2.92,2001.88,2.92,1542.10,,,,,,,,,,,,,
,3.12,1353,3.13,49,3.13,78.4,3.13,200.09,3.13,2023.93,3.13,1572.45,,,,,,,,,,,,,
,3.33,1364,3.34,51,3.34,78.4,3.34,201.47,3.34,2032.47,3.34,1606.44,,,,,,,,,,,,,
,3.54,1379,3.54,50,3.54,78.8,3.54,206.09,3.54,2050.80,3.54,1646.08,,,,,,,,,,,,,
,3.75,1387,3.76,51,3.76,78.8,3.76,213.97,3.76,2061.83,3.76,1687.21,,,,,,,,,,,,,
,3.96,1400,3.96,52,3.96,78.4,3.96,219.06,3.96,2076.50,3.96,1732.06,,,,,,,,,,,,,
,4.17,1419,4.17,52,4.18,78.4,4.18,223.94,4.18,2100.96,4.18,1772.03,,,,,,,,,,,,,
,4.36,1434,4.36,53,4.36,78.4,4.36,231.00,4.36,2119.29,4.36,1821.78,,,,,,,,,,,,,
,4.56,1445,4.56,53,4.57,78.4,4.57,237.97,4.57,2131.48,4.57,1871.03,,,,,,,,,,,,,
,4.76,1458,4.77,54,4.77,78.4,4.77,247.31,4.77,2157.18,4.77,1929.82,,,,,,,,,,,,,
,4.97,1487,4.97,54,4.98,78.8,4.98,256.41,4.98,2182.89,4.98,1994.83,,,,,,,,,,,,,
,5.18,1485,5.18,55,5.19,78.4,5.19,271.63,5.19,2202.54,5.19,2075.18,,,,,,,,,,,,,
,5.40,1519,5.40,56,5.41,78.4,5.41,284.50,5.41,2220.28,5.41,2154.03,,,,,,,,,,,,,
,5.59,1547,5.60,56,5.60,78.4,5.60,315.53,5.60,2235.46,5.60,2229.74,,,,,,,,,,,,,
,5.80,1542,5.80,57,5.80,78.4,5.80,345.53,5.80,2250.71,5.80,2282.06,,,,,,,,,,,,,
,6.00,1580,6.00,58,6.01,78.8,6.01,339.22,6.01,2268.46,6.01,2320.45,,,,,,,,,,,,,
,6.20,1605,6.21,59,6.21,78.4,6.21,337.53,6.21,2288.77,6.21,2348.22,,,,,,,,,,,,,
,6.41,1607,6.42,60,6.42,78.4,6.42,338.38,6.42,2302.29,6.42,2344.74,,,,,,,,,,,,,
,6.61,1638,6.61,60,6.62,78.4,6.62,338.09,6.62,2326.83,6.62,2332.97,,,,,,,,,,,,,
,6.81,1678,6.81,61,6.82,78.8,6.82,337.09,6.82,2340.35,6.82,2321.28,,,,,,,,,,,,,
,7.01,1687,7.01,62,7.02,78.4,7.02,337.41,7.02,2351.38,7.02,2315.55,,,,,,,,,,,,,
,7.21,1701,7.22,63,7.22,78.8,7.22,338.00,7.22,2380.15,7.22,2320.28,,,,,,,,,,,,,
,7.43,1727,7.43,64,7.43,78.4,7.43,337.84,7.43,2405.52,7.43,2332.72,,,,,,,,,,,,,
,7.62,1754,7.62,64,7.62,78.4,7.62,337.50,7.62,2414.06,7.62,2350.30,,,,,,,,,,,,,
,7.84,1774,7.84,65,7.85,78.4,7.85,337.50,7.85,2419.37,7.85,2379.40,,,,,,,,,,,,,
,8.04,1794,8.04,66,8.04,78.4,8.04,337.59,8.04,2425.92,8.04,2405.52,,,,,,,,,,,,,
,8.24,1814,8.25,67,8.25,78.4,8.25,337.72,8.25,2434.21,8.25,2431.64,,,,,,,,,,,,,
,8.46,1841,8.46,68,8.47,78.4,8.47,337.34,8.47,2441.17,8.47,2447.56,,,,,,,,,,,,,
,8.67,1856,8.68,69,8.68,78.4,8.68,337.94,8.68,2450.13,8.68,2452.04,,,,,,,,,,,,,
,8.85,1895,8.86,69,8.86,78.4,8.86,336.88,8.86,2459.00,8.86,2455.11,,,,,,,,,,,,,
,9.07,1907,9.07,70,9.08,78.4,9.08,337.44,9.08,2463.31,9.08,2466.46,,,,,,,,,,,,,
,9.29,1930,9.30,71,9.30,78.4,9.30,337.38,9.30,2470.61,9.30,2481.47,,,,,,,,,,,,,
,9.51,1950,9.51,72,9.51,78.4,9.51,337.53,9.51,2479.57,9.51,2493.25,,,,,,,,,,,,,
,9.71,1981,9.71,73,9.72,78.4,9.72,337.19,9.72,2485.45,9.72,2494.24,,,,,,,,,,,,,
,9.94,1997,9.94,74,9.94,78.4,9.94,337.38,9.94,2491.75,9.94,2494.82,,,,,,,,,,,,,
,10.15,2020,10.16,74,10.16,78.8,10.16,337.41,10.16,2494.91,10.16,2505.77,,,,,,,,,,,,,
,10.35,2038,10.35,75,10.35,78.4,10.35,337.38,10.35,2495.73,10.35,2497.14,,,,,,,,,,,,,
,10.55,2061,10.55,76,10.56,78.4,10.56,337.22,10.56,2496.48,10.56,2503.61,,,,,,,,,,,,,
,10.75,2084,10.75,77,10.76,78.8,10.76,337.16,10.76,2497.81,10.76,2505.85,,,,,,,,,,,,,
,10.95,2109,10.95,77,10.96,78.4,10.96,337.09,10.96,2498.64,10.96,2502.70,,,,,,,,,,,,,
,11.16,2121,11.17,78,11.17,78.4,11.17,337.09,11.17,2499.13,11.17,2510.33,,,,,,,,,,,,,
,11.36,2151,11.36,79,11.36,78.4,11.36,336.88,11.36,2499.96,11.36,2518.87,,,,,,,,,,,,,
,11.56,2172,11.56,80,11.57,78.4,11.57,336.59,11.57,2500.96,11.57,2509.42,,,,,,,,,,,,,
,11.76,2191,11.76,81,11.76,78.4,11.76,336.78,11.76,2502.12,11.76,2501.12,,,,,,,,,,,,,
,11.96,2211,11.97,81,11.97,78.4,11.97,336.66,11.97,2502.87,11.97,2496.32,,,,,,,,,,,,,
,12.18,2229,12.18,82,12.19,78.4,12.19,336.69,12.19,2503.61,12.19,2490.18,,,,,,,,,,,,,
,12.40,2254,12.40,83,12.40,78.4,12.40,336.50,12.40,2504.52,12.40,2495.82,,,,,,,,,,,,,
,12.59,2277,12.59,84,12.60,78.4,12.60,336.31,12.60,2504.52,12.60,2505.68,,,,,,,,,,,,,
,12.79,2289,12.79,85,12.80,78.4,12.80,336.59,12.80,2504.52,12.80,2508.59,,,,,,,,,,,,,
,12.99,2316,13.00,85,13.00,78.4,13.00,336.38,13.00,2504.52,13.00,2507.84,,,,,,,,,,,,,
,13.20,2330,13.20,86,13.21,78.4,13.21,336.25,13.21,2504.52,13.21,2504.61,,,,,,,,,,,,,
,13.41,2353,13.42,87,13.42,78.4,13.42,336.16,13.42,2504.52,13.42,2503.69,,,,,,,,,,,,,
,13.63,2385,13.64,88,13.64,78.8,13.64,335.00,13.64,2504.61,13.64,2500.05,,,,,,,,,,,,,
,13.83,2397,13.84,89,13.84,78.4,13.84,337.28,13.84,2504.61,13.84,2496.48,,,,,,,,,,,,,
,14.04,2414,14.04,89,14.05,78.4,14.05,338.03,14.05,2504.61,14.05,2499.96,,,,,,,,,,,,,
,14.25,2440,14.26,90,14.26,78.4,14.26,335.84,14.26,2504.61,14.26,2501.46,,,,,,,,,,,,,
,14.45,2455,14.46,91,14.46,78.8,14.46,337.53,14.46,2504.61,14.46,2503.94,,,,,,,,,,,,,
,14.66,2484,14.66,91,14.67,78.4,14.67,334.38,14.67,2504.61,14.67,2504.77,,,,,,,,,,,,,
,14.86,2495,14.86,92,14.87,78.4,14.87,337.38,14.87,2504.61,14.87,2503.78,,,,,,,,,,,,,
,15.06,2523,15.07,93,15.07,78.4,15.07,333.66,15.07,2502.95,15.07,2500.54,,,,,,,,,,,,,
,15.26,2537,15.27,93,15.27,78.4,15.27,336.09,15.27,2500.13,15.27,2495.98,,,,,,,,,,,,,
,15.47,2562,15.47,94,15.47,78.4,15.48,334.78,15.48,2497.89,15.48,2498.22,,,,,,,,,,,,,
,15.68,2578,15.69,95,15.69,78.4,15.69,335.94,15.69,2496.15,15.69,2499.05,,,,,,,,,,,,,
,15.87,2597,15.87,96,15.88,78.4,15.88,335.63,15.88,2492.92,15.88,2495.73,,,,,,,,,,,,,
,16.07,2620,16.08,96,16.08,78.4,16.08,334.38,16.08,2491.17,16.08,2492.17,,,,,,,,,,,,,
,16.27,2640,16.28,97,16.28,78.4,16.28,334.47,16.28,2488.60,16.28,2488.69,,,,,,,,,,,,,
,16.48,2657,16.48,98,16.48,78.4,16.48,335.41,16.48,2485.04,16.48,2482.22,,,,,,,,,,,,,
,16.69,2679,16.70,99,16.70,78.8,16.70,335.31,16.70,2482.80,16.70,2482.14,,,,,,,,,,,,,
,16.88,2706,16.88,99,16.89,78.4,16.89,332.47,16.89,2480.06,16.89,2482.88,,,,,,,,,,,,,
,17.09,2715,17.09,100,17.10,78.8,17.10,335.91,17.10,2478.07,17.10,2480.06,,,,,,,,,,,,,
,17.29,2726,17.29,101,17.29,78.4,17.29,337.47,17.30,2475.92,17.30,2474.76,,,,,,,,,,,,,
,17.51,2751,17.51,101,17.52,78.4,17.52,336.06,17.52,2472.10,17.52,2473.76,,,,,,,,,,,,,
,17.73,2775,17.73,102,17.74,78.4,17.74,335.31,17.74,2470.20,17.74,2468.12,,,,,,,,,,,,,
,17.95,2798,17.96,103,17.96,78.4,17.96,333.06,17.96,2465.06,17.96,2461.99,,,,,,,,,,,,,
,18.15,2810,18.16,104,18.16,78.4,18.16,336.53,18.16,2457.84,18.16,2460.58,,,,,,,,,,,,,
,18.36,2843,18.37,105,18.37,78.8,18.37,332.72,18.37,2449.47,18.37,2454.44,,,,,,,,,,,,,
,18.57,2864,18.57,105,18.58,78.4,18.58,331.31,18.58,2448.14,18.58,2452.04,,,,,,,,,,,,,
,18.78,2883,18.78,106,18.79,78.4,18.79,331.78,18.79,2440.84,18.79,2446.98,,,,,,,,,,,,,
,18.99,2896,18.99,107,18.99,78.4,18.99,332.97,18.99,2437.11,18.99,2439.52,,,,,,,,,,,,,
,19.20,2918,19.21,107,19.21,78.4,19.21,332.09,19.21,2432.30,19.21,2433.38,,,,,,,,,,,,,
,19.39,2926,19.40,108,19.40,78.4,19.40,335.19,19.40,2424.51,19.40,2423.93,,,,,,,,,,,,,
,19.59,2944,19.60,109,19.60,78.4,19.60,334.94,19.60,2421.77,19.60,2417.88,,,,,,,,,,,,,
,19.80,2968,19.80,109,19.80,78.4,19.80,332.84,19.81,2418.29,19.81,2411.91,,,,,,,,,,,,,
,20.00,2989,20.01,110,20.01,78.4,20.01,332.91,20.01,2410.50,20.01,2413.56,,,,,,,,,,,,,
,20.21,3004,20.22,111,20.22,78.4,20.22,333.19,20.22,2408.09,20.22,2414.06,,,,,,,,,,,,,
,20.44,3023,20.44,111,20.45,78.4,20.45,332.69,20.45,2401.87,20.45,2410.58,,,,,,,,,,,,,
,20.62,3039,20.62,112,20.63,78.8,20.63,334.03,20.63,2391.26,20.63,2405.77,,,,,,,,,,,,,
,20.83,3050,20.83,112,20.84,78.4,20.84,334.44,20.84,2386.53,20.84,2389.02,,,,,,,,,,,,,
,21.03,3078,21.03,113,21.04,78.4,21.04,333.09,21.04,2374.68,21.04,2371.77,,,,,,,,,,,,,
,21.23,3093,21.24,114,21.24,78.8,21.24,333.28,21.24,2373.51,21.24,2364.39,,,,,,,,,,,,,
,21.45,3109,21.45,115,21.46,78.4,21.46,333.88,21.46,2364.48,21.46,2364.64,,,,,,,,,,,,,
,21.64,3122,21.64,115,21.65,78.8,21.65,333.59,21.65,2362.15,21.65,2361.24,,,,,,,,,,,,,
,21.84,3148,21.84,116,21.85,78.4,21.85,330.13,21.85,2355.02,21.85,2356.85,,,,,,,,,,,,,
,22.04,3144,22.04,116,22.04,78.4,22.05,336.50,22.05,2346.81,22.05,2353.53,,,,,,,,,,,,,
,22.25,3176,22.25,116,22.25,78.4,22.25,331.22,22.25,2344.41,22.25,2347.06,,,,,,,,,,,,,
,22.46,3184,22.46,117,22.47,78.8,22.47,334.31,22.47,2333.80,22.47,2339.68,,,,,,,,,,,,,
,22.68,3203,22.68,118,22.69,78.4,22.69,332.66,22.69,2330.23,22.69,2330.98,,,,,,,,,,,,,
,22.87,3214,22.88,119,22.88,78.8,22.88,335.28,22.88,2321.61,22.88,2324.34,,,,,,,,,,,,,
,23.07,3237,23.08,119,23.08,78.4,23.08,331.97,23.08,2315.31,23.08,2319.12,,,,,,,,,,,,,
,23.28,3260,23.28,120,23.28,78.4,23.29,330.28,23.29,2311.41,23.29,2310.00,,,,,,,,,,,,,
,23.48,3259,23.48,120,23.48,78.4,23.49,336.84,23.49,2304.11,23.49,2301.71,,,,,,,,,,,,,
,23.69,3283,23.70,121,23.70,78.4,23.70,333.22,23.70,2302.62,23.70,2294.16,,,,,,,,,,,,,
,23.89,3308,23.89,122,23.90,78.8,23.90,331.13,23.90,2298.89,23.90,2287.03,,,,,,,,,,,,,
