Sunday,13,September,2026,21:12:25:00009-VCID:79F958E3F8D95B5B8C-802C,VCDS Version: Release 23.3.1 (x64),Data version: 20230421 DS346.2
03L 906 023 TB,ADVMB,R4 1.6l TDI   H43 9979,
,,G003,F0,G006,F0,G012,F0,G015,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,

Marker,TIME,Loc. IDE00021,TIME,Loc. IDE00075,TIME,Loc. IDE00086,TIME,Loc. IDE00100-ENG101842,,,,,,,,,,,,,,,,,
,STAMP,Engine RPM,STAMP,Vehicle speed,STAMP,Accelerator pedal position,STAMP,Engine torque-TQI_SP,,,,,,,,,,,,,,,,,
,, /min,, km/h,, %,, Nm,,,,,,,,,,,,,,,,,
,0.15,2569,0.15,38,0.16,22.0,0.16,9.16,,,,,,,,,,,,,,,,,
,0.34,2555,0.34,38,0.34,22.0,0.34,11.81,,,,,,,,,,,,,,,,,
,0.54,2542,0.55,39,0.55,22.0,0.55,8.28,,,,,,,,,,,,,,,,,
,0.74,2545,0.75,38,0.75,22.4,0.75,7.88,,,,,,,,,,,,,,,,,
,0.95,2565,0.96,39,0.96,26.3,0.96,12.00,,,,,,,,,,,,,,,,,
,1.16,2587,1.16,38,1.17,29.0,1.17,20.09,,,,,,,,,,,,,,,,,
,1.35,2605,1.36,39,1.36,34.5,1.36,31.81,,,,,,,,,,,,,,,,,
,1.55,2598,1.56,39,1.56,42.4,1.56,106.28,,,,,,,,,,,,,,,,,
,1.76,2664,1.76,40,1.77,49.0,1.77,142.44,,,,,,,,,,,,,,,,,
,1.96,2717,1.97,40,1.97,52.5,1.97,169.69,,,,,,,,,,,,,,,,,
,2.17,2788,2.17,42,2.18,57.3,2.18,207.38,,,,,,,,,,,,,,,,,
,2.36,2890,2.37,43,2.37,57.6,2.37,209.50,,,,,,,,,,,,,,,,,
,2.57,2996,2.58,45,2.58,57.6,2.58,205.97,,,,,,,,,,,,,,,,,
,2.77,3132,2.78,47,2.78,60.8,2.78,223.75,,,,,,,,,,,,,,,,,
,2.97,3256,2.98,49,2.98,62.4,2.98,240.22,,,,,,,,,,,,,,,,,
,3.18,3402,3.18,51,3.18,62.7,3.18,237.47,,,,,,,,,,,,,,,,,
,3.38,3465,3.38,53,3.39,52.5,3.39,146.03,,,,,,,,,,,,,,,,,
,3.58,3422,3.59,53,3.59,21.6,3.59,9.22,,,,,,,,,,,,,,,,,
,3.78,3265,3.78,53,3.79,14.5,3.79,0.78,,,,,,,,,,,,,,,,,
,3.98,2901,3.98,53,3.99,14.5,3.99,0.00,,,,,,,,,,,,,,,,,
,4.18,2564,4.18,53,4.19,14.5,4.19,0.00,,,,,,,,,,,,,,,,,
,4.37,2056,4.38,53,4.38,21.6,4.38,29.25,,,,,,,,,,,,,,,,,
,4.57,2154,4.57,53,4.58,32.9,4.58,31.72,,,,,,,,,,,,,,,,,
