Sunday,13,September,2026,21:20:26:00009-VCID:79F958E3F8D95B5B8C-802C,VCDS Version: Release 23.3.1 (x64),Data version: 20230421 DS346.2
03L 906 023 TB,ADVMB,R4 1.6l TDI   H43 9979,
,,G003,F0,G006,F0,G012,F0,G015,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,

Marker,TIME,Loc. IDE00021,TIME,Loc. IDE00075,TIME,Loc. IDE00086,TIME,Loc. IDE00100-ENG101842,,,,,,,,,,,,,,,,,
,STAMP,Engine RPM,STAMP,Vehicle speed,STAMP,Accelerator pedal position,STAMP,Engine torque-TQI_SP,,,,,,,,,,,,,,,,,
,, /min,, km/h,, %,, Nm,,,,,,,,,,,,,,,,,
,0.01,782,0.01,0,0.02,14.5,0.02,21.47,,,,,,,,,,,,,,,,,
,0.20,782,0.20,0,0.21,14.5,0.21,21.63,,,,,,,,,,,,,,,,,
,0.40,780,0.40,0,0.41,14.5,0.41,21.81,,,,,,,,,,,,,,,,,
,0.60,779,0.60,0,0.61,14.5,0.61,22.00,,,,,,,,,,,,,,,,,
,0.81,782,0.81,0,0.82,14.5,0.82,21.63,,,,,,,,,,,,,,,,,
,1.01,782,1.01,0,1.02,14.5,1.02,21.44,,,,,,,,,,,,,,,,,
,1.22,780,1.22,0,1.22,14.5,1.23,21.81,,,,,,,,,,,,,,,,,
,1.44,774,1.44,0,1.45,14.5,1.45,23.28,,,,,,,,,,,,,,,,,
,1.63,770,1.64,0,1.64,14.5,1.64,24.31,,,,,,,,,,,,,,,,,
,1.83,770,1.84,0,1.84,14.5,1.84,25.09,,,,,,,,,,,,,,,,,
,2.03,771,2.03,0,2.04,14.5,2.04,25.47,,,,,,,,,,,,,,,,,
,2.24,770,2.24,0,2.24,14.5,2.25,26.72,,,,,,,,,,,,,,,,,
,2.45,774,2.45,0,2.45,14.5,2.45,26.34,,,,,,,,,,,,,,,,,
,2.64,773,2.64,0,2.65,14.5,2.65,26.88,,,,,,,,,,,,,,,,,
,2.83,767,2.84,0,2.84,14.5,2.84,28.78,,,,,,,,,,,,,,,,,
,3.03,767,3.03,0,3.04,14.5,3.04,29.94,,,,,,,,,,,,,,,,,
,3.23,771,3.24,0,3.24,14.5,3.24,30.06,,,,,,,,,,,,,,,,,
,3.43,770,3.43,0,3.43,14.5,3.43,30.84,,,,,,,,,,,,,,,,,
,3.61,767,3.61,0,3.62,14.5,3.62,32.28,,,,,,,,,,,,,,,,,
,3.79,766,3.79,0,3.80,14.5,3.80,33.00,,,,,,,,,,,,,,,,,
,3.98,770,3.98,0,3.99,14.5,3.99,33.22,,,,,,,,,,,,,,,,,
,4.18,768,4.18,0,4.19,14.5,4.19,34.41,,,,,,,,,,,,,,,,,
,4.37,765,4.38,0,4.38,14.5,4.38,36.13,,,,,,,,,,,,,,,,,
