Golf 9980 atlas START identification (offline)
HIGH = fingerprint/ORI match at map start — safe label candidate
counts high=132 medium=0 low=12 unique=144

addr      category          id_name
------------------------------------------------------------------------
0x1D0860  clutch_prot       tqlim_cluth_prot
0x1D0640  AccPed            AccPed_trq4A@1D0640
0x1D3190  tqlim             tqlim_base_pu_4A
0x1CEED4  tqlim_other       tqlim_speed2A
0x1D2C1C  tqlim_other       tqlim_fuel_temp2
0x1D3390  tqlim_other       tqlim_fuel_temp2A
0x1D35A8  tqlim_other       tqlim_tegt_temp
0x1D1D18  smoke             smoke_mapA
0x1D1FC4  smoke             smoke_mapA@1D1FC4
0x1D2270  smoke             smoke_mapA@1D2270
0x1D251C  smoke             smoke_mapA@1D251C
0x1D27C8  smoke             smoke_mapA@1D27C8
0x1C04AC  turbo             turbo_base3B
0x1C072C  turbo             turbo_base3B@1C072C
0x1C09AC  turbo             turbo_base3B@1C09AC
0x1C0C2C  turbo             turbo_base3B@1C0C2C
0x1C0EAC  turbo             turbo_base3B@1C0EAC
0x1C112C  turbo             turbo_base3B@1C112C
0x1C13AC  turbo             turbo_base3B@1C13AC
0x1C162C  turbo             turbo_base3B@1C162C
0x1C18AC  turbo             turbo_base3B@1C18AC
0x1C1B2C  turbo             turbo_base3B@1C1B2C
0x1C1DAC  turbo             turbo_base3B@1C1DAC
0x1C202C  turbo             turbo_base3B@1C202C
0x1C2A2C  turbo             turbo_base3B@1C2A2C
0x1C2CAC  turbo             turbo_base3B@1C2CAC
0x1C2F2C  turbo             turbo_base3B@1C2F2C
0x1C31AC  turbo             turbo_base3B@1C31AC
0x1C342C  turbo             turbo_base3B@1C342C
0x1C36AC  turbo             turbo_base3B@1C36AC
0x1C3AAC  turbo_corr        turbo_int_trq_correction2C
0x1C3DAC  turbo_corr        turbo_int_trq_correction2C@1C3DAC
0x1C40AC  turbo_corr        turbo_int_trq_correction2C@1C40AC
0x1C43AC  turbo_corr        turbo_int_trq_correction2C@1C43AC
0x1C46AC  turbo_corr        turbo_int_trq_correction2C@1C46AC
0x1C58AC  turbo_corr        turbo_int_trq_correction2C@1C58AC
0x1C5BAC  turbo_corr        turbo_int_trq_correction2C@1C5BAC
0x1C5EAC  turbo_corr        turbo_int_trq_correction2C@1C5EAC
0x1C67AC  turbo_corr        turbo_int_trq_correction2C@1C67AC
0x1C692C  turbo_other       turbo_atm6A
0x1C6A2C  turbo_other       turbo_atm6A@1C6A2C
0x1E9368  rail              rail_base_int_trq2B
0x1E9768  rail              rail_base_int_trq2B@1E9768
0x1E9968  rail              rail_base_int_trq2B@1E9968
0x1E9B68  rail              rail_base_int_trq2B@1E9B68
0x1E9D68  rail              rail_base_int_trq2B@1E9D68
0x1E9F68  rail              rail_base_int_trq2B@1E9F68
0x1EA168  rail              rail_request_horsA2L_banque_01
0x1EA368  rail              rail_request_horsA2L_banque_02
0x1EA568  rail              rail_request_horsA2L_banque_03
0x1EA768  rail              rail_request_horsA2L_banque_04
0x1EA968  rail              rail_request_horsA2L_banque_05
0x1EAB68  rail              rail_request_horsA2L_banque_06
0x1EAD68  rail              rail_request_horsA2L_banque_07
