category,cat_rank,confidence,id_name,family,addr,winols,ghidra,hub,delta,atlas_id,atlas_addr,atlas_cols,atlas_rows,atlas_length,folder,group,same_9979,exact_fp,relocated,new_name,notes
clutch_prot,10,high,tqlim_cluth_prot,tqlim_cluth_prot,0x1D0860,0x1D0860,0x801D0860,atlas_start,0x0,tqlim_cluth_prot,1D0860,8,8,128,Engine torque limiters,a2l,1,1,0,tqlim_cluth_prot,high: atlas start fingerprint match cols=8 rows=8 src=atlas; note: low u16 diversity (plateau OK at known start); identique vs ORI 9979; fp=af9613760f72 uniq=1 len=128
AccPed,15,low,AccPed_trq4A,AccPed_trq4A,0x1CF9C0,0x1CF9C0,0x801CF9C0,atlas_start,0x0,AccPed_trq4A,1CF9C0,8,16,256,Engine torque request,priority,0,0,0,,low: start differs from atlas/ORI fingerprint; differe de ORI 9979; fp=54b39ac5ea87 uniq=15 len=256
AccPed,15,low,AccPed_trq4A@1CFAC0,AccPed_trq4A,0x1CFAC0,0x1CFAC0,0x801CFAC0,atlas_start,0x0,AccPed_trq4A@1CFAC0,1CFAC0,8,16,256,Engine torque request,a2l,0,0,0,,low: start differs from atlas/ORI fingerprint; differe de ORI 9979; fp=54b39ac5ea87 uniq=15 len=256
AccPed,15,low,AccPed_trq4A@1CFBC0,AccPed_trq4A,0x1CFBC0,0x1CFBC0,0x801CFBC0,atlas_start,0x0,AccPed_trq4A@1CFBC0,1CFBC0,8,16,256,Engine torque request,a2l,0,0,0,,low: start differs from atlas/ORI fingerprint; differe de ORI 9979; fp=54b39ac5ea87 uniq=15 len=256
AccPed,15,low,AccPed_trq4A@1CFCC0,AccPed_trq4A,0x1CFCC0,0x1CFCC0,0x801CFCC0,atlas_start,0x0,AccPed_trq4A@1CFCC0,1CFCC0,8,16,256,Engine torque request,a2l,0,0,0,,low: start differs from atlas/ORI fingerprint; differe de ORI 9979; fp=54b39ac5ea87 uniq=15 len=256
AccPed,15,low,AccPed_trq4A@1CFDC0,AccPed_trq4A,0x1CFDC0,0x1CFDC0,0x801CFDC0,atlas_start,0x0,AccPed_trq4A@1CFDC0,1CFDC0,8,16,256,Engine torque request,a2l,0,0,0,,low: start differs from atlas/ORI fingerprint; differe de ORI 9979; fp=54b39ac5ea87 uniq=15 len=256
AccPed,15,low,AccPed_trq4A@1CFEC0,AccPed_trq4A,0x1CFEC0,0x1CFEC0,0x801CFEC0,atlas_start,0x0,AccPed_trq4A@1CFEC0,1CFEC0,8,16,256,Engine torque request,a2l,0,0,0,,low: start differs from atlas/ORI fingerprint; differe de ORI 9979; fp=54b39ac5ea87 uniq=15 len=256
AccPed,15,low,AccPed_trq4A@1CFFC0,AccPed_trq4A,0x1CFFC0,0x1CFFC0,0x801CFFC0,atlas_start,0x0,AccPed_trq4A@1CFFC0,1CFFC0,8,16,256,Engine torque request,a2l,0,0,0,,low: start differs from atlas/ORI fingerprint; differe de ORI 9979; fp=4ae970224d49 uniq=15 len=256
AccPed,15,high,AccPed_trq4A@1D0640,AccPed_trq4A,0x1D0640,0x1D0640,0x801D0640,atlas_start,0x0,AccPed_trq4A@1D0640,1D0640,8,16,256,Engine torque request,a2l,1,1,0,AccPed_trq4A,high: atlas start fingerprint match cols=8 rows=16 src=atlas; identique vs ORI 9979; fp=fe9478c5c3a9 uniq=15 len=256
tqlim,20,high,tqlim_base_pu_4A,tqlim_base_pu_4A,0x1D3190,0x1D3190,0x801D3190,atlas_start,0x0,tqlim_base_pu_4A,1D3190,8,26,416,Engine torque limiters,priority,1,1,0,tqlim_base_pu_4A,high: atlas start fingerprint match cols=8 rows=26 src=atlas; note: low u16 diversity (plateau OK at known start); identique vs ORI 9979; fp=272e7850cf5b uniq=1 len=416
tqlim_other,25,high,tqlim_speed2A,tqlim_speed2A,0x1CEED4,0x1CEED4,0x801CEED4,atlas_start,0x0,tqlim_speed2A,1CEED4,6,8,96,Engine torque limiters,priority,1,1,0,tqlim_speed2A,high: atlas start fingerprint match cols=6 rows=8 src=atlas; note: low u16 diversity (plateau OK at known start); identique vs ORI 9979; fp=43078915d4e5 uniq=1 len=96
tqlim_other,25,high,tqlim_fuel_temp2,tqlim_fuel_temp2,0x1D2C1C,0x1D2C1C,0x801D2C1C,atlas_start,0x0,tqlim_fuel_temp2,1D2C1C,4,6,48,Engine torque limiters,a2l,1,1,0,tqlim_fuel_temp2,high: atlas start fingerprint match cols=4 rows=6 src=atlas; note: low u16 diversity (plateau OK at known start); identique vs ORI 9979; fp=56f19a68ada1 uniq=1 len=48
tqlim_other,25,high,tqlim_fuel_temp2A,tqlim_fuel_temp2A,0x1D3390,0x1D3390,0x801D3390,atlas_start,0x0,tqlim_fuel_temp2A,1D3390,16,16,512,Engine torque limiters,a2l,1,1,0,tqlim_fuel_temp2A,high: atlas start fingerprint match cols=16 rows=16 src=atlas; note: low u16 diversity (plateau OK at known start); identique vs ORI 9979; fp=af9613760f72 uniq=1 len=512
tqlim_other,25,high,tqlim_tegt_temp,tqlim_tegt_temp,0x1D35A8,0x1D35A8,0x801D35A8,atlas_start,0x0,tqlim_tegt_temp,1D35A8,16,16,512,Engine torque limiters,priority,1,1,0,tqlim_tegt_temp,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=c032bb01c318 uniq=13 len=512
smoke,30,high,smoke_mapA,smoke_mapA,0x1D1D18,0x1D1D18,0x801D1D18,atlas_start,0x0,smoke_mapA,1D1D18,19,18,684,Smoke limitation,priority,1,1,0,smoke_mapA,high: atlas start fingerprint match cols=19 rows=18 src=atlas; identique vs ORI 9979; fp=6bf32f34d6a9 uniq=16 len=684
smoke,30,high,smoke_mapA@1D1FC4,smoke_mapA,0x1D1FC4,0x1D1FC4,0x801D1FC4,atlas_start,0x0,smoke_mapA@1D1FC4,1D1FC4,19,18,684,Smoke limitation,a2l,1,1,0,smoke_mapA,high: atlas start fingerprint match cols=19 rows=18 src=atlas; identique vs ORI 9979; fp=6bf32f34d6a9 uniq=16 len=684
smoke,30,high,smoke_mapA@1D2270,smoke_mapA,0x1D2270,0x1D2270,0x801D2270,atlas_start,0x0,smoke_mapA@1D2270,1D2270,19,18,684,Smoke limitation,a2l,1,1,0,smoke_mapA,high: atlas start fingerprint match cols=19 rows=18 src=atlas; identique vs ORI 9979; fp=41c64f1bcc98 uniq=16 len=684
smoke,30,high,smoke_mapA@1D251C,smoke_mapA,0x1D251C,0x1D251C,0x801D251C,atlas_start,0x0,smoke_mapA@1D251C,1D251C,19,18,684,Smoke limitation,a2l,1,1,0,smoke_mapA,high: atlas start fingerprint match cols=19 rows=18 src=atlas; identique vs ORI 9979; fp=a4f9198853a4 uniq=16 len=684
smoke,30,high,smoke_mapA@1D27C8,smoke_mapA,0x1D27C8,0x1D27C8,0x801D27C8,atlas_start,0x0,smoke_mapA@1D27C8,1D27C8,19,18,684,Smoke limitation,a2l,1,1,0,smoke_mapA,high: atlas start fingerprint match cols=19 rows=18 src=atlas; note: low u16 diversity (plateau OK at known start); identique vs ORI 9979; fp=57cd3d885d1a uniq=1 len=684
turbo,40,high,turbo_base3B,turbo_base3B,0x1C04AC,0x1C04AC,0x801C04AC,atlas_start,0x0,turbo_base3B,1C04AC,16,20,640,Turbo boost pressure,priority,1,1,0,turbo_base3B,high: atlas start fingerprint match cols=16 rows=20 src=atlas; identique vs ORI 9979; fp=373676069272 uniq=13 len=640
turbo,40,high,turbo_base3B@1C072C,turbo_base3B,0x1C072C,0x1C072C,0x801C072C,atlas_start,0x0,turbo_base3B@1C072C,1C072C,16,20,640,Turbo boost pressure,a2l,1,1,0,turbo_base3B,high: atlas start fingerprint match cols=16 rows=20 src=atlas; identique vs ORI 9979; fp=373676069272 uniq=13 len=640
turbo,40,high,turbo_base3B@1C09AC,turbo_base3B,0x1C09AC,0x1C09AC,0x801C09AC,atlas_start,0x0,turbo_base3B@1C09AC,1C09AC,16,20,640,Turbo boost pressure,a2l,1,1,0,turbo_base3B,high: atlas start fingerprint match cols=16 rows=20 src=atlas; identique vs ORI 9979; fp=373676069272 uniq=13 len=640
turbo,40,high,turbo_base3B@1C0C2C,turbo_base3B,0x1C0C2C,0x1C0C2C,0x801C0C2C,atlas_start,0x0,turbo_base3B@1C0C2C,1C0C2C,16,20,640,Turbo boost pressure,a2l,1,1,0,turbo_base3B,high: atlas start fingerprint match cols=16 rows=20 src=atlas; identique vs ORI 9979; fp=373676069272 uniq=13 len=640
turbo,40,high,turbo_base3B@1C0EAC,turbo_base3B,0x1C0EAC,0x1C0EAC,0x801C0EAC,atlas_start,0x0,turbo_base3B@1C0EAC,1C0EAC,16,20,640,Turbo boost pressure,a2l,1,1,0,turbo_base3B,high: atlas start fingerprint match cols=16 rows=20 src=atlas; identique vs ORI 9979; fp=373676069272 uniq=13 len=640
turbo,40,high,turbo_base3B@1C112C,turbo_base3B,0x1C112C,0x1C112C,0x801C112C,atlas_start,0x0,turbo_base3B@1C112C,1C112C,16,20,640,Turbo boost pressure,a2l,1,1,0,turbo_base3B,high: atlas start fingerprint match cols=16 rows=20 src=atlas; identique vs ORI 9979; fp=373676069272 uniq=13 len=640
turbo,40,high,turbo_base3B@1C13AC,turbo_base3B,0x1C13AC,0x1C13AC,0x801C13AC,atlas_start,0x0,turbo_base3B@1C13AC,1C13AC,16,20,640,Turbo boost pressure,a2l,1,1,0,turbo_base3B,high: atlas start fingerprint match cols=16 rows=20 src=atlas; identique vs ORI 9979; fp=4ec276653486 uniq=16 len=640
turbo,40,high,turbo_base3B@1C162C,turbo_base3B,0x1C162C,0x1C162C,0x801C162C,atlas_start,0x0,turbo_base3B@1C162C,1C162C,16,20,640,Turbo boost pressure,a2l,1,1,0,turbo_base3B,high: atlas start fingerprint match cols=16 rows=20 src=atlas; identique vs ORI 9979; fp=4ec276653486 uniq=16 len=640
turbo,40,high,turbo_base3B@1C18AC,turbo_base3B,0x1C18AC,0x1C18AC,0x801C18AC,atlas_start,0x0,turbo_base3B@1C18AC,1C18AC,16,20,640,Turbo boost pressure,a2l,1,1,0,turbo_base3B,high: atlas start fingerprint match cols=16 rows=20 src=atlas; identique vs ORI 9979; fp=4ec276653486 uniq=16 len=640
turbo,40,high,turbo_base3B@1C1B2C,turbo_base3B,0x1C1B2C,0x1C1B2C,0x801C1B2C,atlas_start,0x0,turbo_base3B@1C1B2C,1C1B2C,16,20,640,Turbo boost pressure,a2l,1,1,0,turbo_base3B,high: atlas start fingerprint match cols=16 rows=20 src=atlas; identique vs ORI 9979; fp=a04b952d0907 uniq=10 len=640
turbo,40,high,turbo_base3B@1C1DAC,turbo_base3B,0x1C1DAC,0x1C1DAC,0x801C1DAC,atlas_start,0x0,turbo_base3B@1C1DAC,1C1DAC,16,20,640,Turbo boost pressure,a2l,1,1,0,turbo_base3B,high: atlas start fingerprint match cols=16 rows=20 src=atlas; identique vs ORI 9979; fp=a04b952d0907 uniq=10 len=640
turbo,40,high,turbo_base3B@1C202C,turbo_base3B,0x1C202C,0x1C202C,0x801C202C,atlas_start,0x0,turbo_base3B@1C202C,1C202C,16,20,640,Turbo boost pressure,a2l,1,1,0,turbo_base3B,high: atlas start fingerprint match cols=16 rows=20 src=atlas; identique vs ORI 9979; fp=a04b952d0907 uniq=10 len=640
turbo,40,high,turbo_base3B@1C2A2C,turbo_base3B,0x1C2A2C,0x1C2A2C,0x801C2A2C,atlas_start,0x0,turbo_base3B@1C2A2C,1C2A2C,16,20,640,Turbo boost pressure,a2l,1,1,0,turbo_base3B,high: atlas start fingerprint match cols=16 rows=20 src=atlas; identique vs ORI 9979; fp=db4347d298ef uniq=8 len=640
turbo,40,high,turbo_base3B@1C2CAC,turbo_base3B,0x1C2CAC,0x1C2CAC,0x801C2CAC,atlas_start,0x0,turbo_base3B@1C2CAC,1C2CAC,16,20,640,Turbo boost pressure,a2l,1,1,0,turbo_base3B,high: atlas start fingerprint match cols=16 rows=20 src=atlas; identique vs ORI 9979; fp=db4347d298ef uniq=8 len=640
turbo,40,high,turbo_base3B@1C2F2C,turbo_base3B,0x1C2F2C,0x1C2F2C,0x801C2F2C,atlas_start,0x0,turbo_base3B@1C2F2C,1C2F2C,16,20,640,Turbo boost pressure,a2l,1,1,0,turbo_base3B,high: atlas start fingerprint match cols=16 rows=20 src=atlas; identique vs ORI 9979; fp=db4347d298ef uniq=8 len=640
turbo,40,high,turbo_base3B@1C31AC,turbo_base3B,0x1C31AC,0x1C31AC,0x801C31AC,atlas_start,0x0,turbo_base3B@1C31AC,1C31AC,16,20,640,Turbo boost pressure,a2l,1,1,0,turbo_base3B,high: atlas start fingerprint match cols=16 rows=20 src=atlas; identique vs ORI 9979; fp=373676069272 uniq=13 len=640
turbo,40,high,turbo_base3B@1C342C,turbo_base3B,0x1C342C,0x1C342C,0x801C342C,atlas_start,0x0,turbo_base3B@1C342C,1C342C,16,20,640,Turbo boost pressure,a2l,1,1,0,turbo_base3B,high: atlas start fingerprint match cols=16 rows=20 src=atlas; identique vs ORI 9979; fp=373676069272 uniq=13 len=640
