offset,old_name,new_name,confidence,a2l_id,notes,grid80,call_site,a2l_folder,axis_x,axis_y,same_9979
0x1805FC,map_horsA2L_1805FC,map_horsA2L_1805FC,low,,low: pas dans l A2L/atlas 9979 (299 maps WinOLS) — nommer a la main si besoin; identique 64o vs 9979 au meme offset; fp32=0e3560ca4ba3 uniq_u16=16; grid_rec=0x185698 (mismatch); ax=0x17D54C; ay=0x17A54C,0x801805FC,0x800E9E52,,0x17D54C,0x17A54C,1
0x180688,map_horsA2L_180688,map_horsA2L_180688,low,,low: pas dans l A2L/atlas 9979 (299 maps WinOLS) — nommer a la main si besoin; differe de 9979 au meme offset; fp32=24bec92b8c86 uniq_u16=16; grid_rec=0x180688; ax=0x17B558,0x80180688,0x800E9E8C,,0x17B558,,0
0x1816B8,map_horsA2L_1816B8,map_horsA2L_1816B8,low,,low: pas dans l A2L/atlas 9979 (299 maps WinOLS) — nommer a la main si besoin; identique 64o vs 9979 au meme offset; fp32=aac54bc61326 uniq_u16=20; grid_rec=0x1816B8; ax=0x184550; ay=0x17E558,0x801816B8,0x800DE6A8,,0x184550,0x17E558,1
0x1816C8,map_horsA2L_1816C8,map_horsA2L_1816C8,low,,low: pas dans l A2L/atlas 9979 (299 maps WinOLS) — nommer a la main si besoin; identique 64o vs 9979 au meme offset; fp32=4ed96e4bc9cc uniq_u16=20,0x801816C8,0x800DD558,,,,1
0x1824A4,map_horsA2L_1824A4,map_horsA2L_1824A4,low,,low: pas dans l A2L/atlas 9979 (299 maps WinOLS) — nommer a la main si besoin; identique 64o vs 9979 au meme offset; fp32=8c171d294db4 uniq_u16=17; grid_rec=0x1824D8 (mismatch); ax=0x181484,0x801824A4,0x800C6C06,,0x181484,,1
0x182558,map_horsA2L_182558,map_horsA2L_182558,low,,low: pas dans l A2L/atlas 9979 (299 maps WinOLS) — nommer a la main si besoin; identique 64o vs 9979 au meme offset; fp32=cda3d4e95705 uniq_u16=24; grid_rec=0x1786E8 (mismatch); ax=0x182558; ay=0x183550,0x80182558,0x800DD238,,0x182558,0x183550,1
0x182564,map_horsA2L_182564,map_horsA2L_182564,low,,low: pas dans l A2L/atlas 9979 (299 maps WinOLS) — nommer a la main si besoin; identique 64o vs 9979 au meme offset; fp32=5303c858b352 uniq_u16=25; grid_rec=0x1796D0 (mismatch); ax=0x182564; ay=0x18355C,0x80182564,0x800DD65E,,0x182564,0x18355C,1
0x182570,map_horsA2L_182570,map_horsA2L_182570,low,,low: pas dans l A2L/atlas 9979 (299 maps WinOLS) — nommer a la main si besoin; identique 64o vs 9979 au meme offset; fp32=36a2d6e76a19 uniq_u16=27; grid_rec=0x17A678 (mismatch); ax=0x182570; ay=0x17F550,0x80182570,0x800E9A08,,0x182570,0x17F550,1
0x183518,map_horsA2L_183518,map_horsA2L_183518,low,,low: pas dans l A2L/atlas 9979 (299 maps WinOLS) — nommer a la main si besoin; identique 64o vs 9979 au meme offset; fp32=ca679faf4dc2 uniq_u16=21; grid_rec=0x183518; ax=0x17D454; ay=0x17C460,0x80183518,0x800C6E6C,,0x17D454,0x17C460,1
0x183540,map_horsA2L_183540,map_horsA2L_183540,low,,low: pas dans l A2L/atlas 9979 (299 maps WinOLS) — nommer a la main si besoin; identique 64o vs 9979 au meme offset; fp32=19751b82cc80 uniq_u16=21; grid_rec=0x17C668 (mismatch); ax=0x183540; ay=0x18158C,0x80183540,0x800E9DA0,,0x183540,0x18158C,1
0x18357C,map_horsA2L_18357C,map_horsA2L_18357C,low,,low: 8000/A000 fill — pas une grille Nm lisible (ex. 1C4994); identique 64o vs 9979 au meme offset; fp32=165925c7b216 uniq_u16=8; grid_rec=0x17E658 (mismatch); ax=0x18357C; ay=0x17E548,0x8018357C,0x800E9AEA,,0x18357C,0x17E548,1
0x1835AC,map_horsA2L_1835AC,map_horsA2L_1835AC,low,,low: pas dans l A2L/atlas 9979 (299 maps WinOLS) — nommer a la main si besoin; identique 64o vs 9979 au meme offset; fp32=76bb72c8258d uniq_u16=11,0x801835AC,0x800DCFF4,,,,1
0x1836A8,map_horsA2L_1836A8,map_horsA2L_1836A8,low,,low: pas dans l A2L/atlas 9979 (299 maps WinOLS) — nommer a la main si besoin; identique 64o vs 9979 au meme offset; fp32=879501fb54a2 uniq_u16=22; grid_rec=0x1836A8; ax=0x184564; ay=0x17E568,0x801836A8,0x800E9AA4,,0x184564,0x17E568,1
0x184498,map_horsA2L_184498,map_horsA2L_184498,low,,low: pas dans l A2L/atlas 9979 (299 maps WinOLS) — nommer a la main si besoin; identique 64o vs 9979 au meme offset; fp32=c6db6d86b2ec uniq_u16=10; grid_rec=0x184498; ax=0x17E444; ay=0x17B450,0x80184498,0x80081A9A,,0x17E444,0x17B450,1
0x1845A4,map_horsA2L_1845A4,map_horsA2L_1845A4,low,,low: pas dans l A2L/atlas 9979 (299 maps WinOLS) — nommer a la main si besoin; identique 64o vs 9979 au meme offset; fp32=894b0b833aa9 uniq_u16=5,0x801845A4,0x800DD096,,,,1
