Golf 9980 hub grids - HIGH only (empreinte unique vs atlas 9979 / A2L)
Generated by identify_hub_grids.py - ne pas inventer de noms hors cette liste
counts high=23 medium=256 low=858 total=1137  (unique HIGH addrs=16)

addr      id_name                        hubs
------------------------------------------------------------------------
0x18D998  soi_base_int_trq2A              D
0x195988  soi_base_int_trq2A              C
0x195998  soi_base_int_trq2A              F
0x196BC0  soi_base_int_trq2A              I
0x197998  soi_base_int_trq2A              F
0x1C09B0  turbo_base3B                    D,G,I
0x1C1B50  turbo_base3B                    2d
0x1C206C  turbo_base3B                    F,K
0x1C3ABC  turbo_int_trq_correction2C      2d,C
0x1C3AC4  turbo_int_trq_correction2C      B
0x1C43AC  turbo_int_trq_correction2C      F
0x1CFAE4  AccPed_trq4A                    F
0x1CFCE4  AccPed_trq4A                    D,F,I,K
0x1CFFC0  AccPed_trq4A                    2d
0x1D2FA0  trq_strt3A                      F
0x1D333C  trq__nm_corr_tmot               E
