rank,hub,addr,grid80,id_name,family,roles,folder,delta,map_start,uniq_u16,usefulness,same_9979,call_site,axis_x,axis_y,fam_label,family_id_re,notes
1,B,0x1D0AA8,0xA01D0AA8,AccPed_trq4A,AccPed_trq4A,stage1_core,Engine torque request,0x4C,0x1D0A5C,29,10,1,0x8010FED6,,0xA01B6818,B_fam_unkX_unkY_1D0AA8,B_fam_0025,medium: pointe DANS AccPed_trq4A @0x1D0A5C +0x4C (Engine torque request) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=4e23ee78a921 uniq_u16=29
2,N,0x1D0ACC,0xA01D0ACC,AccPed_trq4A,AccPed_trq4A,stage1_core,Engine torque request,0x70,0x1D0A5C,29,10,1,0x80116446,,,N_fam_unkX_unkY_1D0ACC,N_fam_0032,medium: pointe DANS AccPed_trq4A @0x1D0A5C +0x70 (Engine torque request) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=9c9061c2a997 uniq_u16=29
3,C,0x1CFA30,0xA01CFA30,AccPed_trq4A,AccPed_trq4A,stage1_core,Engine torque request,0x70,0x1CF9C0,26,10,0,0x80116CAE,0xA01A46C0,,C_fam_unkX_unkY_1CFA30,C_fam_0140,medium: pointe DANS AccPed_trq4A @0x1CF9C0 +0x70 (Engine torque request) - pas le debut; comment only; differe de 9979 au meme offset; fp32=b60a07b67dab uniq_u16=26
4,E,0x1CFA3C,0xA01CFA3C,AccPed_trq4A,AccPed_trq4A,stage1_core,Engine torque request,0x7C,0x1CF9C0,22,10,0,0x80116C8E,,,E_fam_D0003154_unkY_1CFA3C,E_fam_0080,medium: pointe DANS AccPed_trq4A @0x1CF9C0 +0x7C (Engine torque request) - pas le debut; comment only; differe de 9979 au meme offset; fp32=78fffd206fe2 uniq_u16=22
5,O,0x1CFA3C,0xA01CFA3C,AccPed_trq4A,AccPed_trq4A,stage1_core,Engine torque request,0x7C,0x1CF9C0,22,10,0,0x80116C78,0xA01A04D0,,O_fam_D0003154_unkY_1CFA3C,O_fam_0012,medium: pointe DANS AccPed_trq4A @0x1CF9C0 +0x7C (Engine torque request) - pas le debut; comment only; differe de 9979 au meme offset; fp32=78fffd206fe2 uniq_u16=22
6,C,0x1CFE3C,0xA01CFE3C,AccPed_trq4A,AccPed_trq4A,stage1_core,Engine torque request,0x7C,0x1CFDC0,22,10,0,0x8007D838,0xA01A3644,0xA01A066C,C_fam_unkX_D0002AF6_1CFE3C,C_fam_0070,medium: pointe DANS AccPed_trq4A @0x1CFDC0 +0x7C (Engine torque request) - pas le debut; comment only; differe de 9979 au meme offset; fp32=78fffd206fe2 uniq_u16=22
7,C,0x1D0ADC,0xA01D0ADC,AccPed_trq4A,AccPed_trq4A,stage1_core,Engine torque request,0x80,0x1D0A5C,29,10,1,0x8008749C,0xA01A46A0,,C_fam_unkX_unkY_1D0ADC,C_fam_0139,medium: pointe DANS AccPed_trq4A @0x1D0A5C +0x80 (Engine torque request) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=134f2b3d642e uniq_u16=29
8,2d,0x1D0AEC,0xA01D0AEC,AccPed_trq4A,AccPed_trq4A,stage1_core,Engine torque request,0x90,0x1D0A5C,29,10,1,0x800DDFF8,0xA01A7534,,fam_unkX_D0001ADE_1D0AEC,fam_0117,medium: pointe DANS AccPed_trq4A @0x1D0A5C +0x90 (Engine torque request) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=e8b7692af6a2 uniq_u16=29
9,E,0x1CFEB4,0xA01CFEB4,AccPed_trq4A,AccPed_trq4A,stage1_core,Engine torque request,0xF4,0x1CFDC0,23,10,0,0x80119B58,,,E_fam_D000243E_unkY_1CFEB4,E_fam_0072,medium: pointe DANS AccPed_trq4A @0x1CFDC0 +0xF4 (Engine torque request) - pas le debut; comment only; differe de 9979 au meme offset; fp32=cc5fea5475a1 uniq_u16=23
10,H,0x1D073A,0xA01D073A,AccPed_trq4A,AccPed_trq4A,stage1_core,Engine torque request,0xFA,0x1D0640,2,10,1,0x8009902A,,,H_fam_unkX_unkY_1D073A,H_fam_0075,medium: pointe DANS AccPed_trq4A @0x1D0640 +0xFA (Engine torque request) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=d6de0b9f09f1 uniq_u16=2
11,B,0x1D32CC,0xA01D32CC,tqlim_base_pu_4A,tqlim_base_pu_4A,stage1_core,Engine torque limiters,0x13C,0x1D3190,5,20,0,0x8008736E,0xA01B4894,0xA01B2868,B_fam_unkX_unkY_1D32CC,B_fam_0003,medium: pointe DANS tqlim_base_pu_4A @0x1D3190 +0x13C (Engine torque limiters) - pas le debut; comment only; differe de 9979 au meme offset; fp32=c341347c2deb uniq_u16=5
