hub,fam_label,addr,grid80,id_name,new_name,confidence,notes,call_site,axis_x,axis_y,folder,same_9979,family_id_re
2d,fam_unkX_unkY_1CBE40,0x1CBE40,0xA01CBE40,,,low,low: pas dans A2L/atlas 9979 — nommer a la main si besoin; identique 64o vs 9979 au meme offset; fp32=5e57a10f6a65 uniq_u16=26,0x80074D4E,0xA01A2534,0xA01A3650,,1,fam_0034
2d,fam_unkX_unkY_1CBE7C,0x1CBE7C,0xA01CBE7C,,,low,low: pas dans A2L/atlas 9979 — nommer a la main si besoin; identique 64o vs 9979 au meme offset; fp32=3845afe2bdf7 uniq_u16=27,0x80074D78,0xA01A2710,0xA01A365C,,1,fam_0035
2d,fam_unkX_unkY_1D1E64,0x1D1E64,0xA01D1E64,smoke_mapA,,medium,medium: pointe DANS smoke_mapA @0x1D1D18 +0x14C (Smoke limitation) — pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=e1af9780e7ca uniq_u16=30,0x80074DB2,0xA01A2710,0xA01AD8D0,Smoke limitation,1,fam_0036
2d,fam_unkX_unkY_1D0E48,0x1D0E48,0xA01D0E48,smoke_maf_trqA,,medium,medium: pointe DANS smoke_maf_trqA @0x1D0CEC +0x15C (Smoke limitation) — pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=5b5045aac031 uniq_u16=1,0x80074DCE,0xA01A3708,0xA01AD8D0,Smoke limitation,1,fam_0040
2d,fam_unkX_unkY_1CEE20,0x1CEE20,0xA01CEE20,,,low,low: pas dans A2L/atlas 9979 — nommer a la main si besoin; identique 64o vs 9979 au meme offset; fp32=1da45d5138fa uniq_u16=10,0x80074E9C,0xA01B675C,0xA01AD8D0,,1,fam_0086
2d,fam_unkX_unkY_1CDE04,0x1CDE04,0xA01CDE04,duration_inj6A,,medium,medium: pointe DANS duration_inj6A @0x1CDC84 +0x180 (Injection system) — pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=cd095dabb1cd uniq_u16=32,0x80074EBE,0xA01A2734,0xA01AD8D0,Injection system,1,fam_0037
2d,fam_unkX_unkY_19E480,0x19E480,0xA019E480,,,low,low: 8000/A000 fill — pas une grille lisible; identique 64o vs 9979 au meme offset; fp32=155a064a08ac uniq_u16=4,0x8007BC86,0xA01A9218,0xA01A568C,,1,fam_0063
2d,fam_unkX_unkY_1C4994,0x1C4994,0xA01C4994,,,low,low: 8000/A000 fill — pas une grille lisible; tombe dans turbo_int_trq_correction2C +0x168 (Turbo boost pressure) — ne pas renommer; identique 64o vs 9979 au meme offset; fp32=4155ccbaab45 uniq_u16=11,0x8007D730,0xA01A0728,0xA01A0660,,1,fam_0027
2d,fam_unkX_unkY_1C59B0,0x1C59B0,0xA01C59B0,turbo_int_trq_correction2C,,medium,medium: pointe DANS turbo_int_trq_correction2C @0x1C58AC +0x104 (Turbo boost pressure) — pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=7c98bb0af7e0 uniq_u16=9,0x8007D762,0xA01A073C,0xA01A066C,Turbo boost pressure,1,fam_0028
2d,fam_unkX_D0002AC8_1C89FC,0x1C89FC,0xA01C89FC,,,low,low: pas dans A2L/atlas 9979 — nommer a la main si besoin; identique 64o vs 9979 au meme offset; fp32=c79c9e3aff21 uniq_u16=32,0x8007DB10,0xA01A1710,0xA01A1678,,1,fam_0010
2d,fam_unkX_unkY_19F61C,0x19F61C,0xA019F61C,,,low,low: pas dans A2L/atlas 9979 — nommer a la main si besoin; identique 64o vs 9979 au meme offset; fp32=14b2f43ebf15 uniq_u16=6,0x8007F122,0xA01A070C,0xA01AA70C,,1,fam_0026
2d,fam_unkX_unkY_19A468,0x19A468,0xA019A468,soi_base_int_trq2A,,medium,medium: pointe DANS soi_base_int_trq2A @0x19A380 +0xE8 (Start of injection SOI) — pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=34fe461b4ff5 uniq_u16=30,0x8007F178,0xA01AB908,0xA01AE8E0,Start of injection SOI,1,fam_0013
2d,fam_unkX_unkY_1D2DC4,0x1D2DC4,0xA01D2DC4,,,low,low: 8000/A000 fill — pas une grille lisible; identique 64o vs 9979 au meme offset; fp32=48fb9447a011 uniq_u16=4,0x80080B06,0xA01AA850,0xA01AE8FC,,1,fam_0064
2d,fam_D000194C_unkY_1864A8,0x1864A8,0xA01864A8,,,low,low: pas dans A2L/atlas 9979 — nommer a la main si besoin; identique 64o vs 9979 au meme offset; fp32=c52fbcdaac27 uniq_u16=1,0x800819E2,,,,1,fam_0125
2d,fam_D00031EE_unkY_184498,0x184498,0xA0184498,,,low,low: pas dans A2L/atlas 9979 — nommer a la main si besoin; identique 64o vs 9979 au meme offset; fp32=c6db6d86b2ec uniq_u16=10,0x80081A9A,,,,1,fam_0009
2d,fam_D00031EE_unkY_1874B0,0x1874B0,0xA01874B0,,,low,low: pas dans A2L/atlas 9979 — nommer a la main si besoin; identique 64o vs 9979 au meme offset; fp32=0f26c7b36e2a uniq_u16=9,0x80081AF6,,,,1,fam_0009
2d,fam_D00031EE_unkY_1854A0,0x1854A0,0xA01854A0,,,low,low: pas dans A2L/atlas 9979 — nommer a la main si besoin; identique 64o vs 9979 au meme offset; fp32=38d2dec3b9ff uniq_u16=17,0x80081BAE,,,,1,fam_0009
2d,fam_unkX_unkY_19947C,0x19947C,0xA019947C,soi_base_int_trq2A,,medium,medium: pointe DANS soi_base_int_trq2A @0x199380 +0xFC (Start of injection SOI) — pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=774f3bd67e53 uniq_u16=26,0x80085F44,0xA01B6928,0xA01B0938,Start of injection SOI,1,fam_0088
2d,fam_D000248E_D000247C_1CC29C,0x1CC29C,0xA01CC29C,,,low,low: pas dans A2L/atlas 9979 — nommer a la main si besoin; identique 64o vs 9979 au meme offset; fp32=1758021fd0d6 uniq_u16=28,0x80087876,0xA01A6600,,,1,fam_0115
2d,fam_unkX_unkY_1CA2BC,0x1CA2BC,0xA01CA2BC,,,low,low: pas dans A2L/atlas 9979 — nommer a la main si besoin; identique 64o vs 9979 au meme offset; fp32=6735abb12acd uniq_u16=6,0x80087904,0xA01A88EC,0xA01A14C4,,1,fam_0060
2d,fam_unkX_unkY_1C92B4,0x1C92B4,0xA01C92B4,,,low,low: pas dans A2L/atlas 9979 — nommer a la main si besoin; differe de 9979 au meme offset; fp32=fdbe413597b4 uniq_u16=29,0x80087954,0xA01A88EC,0xA01B89C8,,0,fam_0062
2d,fam_D000249A_D0002498_1D10DC,0x1D10DC,0xA01D10DC,smoke_mapA,,medium,medium: pointe DANS smoke_mapA @0x1D0F2C +0x1B0 (Smoke limitation) — pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=5b5045aac031 uniq_u16=1,0x8008797E,0xA01A88EC,0xA01A74E4,Smoke limitation,1,fam_0061
2d,fam_unkX_unkY_1D20E4,0x1D20E4,0xA01D20E4,smoke_mapA,,medium,medium: pointe DANS smoke_mapA @0x1D1FC4 +0x120 (Smoke limitation) — pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=5c9625e787d8 uniq_u16=31,0x800879EC,,0xA01A74F4,Smoke limitation,1,fam_0091
2d,fam_D0002496_unkY_1D30EC,0x1D30EC,0xA01D30EC,,,low,low: pas dans A2L/atlas 9979 — nommer a la main si besoin; identique 64o vs 9979 au meme offset; fp32=ba40dd6e0af4 uniq_u16=6,0x80087A56,0xA01A66E0,0xA01A74F4,,1,fam_0011
2d,fam_D0002496_D0002480_1CC0EC,0x1CC0EC,0xA01CC0EC,,,low,low: pas dans A2L/atlas 9979 — nommer a la main si besoin; identique 64o vs 9979 au meme offset; fp32=18ea126de18a uniq_u16=27,0x80087A78,0xA01A66E0,0xA01A74F4,,1,fam_0011
2d,fam_unkX_unkY_1EECEC,0x1EECEC,0xA01EECEC,,,low,low: 8000/A000 fill — pas une grille lisible; identique 64o vs 9979 au meme offset; fp32=66687aadf862 uniq_u16=1,0x80088DBE,,,,1,fam_0136
2d,fam_unkX_D000191C_1D587C,0x1D587C,0xA01D587C,,,low,low: pas dans A2L/atlas 9979 — nommer a la main si besoin; identique 64o vs 9979 au meme offset; fp32=0bb0be65b22f uniq_u16=21,0x8008CD5A,0xA01A645C,0xA01AA800,,1,fam_0052
