grid80,call_site,ram_x,ram_y,axis_x,axis_y,family_id,suggested_name,fam_label,cluster_n,notes
,0x80055D1E,,,,,B_fam_0043,B_lookup_unresolved_055D1E,B_fam_unkX_unkY_055D1E,1,hub=interp_2d_B;static_miss_indirect_d4d5;RE_not_OEM
0xA018440C,0x8006202E,,,,,B_fam_0044,B_lookup_unresolved_06202E,B_fam_unkX_unkY_18440C,1,hub=interp_2d_B;static_miss_indirect_d4d5;RE_not_OEM
0xA0185400,0x80062080,,,,,B_fam_0045,B_lookup_unresolved_062080,B_fam_unkX_unkY_185400,1,hub=interp_2d_B;static_miss_indirect_d4d5;RE_not_OEM
0xA01C58E0,0x8007B2B4,,,0xA01A0648,0xA01BC9F8,B_fam_0012,B_lookup_ax_X_Y_1C58E0,B_fam_unkX_unkY_1C58E0,1,hub=interp_2d_B;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA0181508,0x800817A4,0xD00031EC,0xD00031E8,,,B_fam_0033,B_lookup_D00031EC_x_D00031E8_181508,B_fam_D00031EC_D00031E8_181508,1,hub=interp_2d_B;d4=ld.hu_bo+a14;d5=ld.hu_abs;RE_not_OEM
0xA0181508,0x800817D4,0xD00031EC,,,,B_fam_0041,B_lookup_unresolved_0817D4,B_fam_D00031EC_unkY_181508,1,hub=interp_2d_B;d4=ld.hu_bo+a14;static_miss_indirect_d4d5;RE_not_OEM
0xA01844C8,0x8008190E,0xD00031F0,0xD000195A,,,B_fam_0007,B_lookup_D00031F0_x_D000195A_1844C8,B_fam_D00031F0_D000195A_1844C8,2,hub=interp_2d_B;d4=ld.hu_abs;d5=ld.hu_abs;RE_not_OEM
0xA01844C8,0x8008193C,0xD00031F0,0xD000195A,,,B_fam_0007,B_lookup_D00031F0_x_D000195A_1844C8,B_fam_D00031F0_D000195A_1844C8,2,hub=interp_2d_B;d4=ld.hu_abs;d5=ld.hu_abs;RE_not_OEM
0xA0182484,0x80081A3C,0xD00031EE,,,,B_fam_0011,B_lookup_unresolved_081A3C,B_fam_D00031EE_unkY_182484,2,hub=interp_2d_B;d4=ld.hu_abs;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA0182494,0x80081B50,0xD00031EE,,,,B_fam_0011,B_lookup_unresolved_081B50,B_fam_D00031EE_unkY_182494,2,hub=interp_2d_B;d4=ld.hu_abs;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
