grid80,call_site,ram_x,ram_y,axis_x,axis_y,family_id,suggested_name,fam_label,cluster_n,notes
0xA018343C,0x80052C30,,,,,C_fam_0281,C_lookup_unresolved_052C30,C_fam_unkX_unkY_18343C,1,hub=map_interp_C;static_miss_indirect_d4d5;RE_not_OEM
,0x80055066,,,,,C_fam_0282,C_lookup_unresolved_055066,C_fam_unkX_unkY_055066,1,hub=map_interp_C;static_miss_indirect_d4d5;RE_not_OEM
0xA0183410,0x80057410,,,,,C_fam_0283,C_lookup_unresolved_057410,C_fam_unkX_unkY_183410,1,hub=map_interp_C;static_miss_indirect_d4d5;RE_not_OEM
0xA01873C0,0x8005F408,,,,,C_fam_0284,C_lookup_unresolved_05F408,C_fam_unkX_unkY_1873C0,1,hub=map_interp_C;static_miss_indirect_d4d5;RE_not_OEM
0xA01873DC,0x8005F476,,,,,C_fam_0285,C_lookup_unresolved_05F476,C_fam_unkX_unkY_1873DC,1,hub=map_interp_C;static_miss_indirect_d4d5;RE_not_OEM
,0x800610AE,,,,,C_fam_0286,C_lookup_unresolved_0610AE,C_fam_unkX_unkY_0610AE,1,hub=map_interp_C;static_miss_indirect_d4d5;RE_not_OEM
,0x80061E12,,,,,C_fam_0287,C_lookup_unresolved_061E12,C_fam_unkX_unkY_061E12,1,hub=map_interp_C;static_miss_indirect_d4d5;RE_not_OEM
0xA01D39D8,0x80074222,,,,,C_fam_0288,C_lookup_unresolved_074222,C_fam_unkX_unkY_1D39D8,1,hub=map_interp_C;static_miss_indirect_d4d5;RE_not_OEM
0xA019E4AC,0x80074254,,,0xA01B674C,,C_fam_0007,C_lookup_ax_X_Y_19E4AC,C_fam_unkX_unkY_19E4AC,3,hub=map_interp_C;static_miss_indirect_d4d5;RE_not_OEM
0xA01D39D8,0x800742D6,,,0xA01B674C,,C_fam_0007,C_lookup_ax_X_Y_1D39D8,C_fam_unkX_unkY_1D39D8,3,hub=map_interp_C;static_miss_indirect_d4d5;RE_not_OEM
0xA019E4AC,0x800742FA,,,0xA01B674C,,C_fam_0007,C_lookup_ax_X_Y_19E4AC,C_fam_unkX_unkY_19E4AC,3,hub=map_interp_C;static_miss_indirect_d4d5;RE_not_OEM
0xA019F480,0x80074E68,,,0xA01B675C,0xA01AD8D0,C_fam_0123,C_lookup_ax_X_Y_19F480,C_fam_unkX_unkY_19F480,1,hub=map_interp_C;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01C0AD0,0x80078AB4,0xD000209C,0xD000208A,,,C_fam_0197,C_lookup_D000209C_x_D000208A_1C0AD0,C_fam_D000209C_D000208A_1C0AD0,1,ram_x=a14_at_call;hub=map_interp_C;ram_y_from_lea;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;RE_not_OEM
0xA01C0A84,0x80078AD6,0xD000209C,,,,C_fam_0256,C_lookup_unresolved_078AD6,C_fam_D000209C_unkY_1C0A84,1,ram_x=a14_at_call;hub=map_interp_C;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01D5EC0,0x80078C04,0xD000208E,,0xA01A2630,,C_fam_0255,C_lookup_ax_X_Y_1D5EC0,C_fam_D000208E_unkY_1D5EC0,1,hub=map_interp_C;d4=ld.hu_bo+a14;static_miss_indirect_d4d5;RE_not_OEM
0xA01D6668,0x8007937E,,0xD00018C0,,,C_fam_0215,C_lookup_unresolved_07937E,C_fam_unkX_D00018C0_1D6668,1,ram_y=a15_at_call;hub=map_interp_C;static_miss_indirect_d4d5;RE_not_OEM
,0x8007B254,,,0xA01A0678,0xA01BC9EC,C_fam_0049,C_lookup_ax_X_Y_07B254,C_fam_unkX_unkY_07B254,1,hub=map_interp_C;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x8007B27C,,,0xA01A1644,0xA01BC9EC,C_fam_0056,C_lookup_ax_X_Y_07B27C,C_fam_unkX_unkY_07B27C,1,hub=map_interp_C;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x8007BC2A,,,0xA01AC8E0,0xA01A9200,C_fam_0020,C_lookup_ax_X_Y_07BC2A,C_fam_unkX_unkY_07BC2A,2,hub=map_interp_C;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA019D4B4,0x8007BC48,,,0xA01AC8E0,0xA01A9200,C_fam_0020,C_lookup_ax_X_Y_19D4B4,C_fam_unkX_unkY_19D4B4,2,hub=map_interp_C;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x8007C600,,,0xA01A467C,0xA01B5764,C_fam_0077,C_lookup_ax_X_Y_07C600,C_fam_unkX_unkY_07C600,1,hub=map_interp_C;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA019A44C,0x8007C648,,,0xA01A467C,,C_fam_0138,C_lookup_ax_X_Y_19A44C,C_fam_unkX_unkY_19A44C,1,hub=map_interp_C;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x8007D4D4,,,,,C_fam_0289,C_lookup_unresolved_07D4D4,C_fam_unkX_unkY_07D4D4,1,hub=map_interp_C;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01D39F4,0x8007D5A8,,,,0xA01A2650,C_fam_0130,C_lookup_ax_X_Y_1D39F4,C_fam_unkX_unkY_1D39F4,1,hub=map_interp_C;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01CFE3C,0x8007D838,,0xD0002AF6,0xA01A3644,0xA01A066C,C_fam_0070,C_lookup_ax_X_Y_1CFE3C,C_fam_unkX_D0002AF6_1CFE3C,1,hub=map_interp_C;d4=ld.hu_bo/indirect;d5=ld.hu_abs;static_miss_indirect_d4d5;RE_not_OEM
0xA01CFE3C,0x8007DA38,,,0xA01A3644,0xA01AEB14,C_fam_0071,C_lookup_ax_X_Y_1CFE3C,C_fam_unkX_unkY_1CFE3C,1,hub=map_interp_C;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01CEE94,0x80082022,,,0xA01B594C,0xA01BBAD8,C_fam_0122,C_lookup_ax_X_Y_1CEE94,C_fam_unkX_unkY_1CEE94,1,hub=map_interp_C;static_miss_indirect_d4d5;RE_not_OEM
,0x80085BB2,,,0xA01B4870,0xA01BCAF8,C_fam_0120,C_lookup_ax_X_Y_085BB2,C_fam_unkX_unkY_085BB2,1,hub=map_interp_C;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01C0A98,0x80085C3A,,,0xA01B4870,,C_fam_0169,C_lookup_ax_X_Y_1C0A98,C_fam_unkX_unkY_1C0A98,1,hub=map_interp_C;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01CC804,0x80085EA0,0xD0003028,,,,C_fam_0279,C_lookup_unresolved_085EA0,C_fam_D0003028_unkY_1CC804,1,hub=map_interp_C;d4=ld.hu_abs;static_miss_indirect_d4d5;RE_not_OEM
,0x80085FC0,,,0xA01B0928,0xA01B0938,C_fam_0028,C_lookup_ax_X_Y_085FC0,C_fam_unkX_unkY_085FC0,2,hub=map_interp_C;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x80085FD4,,,0xA01B0928,0xA01B0938,C_fam_0028,C_lookup_ax_X_Y_085FD4,C_fam_unkX_unkY_085FD4,2,hub=map_interp_C;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA019946C,0x8008637C,,0xD0003018,0xA01AC1B4,,C_fam_0233,C_lookup_ax_X_Y_19946C,C_fam_unkX_D0003018_19946C,1,ram_y=a15_at_call;hub=map_interp_C;static_miss_indirect_d4d5;RE_not_OEM
,0x80087038,,,,,C_fam_0290,C_lookup_unresolved_087038,C_fam_unkX_unkY_087038,1,hub=map_interp_C;static_miss_indirect_d4d5;RE_not_OEM
0xA01D0ADC,0x8008749C,,,0xA01A46A0,,C_fam_0139,C_lookup_ax_X_Y_1D0ADC,C_fam_unkX_unkY_1D0ADC,1,hub=map_interp_C;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA019A438,0x80087920,,,0xA01A88EC,0xA01A14C4,C_fam_0090,C_lookup_ax_X_Y_19A438,C_fam_unkX_unkY_19A438,1,hub=map_interp_C;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01CDE50,0x8008B652,0xD0001AB8,,0xA01A3674,,C_fam_0247,C_lookup_ax_X_Y_1CDE50,C_fam_D0001AB8_unkY_1CDE50,1,hub=map_interp_C;d4=ld.hu_bo+a14;static_miss_indirect_d4d5;RE_not_OEM
