grid80,call_site,ram_x,ram_y,axis_x,axis_y,family_id,suggested_name,fam_label,cluster_n,notes
0xA019E6C4,0x80073F76,,,0xA01AD8C4,,D_fam_0089,D_lookup_ax_X_Y_19E6C4,D_fam_unkX_unkY_19E6C4,1,hub=map_interp_D;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x80073FCE,,,0xA01B8938,0xA01AC908,D_fam_0062,D_lookup_ax_X_Y_073FCE,D_fam_unkX_unkY_073FCE,1,hub=map_interp_D;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA019F6C0,0x80074028,,,,,D_fam_0136,D_lookup_unresolved_074028,D_fam_unkX_unkY_19F6C0,1,hub=map_interp_D;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x8007408E,,,0xA01AB924,,D_fam_0086,D_lookup_ax_X_Y_07408E,D_fam_unkX_unkY_07408E,1,hub=map_interp_D;static_miss_indirect_d4d5;RE_not_OEM
0xA019E6DC,0x800740CC,,,0xA01AB924,0xA01B7C18,D_fam_0046,D_lookup_ax_X_Y_19E6DC,D_fam_unkX_unkY_19E6DC,1,hub=map_interp_D;static_miss_indirect_d4d5;RE_not_OEM
0xA01CDE04,0x80074EFA,,,0xA01A2734,0xA01AD8D0,D_fam_0026,D_lookup_ax_X_Y_1CDE04,D_fam_unkX_unkY_1CDE04,1,hub=map_interp_D;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x8007A79E,0xD0002D60,0xD0002D74,,,D_fam_0118,D_lookup_D0002D60_x_D0002D74,D_fam_D0002D60_D0002D74_07A79E,1,hub=map_interp_D;ram_pair_from_lea_fallback_not_d4d5;d4=ld.hu_bo/indirect;RE_not_OEM
0xA019E480,0x8007BCB6,,,0xA01A9218,0xA01A568C,D_fam_0039,D_lookup_ax_X_Y_19E480,D_fam_unkX_unkY_19E480,1,hub=map_interp_D;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA019E63C,0x8007BDCA,,,0xA01B0740,,D_fam_0094,D_lookup_ax_X_Y_19E63C,D_fam_unkX_unkY_19E63C,1,hub=map_interp_D;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA019B568,0x8007D268,,,,,D_fam_0137,D_lookup_unresolved_07D268,D_fam_unkX_unkY_19B568,1,hub=map_interp_D;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
