grid80,call_site,ram_x,ram_y,axis_x,axis_y,family_id,suggested_name,fam_label,cluster_n,notes
0xA01863C8,0x80053D44,,,,,E_fam_0082,E_lookup_unresolved_053D44,E_fam_unkX_unkY_1863C8,1,hub=map_interp_E;static_miss_indirect_d4d5;RE_not_OEM
0xA01863D4,0x80053D7A,,,,,E_fam_0083,E_lookup_unresolved_053D7A,E_fam_unkX_unkY_1863D4,1,hub=map_interp_E;static_miss_indirect_d4d5;RE_not_OEM
0xA0183400,0x80053F36,,,,,E_fam_0084,E_lookup_unresolved_053F36,E_fam_unkX_unkY_183400,1,hub=map_interp_E;static_miss_indirect_d4d5;RE_not_OEM
0xA0183420,0x80053F62,,,,,E_fam_0085,E_lookup_unresolved_053F62,E_fam_unkX_unkY_183420,1,hub=map_interp_E;static_miss_indirect_d4d5;RE_not_OEM
0xA0183420,0x80054018,,,,,E_fam_0086,E_lookup_unresolved_054018,E_fam_unkX_unkY_183420,1,hub=map_interp_E;static_miss_indirect_d4d5;RE_not_OEM
,0x800556B8,,,,,E_fam_0087,E_lookup_unresolved_0556B8,E_fam_unkX_unkY_0556B8,1,hub=map_interp_E;static_miss_indirect_d4d5;RE_not_OEM
0xA0183430,0x8005843E,,,,,E_fam_0088,E_lookup_unresolved_05843E,E_fam_unkX_unkY_183430,1,hub=map_interp_E;static_miss_indirect_d4d5;RE_not_OEM
0xA01C886C,0x8007981C,,,,,E_fam_0089,E_lookup_unresolved_07981C,E_fam_unkX_unkY_1C886C,1,hub=map_interp_E;static_miss_indirect_d4d5;RE_not_OEM
,0x8007BF2C,0xD000BAD8,0xD000BADA,0xA01A8234,,E_fam_0062,E_lookup_D000BAD8_x_D000BADA,E_fam_D000BAD8_D000BADA_07BF2C,1,ram_x=a14_at_call;hub=map_interp_E;d5=ld.hu_bo;RE_not_OEM
,0x8007F1CE,,,0xA01B7904,0xA01AE8E0,E_fam_0029,E_lookup_ax_X_Y_07F1CE,E_fam_unkX_unkY_07F1CE,1,hub=map_interp_E;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01D39E8,0x8008068A,,0xD0002166,,,E_fam_0066,E_lookup_unresolved_08068A,E_fam_unkX_D0002166_1D39E8,1,ram_y=a15_at_call;hub=map_interp_E;static_miss_indirect_d4d5;RE_not_OEM
0xA01C4988,0x800806E0,,,,,E_fam_0090,E_lookup_unresolved_0806E0,E_fam_unkX_unkY_1C4988,1,hub=map_interp_E;static_miss_indirect_d4d5;RE_not_OEM
0xA01C58C0,0x80080CEC,,0xD0002D0C,,,E_fam_0067,E_lookup_unresolved_080CEC,E_fam_unkX_D0002D0C_1C58C0,1,hub=map_interp_E;d4=ld.hu_bo/indirect;d5=ld.hu_abs;static_miss_indirect_d4d5;RE_not_OEM
