grid80,call_site,ram_x,ram_y,axis_x,axis_y,family_id,suggested_name,fam_label,cluster_n,notes
0xA019E6C4,0x80073F82,,,0xA01AD8C4,0xA01B8938,F_fam_0058,F_lookup_ax_X_Y_19E6C4,F_fam_unkX_unkY_19E6C4,1,hub=map_interp_F;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x80073FDA,,,0xA01AC908,0xA01A9C38,F_fam_0014,F_lookup_ax_X_Y_073FDA,F_fam_unkX_unkY_073FDA,2,hub=map_interp_F;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01CE85C,0x80074018,,,0xA01AC908,0xA01A9C38,F_fam_0014,F_lookup_ax_X_Y_1CE85C,F_fam_unkX_unkY_1CE85C,2,hub=map_interp_F;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01D08BC,0x80074040,,,,,F_fam_0093,F_lookup_unresolved_074040,F_fam_unkX_unkY_1D08BC,1,hub=map_interp_F;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x8007409A,,,0xA01AB924,0xA01B7C18,F_fam_0013,F_lookup_ax_X_Y_07409A,F_fam_unkX_unkY_07409A,2,hub=map_interp_F;static_miss_indirect_d4d5;RE_not_OEM
0xA01C985C,0x800740BC,,,0xA01AB924,0xA01B7C18,F_fam_0013,F_lookup_ax_X_Y_1C985C,F_fam_unkX_unkY_1C985C,2,hub=map_interp_F;static_miss_indirect_d4d5;RE_not_OEM
0xA01CB87C,0x800740E0,,,0xA01B7C18,,F_fam_0082,F_lookup_ax_X_Y_1CB87C,F_fam_unkX_unkY_1CB87C,1,hub=map_interp_F;static_miss_indirect_d4d5;RE_not_OEM
0xA01CDE5C,0x8007E3D0,,,0xA01A163C,0xA01A57F0,F_fam_0041,F_lookup_ax_X_Y_1CDE5C,F_fam_unkX_unkY_1CDE5C,1,hub=map_interp_F;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA019E62C,0x8007F250,,,0xA01B7904,0xA01AE8E0,F_fam_0068,F_lookup_ax_X_Y_19E62C,F_fam_unkX_unkY_19E62C,1,hub=map_interp_F;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x80080B40,,,0xA01AA850,0xA01AE8FC,F_fam_0056,F_lookup_ax_X_Y_080B40,F_fam_unkX_unkY_080B40,1,hub=map_interp_F;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x80081FEA,0xD0000000,0xD0003652,0xA01B2868,0xA01BBAD8,F_fam_0018,F_lookup_D0000000_x_D0003652,F_fam_D0000000_D0003652_081FEA,2,hub=map_interp_F;ram_pair_from_lea_fallback_not_d4d5;RE_not_OEM
0xA01CEE94,0x80081FFC,,,0xA01B2868,0xA01BBAD8,F_fam_0018,F_lookup_ax_X_Y_1CEE94,F_fam_unkX_unkY_1CEE94,2,hub=map_interp_F;static_miss_indirect_d4d5;RE_not_OEM
0xA01CE994,0x800866FA,,,0xA01A165C,0xA01A77D0,F_fam_0042,F_lookup_ax_X_Y_1CE994,F_fam_unkX_unkY_1CE994,1,hub=map_interp_F;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01F4D04,0x80086F60,,,,,F_fam_0094,F_lookup_unresolved_086F60,F_fam_unkX_unkY_1F4D04,1,hub=map_interp_F;static_miss_indirect_d4d5;RE_not_OEM
0xA01D7118,0x800876A2,0xD000247E,,0xA01A44D8,0xA01A88C4,F_fam_0049,F_lookup_ax_X_Y_1D7118,F_fam_D000247E_unkY_1D7118,1,hub=map_interp_F;d4=ld.hu_abs;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01D41D8,0x80087730,0xD0002480,,0xA01B2904,,F_fam_0092,F_lookup_ax_X_Y_1D41D8,F_fam_D0002480_unkY_1D41D8,1,hub=map_interp_F;d4=ld.hu_abs;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01CCF58,0x80087C42,0xD0002B8E,0xD00024A2,,,F_fam_0084,F_lookup_D0002B8E_x_D00024A2_1CCF58,F_fam_D0002B8E_D00024A2_1CCF58,1,hub=map_interp_F;ram_x_from_lea;d4=ld.hu_bo/indirect;d5=ld.hu_abs;RE_not_OEM
0xA01EEC78,0x80087CFC,,,,,F_fam_0095,F_lookup_unresolved_087CFC,F_fam_unkX_unkY_1EEC78,1,hub=map_interp_F;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01EACFC,0x80087D28,,,,,F_fam_0096,F_lookup_unresolved_087D28,F_fam_unkX_unkY_1EACFC,1,hub=map_interp_F;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01C9444,0x800883A8,,,,,F_fam_0097,F_lookup_unresolved_0883A8,F_fam_unkX_unkY_1C9444,1,hub=map_interp_F;static_miss_indirect_d4d5;RE_not_OEM
0xA01CA44C,0x800883C0,,,,,F_fam_0098,F_lookup_unresolved_0883C0,F_fam_unkX_unkY_1CA44C,1,hub=map_interp_F;static_miss_indirect_d4d5;RE_not_OEM
0xA01F6D44,0x800890C2,,,,,F_fam_0099,F_lookup_unresolved_0890C2,F_fam_unkX_unkY_1F6D44,1,hub=map_interp_F;static_miss_indirect_d4d5;RE_not_OEM
0xA01ECC78,0x80089156,,,,,F_fam_0100,F_lookup_unresolved_089156,F_fam_unkX_unkY_1ECC78,1,hub=map_interp_F;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01EFC50,0x800892C6,0xD00023E8,,,,F_fam_0030,F_lookup_unresolved_0892C6,F_fam_D00023E8_unkY_1EFC50,2,hub=map_interp_F;d4=ld.hu_abs;static_miss_indirect_d4d5;RE_not_OEM
0xA01EFC50,0x800892DA,0xD00023E8,,,,F_fam_0030,F_lookup_unresolved_0892DA,F_fam_D00023E8_unkY_1EFC50,2,hub=map_interp_F;d4=ld.hu_abs;static_miss_indirect_d4d5;RE_not_OEM
0xA0198440,0x8008CAFA,,,0xA01A145C,0xA01B3208,F_fam_0004,F_lookup_ax_X_Y_198440,F_fam_unkX_unkY_198440,2,hub=map_interp_F;static_miss_indirect_d4d5;RE_not_OEM
0xA0198450,0x8008CB30,,,0xA01A145C,0xA01B3208,F_fam_0004,F_lookup_ax_X_Y_198450,F_fam_unkX_unkY_198450,2,hub=map_interp_F;static_miss_indirect_d4d5;RE_not_OEM
0xA019F414,0x8008E208,,0xD0005674,0xA01A0448,0xA01B0238,F_fam_0003,F_lookup_ax_X_Y_19F414,F_fam_unkX_D0005674_19F414,2,ram_y=a15_at_call;hub=map_interp_F;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA019F424,0x8008E242,,0xD0005674,0xA01A0448,0xA01B0238,F_fam_0003,F_lookup_ax_X_Y_19F424,F_fam_unkX_D0005674_19F424,2,ram_y=a15_at_call;hub=map_interp_F;static_miss_indirect_d4d5;RE_not_OEM
0xA018EC00,0x80092526,,,,,F_fam_0101,F_lookup_unresolved_092526,F_fam_unkX_unkY_18EC00,1,hub=map_interp_F;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA018EC00,0x8009254A,,,,,F_fam_0102,F_lookup_unresolved_09254A,F_fam_unkX_unkY_18EC00,1,hub=map_interp_F;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA018E080,0x8009261C,,,,,F_fam_0103,F_lookup_unresolved_09261C,F_fam_unkX_unkY_18E080,1,hub=map_interp_F;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA018E080,0x80092640,,,,,F_fam_0104,F_lookup_unresolved_092640,F_fam_unkX_unkY_18E080,1,hub=map_interp_F;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA018E500,0x80092712,,,,,F_fam_0105,F_lookup_unresolved_092712,F_fam_unkX_unkY_18E500,1,hub=map_interp_F;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
