grid80,call_site,ram_x,ram_y,axis_x,axis_y,family_id,suggested_name,fam_label,cluster_n,notes
,0x80073F68,,,0xA01AD8C4,,G_fam_0069,G_lookup_ax_X_Y_073F68,G_fam_unkX_unkY_073F68,1,hub=map_interp_G;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA019B568,0x8007D288,,,0xA01A378C,,G_fam_0009,G_lookup_ax_X_Y_19B568,G_fam_unkX_unkY_19B568,2,hub=map_interp_G;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA019B568,0x8007D346,,,0xA01A378C,,G_fam_0009,G_lookup_ax_X_Y_19B568,G_fam_unkX_unkY_19B568,2,hub=map_interp_G;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x8007E3BC,,,0xA01A163C,0xA01A57F0,G_fam_0025,G_lookup_ax_X_Y_07E3BC,G_fam_unkX_unkY_07E3BC,1,hub=map_interp_G;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA019E62C,0x8007F244,,,0xA01B7904,0xA01AE8E0,G_fam_0058,G_lookup_ax_X_Y_19E62C,G_fam_unkX_unkY_19E62C,1,hub=map_interp_G;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01D2DC4,0x80080B32,,,0xA01AA850,0xA01AE8FC,G_fam_0040,G_lookup_ax_X_Y_1D2DC4,G_fam_unkX_unkY_1D2DC4,1,hub=map_interp_G;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x8008768A,0xD000247E,,0xA01A44D8,0xA01A88C4,G_fam_0031,G_lookup_ax_X_Y_08768A,G_fam_D000247E_unkY_08768A,1,hub=map_interp_G;d4=ld.hu_abs;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01986A8,0x80087718,0xD0002480,,0xA01B2904,,G_fam_0082,G_lookup_ax_X_Y_1986A8,G_fam_D0002480_unkY_1986A8,1,hub=map_interp_G;d4=ld.hu_abs;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA019C414,0x80087C32,,0xD00024A2,,,G_fam_0079,G_lookup_unresolved_087C32,G_fam_unkX_D00024A2_19C414,1,hub=map_interp_G;d4=ld.hu_bo/indirect;d5=ld.hu_abs;static_miss_indirect_d4d5;RE_not_OEM
0xA01EEC78,0x80087CD8,,,,,G_fam_0083,G_lookup_unresolved_087CD8,G_fam_unkX_unkY_1EEC78,1,hub=map_interp_G;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01ECC78,0x80089138,,,,,G_fam_0084,G_lookup_unresolved_089138,G_fam_unkX_unkY_1ECC78,1,hub=map_interp_G;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01EFC50,0x800892AE,0xD00023E8,,,,G_fam_0081,G_lookup_unresolved_0892AE,G_fam_D00023E8_unkY_1EFC50,1,hub=map_interp_G;d4=ld.hu_abs;static_miss_indirect_d4d5;RE_not_OEM
0xA0198440,0x8008CAEE,,,0xA01A145C,,G_fam_0065,G_lookup_ax_X_Y_198440,G_fam_unkX_unkY_198440,1,hub=map_interp_G;static_miss_indirect_d4d5;RE_not_OEM
0xA0198450,0x8008CB24,,,0xA01A145C,0xA01B3208,G_fam_0024,G_lookup_ax_X_Y_198450,G_fam_unkX_unkY_198450,1,hub=map_interp_G;static_miss_indirect_d4d5;RE_not_OEM
0xA019F414,0x8008E1FC,,0xD0005674,0xA01A0448,,G_fam_0080,G_lookup_ax_X_Y_19F414,G_fam_unkX_D0005674_19F414,1,ram_y=a15_at_call;hub=map_interp_G;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA019F424,0x8008E236,,0xD0005674,0xA01A0448,0xA01B0238,G_fam_0023,G_lookup_ax_X_Y_19F424,G_fam_unkX_D0005674_19F424,1,ram_y=a15_at_call;hub=map_interp_G;static_miss_indirect_d4d5;RE_not_OEM
0xA0188AA4,0x800924E8,,,,,G_fam_0085,G_lookup_unresolved_0924E8,G_fam_unkX_unkY_188AA4,1,hub=map_interp_G;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA018EABC,0x800925F2,,,,,G_fam_0086,G_lookup_unresolved_0925F2,G_fam_unkX_unkY_18EABC,1,hub=map_interp_G;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA0188AE0,0x800926E8,,,,,G_fam_0087,G_lookup_unresolved_0926E8,G_fam_unkX_unkY_188AE0,1,hub=map_interp_G;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA0193B08,0x800927D8,,,,,G_fam_0088,G_lookup_unresolved_0927D8,G_fam_unkX_unkY_193B08,1,hub=map_interp_G;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x800928A2,,,,,G_fam_0089,G_lookup_unresolved_0928A2,G_fam_unkX_unkY_0928A2,1,hub=map_interp_G;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x800928F6,,,,,G_fam_0090,G_lookup_unresolved_0928F6,G_fam_unkX_unkY_0928F6,1,hub=map_interp_G;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA0188AA4,0x80092A5E,,,,,G_fam_0091,G_lookup_unresolved_092A5E,G_fam_unkX_unkY_188AA4,1,hub=map_interp_G;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA018EABC,0x80092B68,,,,,G_fam_0092,G_lookup_unresolved_092B68,G_fam_unkX_unkY_18EABC,1,hub=map_interp_G;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA0188AE0,0x80092C5E,,,,,G_fam_0093,G_lookup_unresolved_092C5E,G_fam_unkX_unkY_188AE0,1,hub=map_interp_G;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA0193B08,0x80092D4E,,,,,G_fam_0094,G_lookup_unresolved_092D4E,G_fam_unkX_unkY_193B08,1,hub=map_interp_G;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x80092E18,,,,,G_fam_0095,G_lookup_unresolved_092E18,G_fam_unkX_unkY_092E18,1,hub=map_interp_G;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x80092E6C,,,,,G_fam_0096,G_lookup_unresolved_092E6C,G_fam_unkX_unkY_092E6C,1,hub=map_interp_G;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01D764C,0x80093AA0,,,,,G_fam_0097,G_lookup_unresolved_093AA0,G_fam_unkX_unkY_1D764C,1,hub=map_interp_G;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01CD664,0x80093BA6,,,,,G_fam_0098,G_lookup_unresolved_093BA6,G_fam_unkX_unkY_1CD664,1,hub=map_interp_G;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01D7688,0x80093C9C,,,,,G_fam_0099,G_lookup_unresolved_093C9C,G_fam_unkX_unkY_1D7688,1,hub=map_interp_G;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01D16F0,0x80093D90,,,,,G_fam_0100,G_lookup_unresolved_093D90,G_fam_unkX_unkY_1D16F0,1,hub=map_interp_G;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x80093E5C,,,,,G_fam_0101,G_lookup_unresolved_093E5C,G_fam_unkX_unkY_093E5C,1,hub=map_interp_G;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x80093EB0,,,,,G_fam_0102,G_lookup_unresolved_093EB0,G_fam_unkX_unkY_093EB0,1,hub=map_interp_G;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01D764C,0x80094020,,,,,G_fam_0103,G_lookup_unresolved_094020,G_fam_unkX_unkY_1D764C,1,hub=map_interp_G;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01CD664,0x80094126,,,,,G_fam_0104,G_lookup_unresolved_094126,G_fam_unkX_unkY_1CD664,1,hub=map_interp_G;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01D7688,0x8009421C,,,,,G_fam_0105,G_lookup_unresolved_09421C,G_fam_unkX_unkY_1D7688,1,hub=map_interp_G;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01D16F0,0x80094310,,,,,G_fam_0106,G_lookup_unresolved_094310,G_fam_unkX_unkY_1D16F0,1,hub=map_interp_G;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x800943DC,,,,,G_fam_0107,G_lookup_unresolved_0943DC,G_fam_unkX_unkY_0943DC,1,hub=map_interp_G;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x80094430,,,,,G_fam_0108,G_lookup_unresolved_094430,G_fam_unkX_unkY_094430,1,hub=map_interp_G;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA0188B10,0x8009493C,,0xD0002BF6,,,G_fam_0013,G_lookup_unresolved_09493C,G_fam_unkX_D0002BF6_188B10,2,ram_y=a15_at_call;hub=map_interp_G;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA0188B3C,0x800949DE,,0xD0002BF8,,,G_fam_0014,G_lookup_unresolved_0949DE,G_fam_unkX_D0002BF8_188B3C,2,ram_y=a15_at_call;hub=map_interp_G;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA018AB0C,0x80094A7E,,0xD0002BFA,,,G_fam_0015,G_lookup_unresolved_094A7E,G_fam_unkX_D0002BFA_18AB0C,2,ram_y=a15_at_call;hub=map_interp_G;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA0194B0C,0x80094B46,,0xD0002BF0,,,G_fam_0010,G_lookup_unresolved_094B46,G_fam_unkX_D0002BF0_194B0C,2,ram_y=a15_at_call;hub=map_interp_G;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA0196B04,0x80094BEE,,0xD0002BF2,,,G_fam_0011,G_lookup_unresolved_094BEE,G_fam_unkX_D0002BF2_196B04,2,ram_y=a15_at_call;hub=map_interp_G;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA0197B14,0x80094C90,,0xD0002BF4,,,G_fam_0012,G_lookup_unresolved_094C90,G_fam_unkX_D0002BF4_197B14,2,ram_y=a15_at_call;hub=map_interp_G;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA0188B10,0x80094EB8,,0xD0002BF6,,,G_fam_0013,G_lookup_unresolved_094EB8,G_fam_unkX_D0002BF6_188B10,2,ram_y=a15_at_call;hub=map_interp_G;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA0188B3C,0x80094F5A,,0xD0002BF8,,,G_fam_0014,G_lookup_unresolved_094F5A,G_fam_unkX_D0002BF8_188B3C,2,ram_y=a15_at_call;hub=map_interp_G;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA018AB0C,0x80094FFA,,0xD0002BFA,,,G_fam_0015,G_lookup_unresolved_094FFA,G_fam_unkX_D0002BFA_18AB0C,2,ram_y=a15_at_call;hub=map_interp_G;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA0194B0C,0x800950C2,,0xD0002BF0,,,G_fam_0010,G_lookup_unresolved_0950C2,G_fam_unkX_D0002BF0_194B0C,2,ram_y=a15_at_call;hub=map_interp_G;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA0196B04,0x8009516A,,0xD0002BF2,,,G_fam_0011,G_lookup_unresolved_09516A,G_fam_unkX_D0002BF2_196B04,2,ram_y=a15_at_call;hub=map_interp_G;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA0197B14,0x8009520C,,0xD0002BF4,,,G_fam_0012,G_lookup_unresolved_09520C,G_fam_unkX_D0002BF4_197B14,2,ram_y=a15_at_call;hub=map_interp_G;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01C96C4,0x800972AA,0xD000244C,,,,G_fam_0017,G_lookup_unresolved_0972AA,G_fam_D000244C_unkY_1C96C4,2,hub=map_interp_G;d4=ld.hu_bo+a14;static_miss_indirect_d4d5;RE_not_OEM
0xA01C96F0,0x80097346,0xD000244E,,,,G_fam_0018,G_lookup_unresolved_097346,G_fam_D000244E_unkY_1C96F0,2,hub=map_interp_G;d4=ld.hu_bo+a14;static_miss_indirect_d4d5;RE_not_OEM
0xA01CB6C0,0x800973E0,0xD0002450,,,,G_fam_0019,G_lookup_unresolved_0973E0,G_fam_D0002450_unkY_1CB6C0,2,hub=map_interp_G;d4=ld.hu_bo+a14;static_miss_indirect_d4d5;RE_not_OEM
0xA01D26F4,0x800974A6,0xD0002452,,,,G_fam_0020,G_lookup_unresolved_0974A6,G_fam_D0002452_unkY_1D26F4,2,hub=map_interp_G;d4=ld.hu_bo+a14;static_miss_indirect_d4d5;RE_not_OEM
0xA01D46EC,0x80097548,0xD0002454,,,,G_fam_0021,G_lookup_unresolved_097548,G_fam_D0002454_unkY_1D46EC,2,hub=map_interp_G;d4=ld.hu_bo+a14;static_miss_indirect_d4d5;RE_not_OEM
0xA01D56FC,0x800975E4,0xD0002456,,,,G_fam_0022,G_lookup_unresolved_0975E4,G_fam_D0002456_unkY_1D56FC,2,hub=map_interp_G;d4=ld.hu_bo+a14;static_miss_indirect_d4d5;RE_not_OEM
0xA01C96C4,0x800977D2,0xD000244C,,,,G_fam_0017,G_lookup_unresolved_0977D2,G_fam_D000244C_unkY_1C96C4,2,hub=map_interp_G;d4=ld.hu_bo+a14;static_miss_indirect_d4d5;RE_not_OEM
0xA01C96F0,0x8009786E,0xD000244E,,,,G_fam_0018,G_lookup_unresolved_09786E,G_fam_D000244E_unkY_1C96F0,2,hub=map_interp_G;d4=ld.hu_bo+a14;static_miss_indirect_d4d5;RE_not_OEM
0xA01CB6C0,0x80097908,0xD0002450,,,,G_fam_0019,G_lookup_unresolved_097908,G_fam_D0002450_unkY_1CB6C0,2,hub=map_interp_G;d4=ld.hu_bo+a14;static_miss_indirect_d4d5;RE_not_OEM
0xA01D26F4,0x800979CE,0xD0002452,,,,G_fam_0020,G_lookup_unresolved_0979CE,G_fam_D0002452_unkY_1D26F4,2,hub=map_interp_G;d4=ld.hu_bo+a14;static_miss_indirect_d4d5;RE_not_OEM
0xA01D46EC,0x80097A70,0xD0002454,,,,G_fam_0021,G_lookup_unresolved_097A70,G_fam_D0002454_unkY_1D46EC,2,hub=map_interp_G;d4=ld.hu_bo+a14;static_miss_indirect_d4d5;RE_not_OEM
0xA01D56FC,0x80097B0C,0xD0002456,,,,G_fam_0022,G_lookup_unresolved_097B0C,G_fam_D0002456_unkY_1D56FC,2,hub=map_interp_G;d4=ld.hu_bo+a14;static_miss_indirect_d4d5;RE_not_OEM
0xA018CB04,0x800996A4,,,,,G_fam_0109,G_lookup_unresolved_0996A4,G_fam_unkX_unkY_18CB04,1,hub=map_interp_G;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA018EB18,0x800996EA,,,,,G_fam_0110,G_lookup_unresolved_0996EA,G_fam_unkX_unkY_18EB18,1,hub=map_interp_G;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA018CB24,0x80099740,,,0xA01A1B9C,,G_fam_0066,G_lookup_ax_X_Y_18CB24,G_fam_unkX_unkY_18CB24,1,hub=map_interp_G;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA018EB38,0x80099786,,,,,G_fam_0111,G_lookup_unresolved_099786,G_fam_unkX_unkY_18EB38,1,hub=map_interp_G;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA018DB1C,0x800997DA,,,0xA01A2B84,,G_fam_0067,G_lookup_ax_X_Y_18DB1C,G_fam_unkX_unkY_18DB1C,1,hub=map_interp_G;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA018FB30,0x80099820,,,0xA01A0B8C,,G_fam_0064,G_lookup_ax_X_Y_18FB30,G_fam_unkX_unkY_18FB30,1,hub=map_interp_G;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA0184578,0x8009A8E6,,,,,G_fam_0112,G_lookup_unresolved_09A8E6,G_fam_unkX_unkY_184578,1,hub=map_interp_G;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
