grid80,call_site,ram_x,ram_y,axis_x,axis_y,family_id,suggested_name,fam_label,cluster_n,notes
0xA01CD9EC,0x80074F06,,,0xA01A2734,0xA01AD8D0,I_fam_0002,I_lookup_ax_X_Y_1CD9EC,I_fam_unkX_unkY_1CD9EC,2,hub=map_interp_I;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01C89F0,0x80074F14,,,0xA01A2734,0xA01AD8D0,I_fam_0002,I_lookup_ax_X_Y_1C89F0,I_fam_unkX_unkY_1C89F0,2,hub=map_interp_I;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01C984C,0x80079736,,,0xA01B7920,,I_fam_0013,I_lookup_ax_X_Y_1C984C,I_fam_unkX_unkY_1C984C,2,hub=map_interp_I;static_miss_indirect_d4d5;RE_not_OEM
0xA01C887C,0x8007974E,,,0xA01B7920,,I_fam_0013,I_lookup_ax_X_Y_1C887C,I_fam_unkX_unkY_1C887C,2,hub=map_interp_I;static_miss_indirect_d4d5;RE_not_OEM
,0x8007A7A6,0xD0002D60,0xD0002D74,,,I_fam_0062,I_lookup_D0002D60_x_D0002D74,I_fam_D0002D60_D0002D74_07A7A6,1,hub=map_interp_I;ram_pair_from_lea_fallback_not_d4d5;d4=ld.hu_bo/indirect;RE_not_OEM
,0x8007A7C4,,,,,I_fam_0071,I_lookup_unresolved_07A7C4,I_fam_unkX_unkY_07A7C4,1,hub=map_interp_I;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x8007BCE6,,,0xA01AC8E0,0xA01A568C,I_fam_0035,I_lookup_ax_X_Y_07BCE6,I_fam_unkX_unkY_07BCE6,1,hub=map_interp_I;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x8007BD3A,,,0xA01AF728,0xA01A568C,I_fam_0037,I_lookup_ax_X_Y_07BD3A,I_fam_unkX_unkY_07BD3A,1,hub=map_interp_I;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x8007BD90,,,0xA01B0740,,I_fam_0053,I_lookup_ax_X_Y_07BD90,I_fam_unkX_unkY_07BD90,1,hub=map_interp_I;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01D282C,0x80081ECA,,,0xA01B2868,,I_fam_0054,I_lookup_ax_X_Y_1D282C,I_fam_unkX_unkY_1D282C,1,hub=map_interp_I;static_miss_indirect_d4d5;RE_not_OEM
