grid80,call_site,ram_x,ram_y,axis_x,axis_y,family_id,suggested_name,fam_label,cluster_n,notes
0xA01D0798,0x8007928A,,,,,J_fam_0045,J_lookup_unresolved_07928A,J_fam_unkX_unkY_1D0798,1,hub=map_interp_J;static_miss_indirect_d4d5;RE_not_OEM
,0x8007BF70,0xD000BAD8,,0xA01B4910,,J_fam_0044,J_lookup_ax_X_Y_07BF70,J_fam_D000BAD8_unkY_07BF70,1,ram_x=a14_at_call;hub=map_interp_J;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x8007C6BC,,,0xA01B4910,,J_fam_0038,J_lookup_ax_X_Y_07C6BC,J_fam_unkX_unkY_07C6BC,1,hub=map_interp_J;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x8007D998,,,0xA01A34D0,0xA01ADA00,J_fam_0015,J_lookup_ax_X_Y_07D998,J_fam_unkX_unkY_07D998,1,hub=map_interp_J;static_miss_indirect_d4d5;RE_not_OEM
,0x8007E814,,,0xA01B784C,,J_fam_0008,J_lookup_ax_X_Y_07E814,J_fam_unkX_unkY_07E814,2,hub=map_interp_J;static_miss_indirect_d4d5;RE_not_OEM
,0x8007E908,,,0xA01B784C,,J_fam_0008,J_lookup_ax_X_Y_07E908,J_fam_unkX_unkY_07E908,2,hub=map_interp_J;static_miss_indirect_d4d5;RE_not_OEM
,0x80087600,,,0xA01A44D8,0xA01B6A38,J_fam_0016,J_lookup_ax_X_Y_087600,J_fam_unkX_unkY_087600,1,hub=map_interp_J;static_miss_indirect_d4d5;RE_not_OEM
0xA0199490,0x8009A598,,,0xA01ABAC8,,J_fam_0034,J_lookup_ax_X_Y_199490,J_fam_unkX_unkY_199490,1,hub=map_interp_J;static_miss_indirect_d4d5;RE_not_OEM
,0x800B7BF8,,,0xA01B6908,0xA01B1A5C,J_fam_0031,J_lookup_ax_X_Y_0B7BF8,J_fam_unkX_unkY_0B7BF8,1,hub=map_interp_J;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x800B7C16,,,0xA01B591C,0xA01B1A5C,J_fam_0028,J_lookup_ax_X_Y_0B7C16,J_fam_unkX_unkY_0B7C16,1,hub=map_interp_J;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x800BB5BE,,,0xA01A24C8,0xA01AC9D0,J_fam_0012,J_lookup_ax_X_Y_0BB5BE,J_fam_unkX_unkY_0BB5BE,1,hub=map_interp_J;static_miss_indirect_d4d5;RE_not_OEM
0xA01C5794,0x800BCB56,,,0xA01A068C,0xA01A0698,J_fam_0010,J_lookup_ax_X_Y_1C5794,J_fam_unkX_unkY_1C5794,1,hub=map_interp_J;static_miss_indirect_d4d5;RE_not_OEM
,0x800BCB9A,,,0xA01A06A4,0xA01A0698,J_fam_0011,J_lookup_ax_X_Y_0BCB9A,J_fam_unkX_unkY_0BCB9A,1,hub=map_interp_J;static_miss_indirect_d4d5;RE_not_OEM
,0x800BCBD0,,,0xA01A0680,0xA01A0698,J_fam_0009,J_lookup_ax_X_Y_0BCBD0,J_fam_unkX_unkY_0BCBD0,1,hub=map_interp_J;static_miss_indirect_d4d5;RE_not_OEM
,0x800BDE9E,,,0xA01A168C,,J_fam_0006,J_lookup_ax_X_Y_0BDE9E,J_fam_unkX_unkY_0BDE9E,2,hub=map_interp_J;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x800C70E8,,,0xA01B5904,0xA01B0A5C,J_fam_0027,J_lookup_ax_X_Y_0C70E8,J_fam_unkX_unkY_0C70E8,1,hub=map_interp_J;static_miss_indirect_d4d5;RE_not_OEM
,0x800C7152,,,0xA01B5904,0xA01A9288,J_fam_0026,J_lookup_ax_X_Y_0C7152,J_fam_unkX_unkY_0C7152,1,hub=map_interp_J;static_miss_indirect_d4d5;RE_not_OEM
,0x800D5EE4,0xD0003182,,0xA01A3494,0xA01B4B3C,J_fam_0014,J_lookup_ax_X_Y_0D5EE4,J_fam_D0003182_unkY_0D5EE4,1,ram_x=a14_at_call;hub=map_interp_J;static_miss_indirect_d4d5;RE_not_OEM
,0x800DD8FC,,,0xA01B491C,0xA01ADA14,J_fam_0023,J_lookup_ax_X_Y_0DD8FC,J_fam_unkX_unkY_0DD8FC,1,hub=map_interp_J;static_miss_indirect_d4d5;RE_not_OEM
,0x800DDBF6,,,0xA01ACAB4,,J_fam_0036,J_lookup_ax_X_Y_0DDBF6,J_fam_unkX_unkY_0DDBF6,1,hub=map_interp_J;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x800DE1A2,,,0xA01ADA3C,,J_fam_0007,J_lookup_ax_X_Y_0DE1A2,J_fam_unkX_unkY_0DE1A2,2,hub=map_interp_J;static_miss_indirect_d4d5;RE_not_OEM
