grid80,call_site,ram_x,ram_y,axis_x,axis_y,family_id,suggested_name,fam_label,cluster_n,notes
,0x80078F9C,,,,,K_fam_0031,K_lookup_unresolved_078F9C,K_fam_unkX_unkY_078F9C,1,hub=map_interp_K;static_miss_indirect_d4d5;RE_not_OEM
,0x8007972A,,,0xA01B7920,,K_fam_0023,K_lookup_ax_X_Y_07972A,K_fam_unkX_unkY_07972A,1,hub=map_interp_K;static_miss_indirect_d4d5;RE_not_OEM
,0x800801FC,,,,,K_fam_0032,K_lookup_unresolved_0801FC,K_fam_unkX_unkY_0801FC,1,hub=map_interp_K;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x80081E9C,,,0xA01B2868,,K_fam_0022,K_lookup_ax_X_Y_081E9C,K_fam_unkX_unkY_081E9C,1,hub=map_interp_K;static_miss_indirect_d4d5;RE_not_OEM
,0x80081FC8,0xD0000000,0xD0003652,,,K_fam_0024,K_lookup_D0000000_x_D0003652,K_fam_D0000000_D0003652_081FC8,1,hub=map_interp_K;ram_pair_from_lea_fallback_not_d4d5;RE_not_OEM
,0x80087C1E,,0xD00024A2,,,K_fam_0028,K_lookup_unresolved_087C1E,K_fam_unkX_D00024A2_087C1E,1,hub=map_interp_K;d5=ld.hu_abs;static_miss_indirect_d4d5;RE_not_OEM
0xA01F6CBC,0x80087D0E,,,,,K_fam_0033,K_lookup_unresolved_087D0E,K_fam_unkX_unkY_1F6CBC,1,hub=map_interp_K;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x8008831C,,,,,K_fam_0034,K_lookup_unresolved_08831C,K_fam_unkX_unkY_08831C,1,hub=map_interp_K;static_miss_indirect_d4d5;RE_not_OEM
,0x80089092,,,,,K_fam_0035,K_lookup_unresolved_089092,K_fam_unkX_unkY_089092,1,hub=map_interp_K;static_miss_indirect_d4d5;RE_not_OEM
0xA01EEC48,0x80089AD6,,,,,K_fam_0036,K_lookup_unresolved_089AD6,K_fam_unkX_unkY_1EEC48,1,hub=map_interp_K;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x8008CA98,,,,,K_fam_0037,K_lookup_unresolved_08CA98,K_fam_unkX_unkY_08CA98,1,hub=map_interp_K;static_miss_indirect_d4d5;RE_not_OEM
0xA01D485C,0x8008D81C,0xD0002FFA,0xD0002FD6,0xA01A6448,0xA01A9830,K_fam_0007,K_lookup_D0002FFA_x_D0002FD6_1D485C,K_fam_D0002FFA_D0002FD6_1D485C,1,hub=map_interp_K;ram_x_from_lea;d4=ld.hu_bo/indirect;d5=ld.hu_abs;RE_not_OEM
,0x800905BE,,,,,K_fam_0038,K_lookup_unresolved_0905BE,K_fam_unkX_unkY_0905BE,1,hub=map_interp_K;static_miss_indirect_d4d5;RE_not_OEM
,0x80090F62,0xD0002ECC,0xD0002EBE,,,K_fam_0026,K_lookup_D0002ECC_x_D0002EBE,K_fam_D0002ECC_D0002EBE_090F62,1,ram_y=a15_at_call;hub=map_interp_K;d4=ld.hu_abs;RE_not_OEM
0xA018CA74,0x80092490,,,,,K_fam_0039,K_lookup_unresolved_092490,K_fam_unkX_unkY_18CA74,1,hub=map_interp_K;static_miss_indirect_d4d5;RE_not_OEM
0xA018EA6C,0x80092598,,,,,K_fam_0040,K_lookup_unresolved_092598,K_fam_unkX_unkY_18EA6C,1,hub=map_interp_K;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA0191AA0,0x8009268E,,,,,K_fam_0041,K_lookup_unresolved_09268E,K_fam_unkX_unkY_191AA0,1,hub=map_interp_K;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA0194AA8,0x80092780,,,,,K_fam_0042,K_lookup_unresolved_092780,K_fam_unkX_unkY_194AA8,1,hub=map_interp_K;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x80092878,,,,,K_fam_0043,K_lookup_unresolved_092878,K_fam_unkX_unkY_092878,1,hub=map_interp_K;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x800928CC,,,,,K_fam_0044,K_lookup_unresolved_0928CC,K_fam_unkX_unkY_0928CC,1,hub=map_interp_K;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA018CA74,0x80092A06,,,,,K_fam_0045,K_lookup_unresolved_092A06,K_fam_unkX_unkY_18CA74,1,hub=map_interp_K;static_miss_indirect_d4d5;RE_not_OEM
0xA018EA6C,0x80092B0E,,,,,K_fam_0046,K_lookup_unresolved_092B0E,K_fam_unkX_unkY_18EA6C,1,hub=map_interp_K;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
