grid80,call_site,ram_x,ram_y,axis_x,axis_y,family_id,suggested_name,fam_label,cluster_n,notes
,0x8007BF86,,,0xA01B4910,0xA01B39C8,L_fam_0021,L_lookup_ax_X_Y_07BF86,L_fam_unkX_unkY_07BF86,1,hub=map_interp_L;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x8007C6D6,,,0xA01B4910,0xA01B39D8,L_fam_0022,L_lookup_ax_X_Y_07C6D6,L_fam_unkX_unkY_07C6D6,1,hub=map_interp_L;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x8007E82A,,,0xA01B784C,0xA01B0BE8,L_fam_0024,L_lookup_ax_X_Y_07E82A,L_fam_unkX_unkY_07E82A,1,hub=map_interp_L;static_miss_indirect_d4d5;RE_not_OEM
,0x8007E91E,,,0xA01B784C,0xA01AB990,L_fam_0023,L_lookup_ax_X_Y_07E91E,L_fam_unkX_unkY_07E91E,1,hub=map_interp_L;static_miss_indirect_d4d5;RE_not_OEM
0xA019D6AC,0x80080D0E,,,0xA01B1874,0xA01AA9FC,L_fam_0015,L_lookup_ax_X_Y_19D6AC,L_fam_unkX_unkY_19D6AC,1,hub=map_interp_L;static_miss_indirect_d4d5;RE_not_OEM
,0x80080DC8,,,0xA01B1874,0xA01B4A78,L_fam_0017,L_lookup_ax_X_Y_080DC8,L_fam_unkX_unkY_080DC8,1,hub=map_interp_L;static_miss_indirect_d4d5;RE_not_OEM
,0x80080E2A,0xD0000000,0xD00006CA,0xA01B1874,0xA01B5A58,L_fam_0018,L_lookup_D0000000_x_D00006CA,L_fam_D0000000_D00006CA_080E2A,1,hub=map_interp_L;ram_pair_from_lea_fallback_not_d4d5;RE_not_OEM
0xA01834B8,0x80081674,,,,,L_fam_0038,L_lookup_unresolved_081674,L_fam_unkX_unkY_1834B8,1,hub=map_interp_L;static_miss_indirect_d4d5;RE_not_OEM
0xA0183498,0x80081832,0xD00031EC,,,,L_fam_0037,L_lookup_unresolved_081832,L_fam_D00031EC_unkY_183498,1,hub=map_interp_L;d4=ld.hu_bo+a14;static_miss_indirect_d4d5;RE_not_OEM
,0x80085DF6,,0xD0003008,0xA01B0B38,,L_fam_0035,L_lookup_ax_X_Y_085DF6,L_fam_unkX_D0003008_085DF6,1,ram_y=a15_at_call;hub=map_interp_L;static_miss_indirect_d4d5;RE_not_OEM
0xA0183488,0x8008A8EE,,,,,L_fam_0039,L_lookup_unresolved_08A8EE,L_fam_unkX_unkY_183488,1,hub=map_interp_L;static_miss_indirect_d4d5;RE_not_OEM
0xA01824B8,0x8008AA7E,0xD00030A2,0xD00030A0,,,L_fam_0033,L_lookup_D00030A2_x_D00030A0_1824B8,L_fam_D00030A2_D00030A0_1824B8,1,hub=map_interp_L;ram_x_from_lea;d4=ld.hu_bo/indirect;d5=ld.hu_bo+a15;RE_not_OEM
0xA019B524,0x80096AAA,,,0xA01B1874,0xA01B1874,L_fam_0016,L_lookup_ax_X_Y_19B524,L_fam_unkX_unkY_19B524,1,hub=map_interp_L;static_miss_indirect_d4d5;RE_not_OEM
,0x8009A440,,,0xA01B1854,0xA01B6AE8,L_fam_0014,L_lookup_ax_X_Y_09A440,L_fam_unkX_unkY_09A440,1,hub=map_interp_L;static_miss_indirect_d4d5;RE_not_OEM
,0x8009ADE6,0xD000241C,,0xA01AAAC8,,L_fam_0036,L_lookup_ax_X_Y_09ADE6,L_fam_D000241C_unkY_09ADE6,1,hub=map_interp_L;d4=ld.hu_abs;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x8009ADF8,0xD000241C,,0xA01AAAC8,0xA01A9AC8,L_fam_0009,L_lookup_ax_X_Y_09ADF8,L_fam_D000241C_unkY_09ADF8,1,hub=map_interp_L;d4=ld.hu_abs;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01C2A24,0x8009AE3A,0xD000241C,,0xA01A9AC8,0xA01BD9E4,L_fam_0007,L_lookup_ax_X_Y_1C2A24,L_fam_D000241C_unkY_1C2A24,1,hub=map_interp_L;d4=ld.hu_abs;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x8009AE58,0xD000241C,,0xA01BD9E4,0xA01A8AC8,L_fam_0027,L_lookup_ax_X_Y_09AE58,L_fam_D000241C_unkY_09AE58,1,hub=map_interp_L;d4=ld.hu_abs;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA0199534,0x8009B032,,0xD0002416,0xA01AAAE8,,L_fam_0034,L_lookup_ax_X_Y_199534,L_fam_unkX_D0002416_199534,1,hub=map_interp_L;d4=ld.hu_bo/indirect;d5=ld.hu_abs;static_miss_indirect_d4d5;RE_not_OEM
,0x8009B044,,0xD0002416,0xA01AAAE8,0xA01A9AE8,L_fam_0010,L_lookup_ax_X_Y_09B044,L_fam_unkX_D0002416_09B044,1,hub=map_interp_L;d4=ld.hu_bo/indirect;d5=ld.hu_abs;static_miss_indirect_d4d5;RE_not_OEM
0xA01C0A04,0x8009B086,,0xD0002416,0xA01A9AE8,0xA01A8AE8,L_fam_0008,L_lookup_ax_X_Y_1C0A04,L_fam_unkX_D0002416_1C0A04,1,hub=map_interp_L;d4=ld.hu_bo/indirect;d5=ld.hu_abs;static_miss_indirect_d4d5;RE_not_OEM
0xA01C0A04,0x8009B0A0,,0xD0002416,0xA01A8AE8,0xA01B7AE8,L_fam_0006,L_lookup_ax_X_Y_1C0A04,L_fam_unkX_D0002416_1C0A04,1,hub=map_interp_L;d4=ld.hu_bo/indirect;d5=ld.hu_abs;static_miss_indirect_d4d5;RE_not_OEM
0xA0199484,0x8009B7A6,,,0xA01B39E8,,L_fam_0029,L_lookup_ax_X_Y_199484,L_fam_unkX_unkY_199484,1,hub=map_interp_L;static_miss_indirect_d4d5;RE_not_OEM
0xA019ABEC,0x800A49DA,,,0xA01A7BF8,0xA01A7BF8,L_fam_0004,L_lookup_ax_X_Y_19ABEC,L_fam_unkX_unkY_19ABEC,1,hub=map_interp_L;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x800B1C1C,,,0xA01B285C,0xA01B1BC8,L_fam_0020,L_lookup_ax_X_Y_0B1C1C,L_fam_unkX_unkY_0B1C1C,1,hub=map_interp_L;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x800B1D12,,,0xA01B285C,0xA01B0BF8,L_fam_0019,L_lookup_ax_X_Y_0B1D12,L_fam_unkX_unkY_0B1D12,1,hub=map_interp_L;static_miss_indirect_d4d5;RE_not_OEM
0xA019A488,0x800B200E,,,0xA01B4B0C,,L_fam_0030,L_lookup_ax_X_Y_19A488,L_fam_unkX_unkY_19A488,1,hub=map_interp_L;static_miss_indirect_d4d5;RE_not_OEM
,0x800BAAAE,,,0xA01AFAD8,,L_fam_0028,L_lookup_ax_X_Y_0BAAAE,L_fam_unkX_unkY_0BAAAE,1,hub=map_interp_L;static_miss_indirect_d4d5;RE_not_OEM
,0x800BAB42,,,,,L_fam_0040,L_lookup_unresolved_0BAB42,L_fam_unkX_unkY_0BAB42,1,hub=map_interp_L;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x800BAC7C,0xD0002048,0xD0002048,0xA01AB858,0xA01AEAD8,L_fam_0011,L_lookup_D0002048_x_D0002048,L_fam_D0002048_D0002048_0BAC7C,1,hub=map_interp_L;d4=ld.hu_abs;d5=ld.hu_bo+a15;RE_not_OEM
0xA0199BD0,0x800BBF64,,,,,L_fam_0041,L_lookup_unresolved_0BBF64,L_fam_unkX_unkY_199BD0,1,hub=map_interp_L;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x800BCE54,,,0xA01A891C,0xA01BC7DC,L_fam_0005,L_lookup_ax_X_Y_0BCE54,L_fam_unkX_unkY_0BCE54,1,hub=map_interp_L;static_miss_indirect_d4d5;RE_not_OEM
,0x800DE298,,,0xA01A14FC,0xA01A14FC,L_fam_0001,L_lookup_ax_X_Y_0DE298,L_fam_unkX_unkY_0DE298,1,hub=map_interp_L;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x800E1B76,,,,,L_fam_0042,L_lookup_unresolved_0E1B76,L_fam_unkX_unkY_0E1B76,1,hub=map_interp_L;static_miss_indirect_d4d5;RE_not_OEM
,0x800E1D8A,,,,,L_fam_0043,L_lookup_unresolved_0E1D8A,L_fam_unkX_unkY_0E1D8A,1,hub=map_interp_L;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA018344C,0x800E1DF2,,,,,L_fam_0044,L_lookup_unresolved_0E1DF2,L_fam_unkX_unkY_18344C,1,hub=map_interp_L;static_miss_indirect_d4d5;RE_not_OEM
0xA018344C,0x800E1E22,,,,,L_fam_0045,L_lookup_unresolved_0E1E22,L_fam_unkX_unkY_18344C,1,hub=map_interp_L;static_miss_indirect_d4d5;RE_not_OEM
,0x800E2816,0xD0002986,0xD0002996,0xA01AFB54,,L_fam_0032,L_lookup_D0002986_x_D0002996,L_fam_D0002986_D0002996_0E2816,1,hub=map_interp_L;ram_y_from_lea;d4=ld.hu_abs;d5=ld.hu_bo/indirect;RE_not_OEM
,0x800E31EC,0xD000227E,0xD0002248,0xA01B4B84,,L_fam_0031,L_lookup_D000227E_x_D0002248,L_fam_D000227E_D0002248_0E31EC,1,hub=map_interp_L;ram_y_from_lea;d4=ld.hu_abs;d5=ld.hu_bo/indirect;RE_not_OEM
,0x800E96A8,,,0xA01AC8A8,0xA01B6948,L_fam_0012,L_lookup_ax_X_Y_0E96A8,L_fam_unkX_unkY_0E96A8,1,hub=map_interp_L;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x801111A6,,,0xA01A451C,0xA01B5AD8,L_fam_0003,L_lookup_ax_X_Y_1111A6,L_fam_unkX_unkY_1111A6,1,hub=map_interp_L;static_miss_indirect_d4d5;RE_not_OEM
,0x80111356,,,0xA01B084C,0xA01ADB90,L_fam_0013,L_lookup_ax_X_Y_111356,L_fam_unkX_unkY_111356,1,hub=map_interp_L;static_miss_indirect_d4d5;RE_not_OEM
,0x80111B3E,0xD00019E4,,0xA01A451C,0xA01B0BA0,L_fam_0002,L_lookup_ax_X_Y_111B3E,L_fam_D00019E4_unkY_111B3E,1,hub=map_interp_L;d4=ld.hu_abs;static_miss_indirect_d4d5;RE_not_OEM
,0x80112448,,,0xA01B7858,0xA01B7738,L_fam_0026,L_lookup_ax_X_Y_112448,L_fam_unkX_unkY_112448,1,hub=map_interp_L;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x8011250A,0xD00007DC,0xD00007D8,0xA01B7858,0xA01A8704,L_fam_0025,L_lookup_D00007DC_x_D00007D8,L_fam_D00007DC_D00007D8_11250A,1,ram_y=a15_at_call;hub=map_interp_L;d4=ld.hu_bo+a14;RE_not_OEM
0xA018344C,0x80122AC4,,,,,L_fam_0046,L_lookup_unresolved_122AC4,L_fam_unkX_unkY_18344C,1,hub=map_interp_L;static_miss_indirect_d4d5;RE_not_OEM
0xA018344C,0x80122AEE,,,,,L_fam_0047,L_lookup_unresolved_122AEE,L_fam_unkX_unkY_18344C,1,hub=map_interp_L;static_miss_indirect_d4d5;RE_not_OEM
