grid80,call_site,ram_x,ram_y,axis_x,axis_y,family_id,suggested_name,fam_label,cluster_n,notes
,0x80055434,,,,,M_fam_0017,M_lookup_unresolved_055434,M_fam_unkX_unkY_055434,1,hub=map_interp_M;static_miss_indirect_d4d5;RE_not_OEM
0xA01D3A70,0x8007D562,,,0xA01A76D8,0xA01A2650,M_fam_0007,M_lookup_ax_X_Y_1D3A70,M_fam_unkX_unkY_1D3A70,1,hub=map_interp_M;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x80080520,,,0xA01AD180,0xA01AF8F8,M_fam_0003,M_lookup_ax_X_Y_080520,M_fam_unkX_unkY_080520,2,hub=map_interp_M;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x8008054C,,,0xA01AD180,0xA01AF8F8,M_fam_0003,M_lookup_ax_X_Y_08054C,M_fam_unkX_unkY_08054C,2,hub=map_interp_M;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA0182484,0x80081A08,0xD000194C,,,,M_fam_0015,M_lookup_unresolved_081A08,M_fam_D000194C_unkY_182484,1,hub=map_interp_M;d4=ld.hu_abs;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01864C8,0x80081A6A,0xD00031EE,,,,M_fam_0002,M_lookup_unresolved_081A6A,M_fam_D00031EE_unkY_1864C8,3,hub=map_interp_M;d4=ld.hu_abs;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA0182494,0x80081B1C,0xD00031EE,,,,M_fam_0002,M_lookup_unresolved_081B1C,M_fam_D00031EE_unkY_182494,3,hub=map_interp_M;d4=ld.hu_abs;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01874E8,0x80081B7E,0xD00031EE,,,,M_fam_0002,M_lookup_unresolved_081B7E,M_fam_D00031EE_unkY_1874E8,3,hub=map_interp_M;d4=ld.hu_abs;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA019B40C,0x800878C0,,,0xA01BA9D8,0xA01B5820,M_fam_0008,M_lookup_ax_X_Y_19B40C,M_fam_unkX_unkY_19B40C,1,hub=map_interp_M;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01D6A20,0x8009DEC6,,,,0xA01A6680,M_fam_0011,M_lookup_ax_X_Y_1D6A20,M_fam_unkX_unkY_1D6A20,1,hub=map_interp_M;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01CAA3C,0x8009E4EA,,0xD0001710,,,M_fam_0014,M_lookup_unresolved_09E4EA,M_fam_unkX_D0001710_1CAA3C,1,hub=map_interp_M;d4=ld.hu_bo/indirect;d5=ld.hu_abs;static_miss_indirect_d4d5;RE_not_OEM
0xA0181494,0x800A32CA,,,,,M_fam_0018,M_lookup_unresolved_0A32CA,M_fam_unkX_unkY_181494,1,hub=map_interp_M;static_miss_indirect_d4d5;RE_not_OEM
0xA01CD3A0,0x800ADEBE,,,,0xA01A5680,M_fam_0010,M_lookup_ax_X_Y_1CD3A0,M_fam_unkX_unkY_1CD3A0,1,hub=map_interp_M;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01C93A0,0x800AEEDA,,,0xA01A4670,,M_fam_0013,M_lookup_ax_X_Y_1C93A0,M_fam_unkX_unkY_1C93A0,1,hub=map_interp_M;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
