grid80,call_site,ram_x,ram_y,axis_x,axis_y,family_id,suggested_name,fam_label,cluster_n,notes
,0x8005B034,,,,,N_fam_0025,N_lookup_unresolved_05B034,N_fam_unkX_unkY_05B034,1,hub=map_interp_N;static_miss_indirect_d4d5;RE_not_OEM
0xA019A468,0x8007F14A,,,0xA01AA70C,0xA01A070C,N_fam_0007,N_lookup_ax_X_Y_19A468,N_fam_unkX_unkY_19A468,1,hub=map_interp_N;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA019C490,0x80085BD2,,,0xA01B4870,0xA01BCAF8,N_fam_0012,N_lookup_ax_X_Y_19C490,N_fam_unkX_unkY_19C490,1,hub=map_interp_N;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x8008A962,0xD000309A,0xD0001952,,,N_fam_0016,N_lookup_D000309A_x_D0001952,N_fam_D000309A_D0001952_08A962,1,hub=map_interp_N;d4=ld.hu_abs;d5=ld.hu_abs;RE_not_OEM
0xA019F638,0x8008C39A,,,,,N_fam_0026,N_lookup_unresolved_08C39A,N_fam_unkX_unkY_19F638,1,hub=map_interp_N;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA019BDD8,0x800A0378,0xD00019D2,,,,N_fam_0002,N_lookup_unresolved_0A0378,N_fam_D00019D2_unkY_19BDD8,3,hub=map_interp_N;d4=ld.hu_abs;static_miss_indirect_d4d5;RE_not_OEM
0xA019BDD8,0x800A0440,0xD00019D2,,,,N_fam_0002,N_lookup_unresolved_0A0440,N_fam_D00019D2_unkY_19BDD8,3,hub=map_interp_N;d4=ld.hu_abs;static_miss_indirect_d4d5;RE_not_OEM
0xA019BDC4,0x800A046C,0xD00019D2,,,,N_fam_0002,N_lookup_unresolved_0A046C,N_fam_D00019D2_unkY_19BDC4,3,hub=map_interp_N;d4=ld.hu_abs;static_miss_indirect_d4d5;RE_not_OEM
,0x800AEFC0,0xD0001F8C,0xD0001F90,0xA01A1484,0xA01A5518,N_fam_0006,N_lookup_D0001F8C_x_D0001F90,N_fam_D0001F8C_D0001F90_0AEFC0,1,ram_y=a15_at_call;hub=map_interp_N;d4=ld.hu_bo;d5=ld.hu_bo/indirect;RE_not_OEM
0xA01E88C8,0x800B5D86,,,,,N_fam_0027,N_lookup_unresolved_0B5D86,N_fam_unkX_unkY_1E88C8,1,hub=map_interp_N;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01F4D94,0x800C4996,0xD0001B94,,,,N_fam_0022,N_lookup_unresolved_0C4996,N_fam_D0001B94_unkY_1F4D94,1,hub=map_interp_N;d4=ld.hu_abs;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA019ADF4,0x800C8612,,,,,N_fam_0028,N_lookup_unresolved_0C8612,N_fam_unkX_unkY_19ADF4,1,hub=map_interp_N;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x800CE97A,,,0xA01AC868,0xA01BD8C0,N_fam_0004,N_lookup_ax_X_Y_0CE97A,N_fam_unkX_unkY_0CE97A,2,hub=map_interp_N;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA019C3E8,0x800CE9F0,,,0xA01AC868,0xA01BD8C0,N_fam_0004,N_lookup_ax_X_Y_19C3E8,N_fam_unkX_unkY_19C3E8,2,hub=map_interp_N;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01CF99C,0x800D0DE4,,,0xA01A54C0,,N_fam_0013,N_lookup_ax_X_Y_1CF99C,N_fam_unkX_unkY_1CF99C,1,hub=map_interp_N;static_miss_indirect_d4d5;RE_not_OEM
0xA01D7640,0x800D27DE,,,0xA01AC814,0xA01AC814,N_fam_0009,N_lookup_ax_X_Y_1D7640,N_fam_unkX_unkY_1D7640,1,hub=map_interp_N;d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01D6674,0x800D284E,,,,,N_fam_0029,N_lookup_unresolved_0D284E,N_fam_unkX_unkY_1D6674,1,hub=map_interp_N;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01E88DC,0x800D4E28,,,,,N_fam_0030,N_lookup_unresolved_0D4E28,N_fam_unkX_unkY_1E88DC,1,hub=map_interp_N;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
