grid80,call_site,ram_x,ram_y,axis_x,axis_y,family_id,suggested_name,fam_label,cluster_n,notes
0xA0185434,0x8005546C,,,,,O_fam_0013,O_lookup_unresolved_05546C,O_fam_unkX_unkY_185434,1,hub=map_interp_O;static_miss_indirect_d4d5;RE_not_OEM
0xA01F5CBC,0x80086D52,,,,,O_fam_0014,O_lookup_unresolved_086D52,O_fam_unkX_unkY_1F5CBC,1,hub=map_interp_O;static_miss_indirect_d4d5;RE_not_OEM
0xA01F5D44,0x80089190,,,,,O_fam_0015,O_lookup_unresolved_089190,O_fam_unkX_unkY_1F5D44,1,hub=map_interp_O;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01CD000,0x80096BAC,,,0xA01A8928,,O_fam_0004,O_lookup_ax_X_Y_1CD000,O_fam_unkX_unkY_1CD000,2,hub=map_interp_O;static_miss_indirect_d4d5;RE_not_OEM
0xA01D5040,0x80096BFC,,,0xA01A8928,,O_fam_0004,O_lookup_ax_X_Y_1D5040,O_fam_unkX_unkY_1D5040,2,hub=map_interp_O;static_miss_indirect_d4d5;RE_not_OEM
0xA01C0AA4,0x8009ACB8,,,0xA01B1874,0xA01B1874,O_fam_0003,O_lookup_ax_X_Y_1C0AA4,O_fam_unkX_unkY_1C0AA4,2,hub=map_interp_O;static_miss_indirect_d4d5;RE_not_OEM
0xA01C0AE4,0x8009AD22,0xD000241E,,0xA01B1874,0xA01B1874,O_fam_0003,O_lookup_ax_X_Y_1C0AE4,O_fam_D000241E_unkY_1C0AE4,2,hub=map_interp_O;d4=ld.hu_abs;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01C2A24,0x8009AE10,0xD000241C,,0xA01AAAC8,0xA01A9AC8,O_fam_0001,O_lookup_ax_X_Y_1C2A24,O_fam_D000241C_unkY_1C2A24,2,hub=map_interp_O;d4=ld.hu_abs;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01C2A24,0x8009AE28,0xD000241C,,0xA01AAAC8,0xA01A9AC8,O_fam_0001,O_lookup_ax_X_Y_1C2A24,O_fam_D000241C_unkY_1C2A24,2,hub=map_interp_O;d4=ld.hu_abs;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01C5A04,0x8009B05C,,0xD0002416,0xA01AAAE8,0xA01A9AE8,O_fam_0002,O_lookup_ax_X_Y_1C5A04,O_fam_unkX_D0002416_1C5A04,2,hub=map_interp_O;d4=ld.hu_bo/indirect;d5=ld.hu_abs;static_miss_indirect_d4d5;RE_not_OEM
0xA01C0A04,0x8009B074,,0xD0002416,0xA01AAAE8,0xA01A9AE8,O_fam_0002,O_lookup_ax_X_Y_1C0A04,O_fam_unkX_D0002416_1C0A04,2,hub=map_interp_O;d4=ld.hu_bo/indirect;d5=ld.hu_abs;static_miss_indirect_d4d5;RE_not_OEM
0xA01D0824,0x8009D546,,,,,O_fam_0016,O_lookup_unresolved_09D546,O_fam_unkX_unkY_1D0824,1,hub=map_interp_O;static_miss_indirect_d4d5;RE_not_OEM
0xA01D0824,0x8009DE6C,,0xD0001724,,,O_fam_0011,O_lookup_unresolved_09DE6C,O_fam_unkX_D0001724_1D0824,1,hub=map_interp_O;d4=ld.hu_bo/indirect;d5=ld.hu_abs;static_miss_indirect_d4d5;RE_not_OEM
0xA019CDF4,0x800A03A4,0xD00019D2,,,,O_fam_0005,O_lookup_unresolved_0A03A4,O_fam_D00019D2_unkY_19CDF4,2,hub=map_interp_O;d4=ld.hu_abs;static_miss_indirect_d4d5;RE_not_OEM
0xA019BDEC,0x800A0422,0xD00019D2,,,,O_fam_0005,O_lookup_unresolved_0A0422,O_fam_D00019D2_unkY_19BDEC,2,hub=map_interp_O;d4=ld.hu_abs;static_miss_indirect_d4d5;RE_not_OEM
0xA01CCEF4,0x800A5790,,,0xA01A5500,0xA01A14E4,O_fam_0006,O_lookup_ax_X_Y_1CCEF4,O_fam_unkX_unkY_1CCEF4,1,hub=map_interp_O;static_miss_indirect_d4d5;RE_not_OEM
0xA01C5794,0x800BCB30,,,,0xA01A0698,O_fam_0008,O_lookup_ax_X_Y_1C5794,O_fam_unkX_unkY_1C5794,1,hub=map_interp_O;static_miss_indirect_d4d5;RE_not_OEM
0xA019FDCC,0x80112C3A,,,,,O_fam_0017,O_lookup_unresolved_112C3A,O_fam_unkX_unkY_19FDCC,1,hub=map_interp_O;static_miss_indirect_d4d5;RE_not_OEM
0xA01CFA3C,0x80116C78,0xD0003154,,0xA01A04D0,,O_fam_0012,O_lookup_ax_X_Y_1CFA3C,O_fam_D0003154_unkY_1CFA3C,1,hub=map_interp_O;d4=ld.hu_abs;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01CDA20,0x80116DCA,0xD0003158,0xD0003158,,,O_fam_0010,O_lookup_D0003158_x_D0003158_1CDA20,O_fam_D0003158_D0003158_1CDA20,1,hub=map_interp_O;d4=ld.hu_bo+a14;d5=ld.hu_abs;RE_not_OEM
0xA019B6AC,0x801206FA,,,0xA01A92AC,,O_fam_0009,O_lookup_ax_X_Y_19B6AC,O_fam_unkX_unkY_19B6AC,1,hub=map_interp_O;static_miss_indirect_d4d5;RE_not_OEM
0xA01C8A24,0x801244F0,,,,,O_fam_0018,O_lookup_unresolved_1244F0,O_fam_unkX_unkY_1C8A24,1,hub=map_interp_O;d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
