grid80,call_site,ram_x,ram_y,axis_x,axis_y,family_id,suggested_name,fam_label,cluster_n,notes
0xA01CBE40,0x80074D4E,,,0xA01A2534,0xA01A3650,fam_0034,lookup_ax_X_Y_1CBE40,fam_unkX_unkY_1CBE40,1,static_miss_indirect_d4d5;hors=map_horsA2L_1CBE40;RE_not_OEM
0xA01CBE7C,0x80074D78,,,0xA01A2710,0xA01A365C,fam_0035,lookup_ax_X_Y_1CBE7C,fam_unkX_unkY_1CBE7C,1,static_miss_indirect_d4d5;hors=map_horsA2L_1CBE7C;RE_not_OEM
0xA01D1E64,0x80074DB2,,,0xA01A2710,0xA01AD8D0,fam_0036,lookup_ax_X_Y_1D1E64,fam_unkX_unkY_1D1E64,1,static_miss_indirect_d4d5;hors=map_horsA2L_1D1E64;RE_not_OEM
0xA01D0E48,0x80074DCE,,,0xA01A3708,0xA01AD8D0,fam_0040,lookup_ax_X_Y_1D0E48,fam_unkX_unkY_1D0E48,1,static_miss_indirect_d4d5;hors=map_horsA2L_1D0E48;RE_not_OEM
0xA01CEE20,0x80074E9C,,,0xA01B675C,0xA01AD8D0,fam_0086,lookup_ax_X_Y_1CEE20,fam_unkX_unkY_1CEE20,1,d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;hors=map_horsA2L_1CEE20;RE_not_OEM
0xA01CDE04,0x80074EBE,,,0xA01A2734,0xA01AD8D0,fam_0037,lookup_ax_X_Y_1CDE04,fam_unkX_unkY_1CDE04,1,d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;hors=map_horsA2L_1CDE04;RE_not_OEM
0xA019E480,0x8007BC86,,,0xA01A9218,0xA01A568C,fam_0063,lookup_ax_X_Y_19E480,fam_unkX_unkY_19E480,1,d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;hors=map_horsA2L_19E480;RE_not_OEM
0xA01C4994,0x8007D730,,,0xA01A0728,0xA01A0660,fam_0027,lookup_ax_X_Y_1C4994,fam_unkX_unkY_1C4994,1,d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;hors=map_horsA2L_1C4994;RE_not_OEM
0xA01C59B0,0x8007D762,,,0xA01A073C,0xA01A066C,fam_0028,lookup_ax_X_Y_1C59B0,fam_unkX_unkY_1C59B0,1,d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;hors=map_horsA2L_1C59B0;RE_not_OEM
0xA01C89FC,0x8007DB10,,0xD0002AC8,0xA01A1710,0xA01A1678,fam_0010,lookup_ax_X_Y_1C89FC,fam_unkX_D0002AC8_1C89FC,2,d4=ld.hu_bo/indirect;d5=ld.hu_bo;static_miss_indirect_d4d5;hors=map_horsA2L_1C89FC;RE_not_OEM
0xA01C89FC,0x8007E242,,,0xA01A1710,0xA01A1678,fam_0010,lookup_ax_X_Y_1C89FC,fam_unkX_unkY_1C89FC,2,d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA019F61C,0x8007F122,,,0xA01A070C,0xA01AA70C,fam_0026,lookup_ax_X_Y_19F61C,fam_unkX_unkY_19F61C,1,d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;hors=map_horsA2L_19F61C;RE_not_OEM
0xA019A468,0x8007F178,,,0xA01AB908,0xA01AE8E0,fam_0013,lookup_ax_X_Y_19A468,fam_unkX_unkY_19A468,2,d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
,0x8007F1AC,,,0xA01AB908,0xA01AE8E0,fam_0013,lookup_ax_X_Y_07F1AC,fam_unkX_unkY_07F1AC,2,d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;RE_not_OEM
0xA01D2DC4,0x80080B06,,,0xA01AA850,0xA01AE8FC,fam_0064,lookup_ax_X_Y_1D2DC4,fam_unkX_unkY_1D2DC4,1,d4=ld.hu_bo/indirect;static_miss_indirect_d4d5;hors=map_horsA2L_1D2DC4;RE_not_OEM
0xA01864A8,0x800819E2,0xD000194C,,,,fam_0125,lookup_unresolved_0819E2,fam_D000194C_unkY_1864A8,1,d4=ld.hu_abs;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;hors=map_horsA2L_1864A8;RE_not_OEM
0xA0184498,0x80081A9A,0xD00031EE,,,,fam_0009,lookup_unresolved_081A9A,fam_D00031EE_unkY_184498,3,d4=ld.hu_abs;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;hors=map_horsA2L_184498;RE_not_OEM
0xA01874B0,0x80081AF6,0xD00031EE,,,,fam_0009,lookup_unresolved_081AF6,fam_D00031EE_unkY_1874B0,3,d4=ld.hu_abs;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;hors=map_horsA2L_1874B0;RE_not_OEM
0xA01854A0,0x80081BAE,0xD00031EE,,,,fam_0009,lookup_unresolved_081BAE,fam_D00031EE_unkY_1854A0,3,d4=ld.hu_abs;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;hors=map_horsA2L_1854A0;RE_not_OEM
,0x80085F02,0xD0003028,,0xA01B6928,0xA01AC8E0,fam_0087,lookup_ax_X_Y_085F02,fam_D0003028_unkY_085F02,1,d4=ld.hu_abs;static_miss_indirect_d4d5;RE_not_OEM
0xA019947C,0x80085F44,,,0xA01B6928,0xA01B0938,fam_0088,lookup_ax_X_Y_19947C,fam_unkX_unkY_19947C,1,d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;hors=map_horsA2L_19947C;RE_not_OEM
0xA01CC29C,0x80087876,0xD000248E,0xD000247C,0xA01A6600,,fam_0115,lookup_D000248E_x_D000247C_1CC29C,fam_D000248E_D000247C_1CC29C,1,ram_x_from_lea;d4=ld.hu_bo/indirect;d5=ld.hu_abs;hors=map_horsA2L_1CC29C;RE_not_OEM
0xA01CA2BC,0x80087904,,,0xA01A88EC,0xA01A14C4,fam_0060,lookup_ax_X_Y_1CA2BC,fam_unkX_unkY_1CA2BC,1,d4=ld.hu_bo/indirect;d5=ld.hu_bo/indirect;static_miss_indirect_d4d5;hors=map_horsA2L_1CA2BC;RE_not_OEM
