addr,label,note
0xD0000414,ram_0414,label
0xD0000478,ram_0478,label
0xD0000CB6,ram_0CB6,label
0xD0001648,ram_1648,label
0xD0001652,ram_1652,label
0xD000165C,ram_165C,label
0xD00017B6,ram_17B6,label
0xD00017BA,ram_17BA,label
0xD00017BC,ram_17BC,label
0xD00017C0,ram_17C0,label
0xD00017D6,ram_17D6,label
0xD000191C,ram_191C,label
0xD0001944,ram_1944,label
0xD000194C,ram_194C,label
0xD0001A36,ram_1A36,label
0xD0001ADE,ram_1ADE,label
0xD0001B02,ram_1B02,label
0xD0001B04,ram_1B04,label
0xD0001B08,ram_1B08,label
0xD0001B0A,ram_1B0A,label
0xD0001B0C,ram_1B0C,label
0xD0001B4C,ram_1B4C,label
0xD0001B6A,ram_1B6A,label
0xD0001B7E,ram_1B7E,label
0xD0001DA2,ram_1DA2,label
0xD0001F22,ram_1F22,label
0xD0001F28,ram_1F28,label
0xD0001F2C,ram_1F2C,label
0xD0001F36,ram_1F36,label
0xD0001F5C,ram_1F5C,label
0xD0001F5E,ram_1F5E,label
0xD0001F60,ram_1F60,label
0xD0001F94,ram_1F94,label
0xD0001FA2,ram_1FA2,label
0xD00020AA,ram_20AA,label
0xD0002150,ram_2150,label
0xD0002198,ram_2198,KEEP_APP_r
0xD000219A,ram_219A,KEEP_nmot
0xD00021A0,ram_21A0,label
0xD00022A6,ram_22A6,label
0xD000239A,ram_239A,label
0xD0002444,ram_2444,label
0xD000247C,ram_247C,label
0xD0002480,ram_2480,KEEP_ram_2480
0xD000248E,ram_248E,label
0xD0002496,ram_2496,KEEP_ram_2496
0xD0002498,ram_2498,label
0xD000249A,ram_249A,label
0xD00025FE,ram_25FE,label
0xD000274C,ram_274C,label
0xD0002754,ram_2754,label
0xD000277E,ram_277E,label
0xD0002780,ram_2780,label
0xD0002782,ram_2782,label
0xD0002810,ram_2810,label
0xD000283A,ram_283A,label
0xD00029F8,ram_29F8,label
0xD0002A2E,ram_2A2E,label
0xD0002A36,ram_2A36,label
0xD0002AC8,ram_2AC8,label
0xD0002C10,ram_2C10,label
0xD0002C34,ram_2C34,label
0xD0002C4C,ram_2C4C,label
0xD0002D8C,ram_2D8C,label
0xD0002D9E,ram_2D9E,label
0xD0002E38,ram_2E38,label
0xD0002E7A,ram_2E7A,label
0xD0002E9E,ram_2E9E,label
0xD0002EAC,ram_2EAC,label
0xD0002F8C,ram_2F8C,label
0xD0002F8E,ram_2F8E,label
0xD0002FC2,ram_2FC2,KEEP_ram_2FC2
0xD0002FC4,ram_2FC4,KEEP_ram_2FC4
0xD0002FD6,ram_2FD6,label
0xD0002FFA,ram_2FFA,label
0xD0003028,ram_3028,label
0xD000302A,ram_302A,label
0xD0003182,ram_3182,label
0xD0003184,ram_3184,label
0xD00031E0,ram_31E0,label
0xD00031E2,ram_31E2,label
0xD00031EE,ram_31EE,label
0xD000566E,ram_566E,label
