# VA seeds for KickParents.py (auto D)
# generated by trace_ram_writers.py

0x80074ebe  duration interp_2d
0x8008736e  tqlim interp_2d_B
0x8008b592  LEA ram_1AB8 duration X
0x800cc48e  LEA APP_r AccPed X
0x800cc4aa  AccPed interp_2d
0x800cc4cc  WRITE nmot
0x800cc4f8  LEA APP_r AccPed X
0x800cc536  WRITE nmot
0x800cc562  LEA APP_r AccPed X
0x800cc5a0  WRITE nmot
0x800cc5cc  LEA APP_r AccPed X
0x800cc60a  WRITE nmot
0x800cc636  LEA APP_r AccPed X
0x800cc674  WRITE nmot
0x800cc69e  LEA APP_r AccPed X
0x800cc6dc  WRITE nmot
0x800cc706  LEA nmot
0x800cc728  WRITE APP_r AccPed X
0x800f4a38  WRITE ram_1D60 smoke X
0x800f4a48  smoke ram_1D60 first st.h
0x800f4a4c  WRITE ram_1D60 smoke X
0x800f4a60  WRITE ram_1D60 smoke X
0x800f4a74  WRITE ram_1D60 smoke X
0x800f4a88  WRITE ram_1D60 smoke X
0x800f4a9c  WRITE ram_1D60 smoke X
0x800f4ab0  WRITE ram_1D60 smoke X
0x800f4ae4  LEA ram_1D60 smoke X
0x800f4afa  WRITE ram_1D62 smoke Y
0x800f4b06  smoke ram_1D62 st.h
0x800f4b5e  LEA ram_1D62 smoke Y
0x800f4ba8  smoke interp_2d_B
0x800fb48e  LEA ram_2780 SOI X (near clutch)
0x800fb4cc  SOI interp_2d ram_2780
0x800fb6e0  WRITE ram_2780 SOI X (near clutch)
0x800fb7b4  clutch writer context (a10+0x88)
0x800fb7de  WRITE ram_273C clutch X (launch/hardcut)
0x800fb7fc  LEA ram_273C clutch X (launch/hardcut)
0x800fc260  LEA ram_2754 clutch Y
0x800fc2c8  SOI map_interp_C (clutch block)
0x800fc2ee  LEA ram_273C clutch X (launch/hardcut)
0x800fc314  clutch map_interp_C
