rank,category,confidence,id_name,family,winols,ghidra,hub,delta,map_start,same_9979,source,atlas_id,atlas_addr,atlas_cols,atlas_rows,atlas_length,folder,fam_label,call_site,notes
1,AccPed,high,AccPed_trq4A,AccPed_trq4A,0x1CFFC0,0x801CFFC0,2d,0x0,,0,hub,AccPed_trq4A@1CFFC0,1CFFC0,8,16,256,Engine torque request,fam_D0002198_unkY_1CFFC0,0x800CC4AA,high: empreinte diverse = famille AccPed_trq4A (Engine torque request) delta=0x0 cols=8 rows=16 src=a2l; differe de 9979 au meme offset; fp32=4ae970224d49 uniq_u16=29
2,AccPed,high,AccPed_trq4A@1D0640,AccPed_trq4A,0x1D0640,0x801D0640,atlas_start,0x0,0x1D0640,1,atlas_start,AccPed_trq4A@1D0640,1D0640,8,16,256,Engine torque request,,,high: atlas start fingerprint match cols=8 rows=16 src=atlas; identique vs ORI 9979; fp=fe9478c5c3a9 uniq=15 len=256
3,AccPed,high,AccPed_trq4A,AccPed_trq4A,0x1CFAE4,0x801CFAE4,F,0x24,,0,hub,AccPed_trq4A@1CFAC0,1CFAC0,8,16,256,Engine torque request,F_fam_unkX_unkY_1CFAE4,0x800EC250,high: empreinte diverse = famille AccPed_trq4A (Engine torque request) delta=0x24 cols=8 rows=16 src=a2l; differe de 9979 au meme offset; fp32=7a19e5133987 uniq_u16=29
4,AccPed,high,AccPed_trq4A,AccPed_trq4A,0x1CFCE4,0x801CFCE4,D,0x24,,0,hub,AccPed_trq4A@1CFCC0,1CFCC0,8,16,256,Engine torque request,D_fam_unkX_unkY_1CFCE4,0x800E2DFC,high: empreinte diverse = famille AccPed_trq4A (Engine torque request) delta=0x24 cols=8 rows=16 src=a2l; differe de 9979 au meme offset; fp32=7a19e5133987 uniq_u16=29
5,AccPed,medium,AccPed_trq4A,AccPed_trq4A,0x1D0AA8,0x801D0AA8,B,0x4C,0x1D0A5C,1,hub,AccPed_trq4A,1CF9C0,8,16,256,Engine torque request,B_fam_unkX_unkY_1D0AA8,0x8010FED6,medium: pointe DANS AccPed_trq4A @0x1D0A5C +0x4C (Engine torque request) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=4e23ee78a921 uniq_u16=29
6,AccPed,medium,AccPed_trq4A,AccPed_trq4A,0x1CFA30,0x801CFA30,C,0x70,0x1CF9C0,0,hub,AccPed_trq4A,1CF9C0,8,16,256,Engine torque request,C_fam_unkX_unkY_1CFA30,0x80116CAE,medium: pointe DANS AccPed_trq4A @0x1CF9C0 +0x70 (Engine torque request) - pas le debut; comment only; differe de 9979 au meme offset; fp32=b60a07b67dab uniq_u16=26
7,AccPed,medium,AccPed_trq4A,AccPed_trq4A,0x1D0ACC,0x801D0ACC,N,0x70,0x1D0A5C,1,hub,AccPed_trq4A,1CF9C0,8,16,256,Engine torque request,N_fam_unkX_unkY_1D0ACC,0x80116446,medium: pointe DANS AccPed_trq4A @0x1D0A5C +0x70 (Engine torque request) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=9c9061c2a997 uniq_u16=29
8,AccPed,medium,AccPed_trq4A,AccPed_trq4A,0x1CFA3C,0x801CFA3C,E,0x7C,0x1CF9C0,0,hub,AccPed_trq4A,1CF9C0,8,16,256,Engine torque request,E_fam_D0003154_unkY_1CFA3C,0x80116C8E,medium: pointe DANS AccPed_trq4A @0x1CF9C0 +0x7C (Engine torque request) - pas le debut; comment only; differe de 9979 au meme offset; fp32=78fffd206fe2 uniq_u16=22
9,AccPed,medium,AccPed_trq4A,AccPed_trq4A,0x1CFE3C,0x801CFE3C,C,0x7C,0x1CFDC0,0,hub,AccPed_trq4A@1CFDC0,1CFDC0,8,16,256,Engine torque request,C_fam_unkX_D0002AF6_1CFE3C,0x8007D838,medium: pointe DANS AccPed_trq4A @0x1CFDC0 +0x7C (Engine torque request) - pas le debut; comment only; differe de 9979 au meme offset; fp32=78fffd206fe2 uniq_u16=22
10,AccPed,medium,AccPed_trq4A,AccPed_trq4A,0x1D0ADC,0x801D0ADC,C,0x80,0x1D0A5C,1,hub,AccPed_trq4A,1CF9C0,8,16,256,Engine torque request,C_fam_unkX_unkY_1D0ADC,0x8008749C,medium: pointe DANS AccPed_trq4A @0x1D0A5C +0x80 (Engine torque request) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=134f2b3d642e uniq_u16=29
