Golf 9980 - Stage1 VALIDATED pack (auto)
Source: hub grids + atlas START fingerprints vs atlas 9979 / A2L
HIGH = rename OK (skip AccPed if already labeled) | MEDIUM = comment only

counts: unique_addrs=357  high=145  medium=212

=== CHECKLIST: HIGH (all) ===
  conf   Ghidra      WinOLS     category      id_name
  high   801CFFC0   1CFFC0     AccPed        AccPed_trq4A
  high   801D0640   1D0640     AccPed        AccPed_trq4A@1D0640
  high   801CFAE4   1CFAE4     AccPed        AccPed_trq4A
  high   801CFCE4   1CFCE4     AccPed        AccPed_trq4A
  high   801D0860   1D0860     clutch_prot   tqlim_cluth_prot
  high   801D3190   1D3190     tqlim         tqlim_base_pu_4A
  high   801CEED4   1CEED4     tqlim_other   tqlim_speed2A
  high   801D2C1C   1D2C1C     tqlim_other   tqlim_fuel_temp2
  high   801D3390   1D3390     tqlim_other   tqlim_fuel_temp2A
  high   801D35A8   1D35A8     tqlim_other   tqlim_tegt_temp
  high   801D1D18   1D1D18     smoke         smoke_mapA
  high   801D1FC4   1D1FC4     smoke         smoke_mapA@1D1FC4
  high   801D2270   1D2270     smoke         smoke_mapA@1D2270
  high   801D251C   1D251C     smoke         smoke_mapA@1D251C
  high   801D27C8   1D27C8     smoke         smoke_mapA@1D27C8
  high   801C04AC   1C04AC     turbo         turbo_base3B
  high   801C072C   1C072C     turbo         turbo_base3B@1C072C
  high   801C09AC   1C09AC     turbo         turbo_base3B@1C09AC
  high   801C0C2C   1C0C2C     turbo         turbo_base3B@1C0C2C
  high   801C0EAC   1C0EAC     turbo         turbo_base3B@1C0EAC
  high   801C112C   1C112C     turbo         turbo_base3B@1C112C
  high   801C13AC   1C13AC     turbo         turbo_base3B@1C13AC
  high   801C162C   1C162C     turbo         turbo_base3B@1C162C
  high   801C18AC   1C18AC     turbo         turbo_base3B@1C18AC
  high   801C1B2C   1C1B2C     turbo         turbo_base3B@1C1B2C
  high   801C1DAC   1C1DAC     turbo         turbo_base3B@1C1DAC
  high   801C202C   1C202C     turbo         turbo_base3B@1C202C
  high   801C2A2C   1C2A2C     turbo         turbo_base3B@1C2A2C
  high   801C2CAC   1C2CAC     turbo         turbo_base3B@1C2CAC
  high   801C2F2C   1C2F2C     turbo         turbo_base3B@1C2F2C
  high   801C31AC   1C31AC     turbo         turbo_base3B@1C31AC
  high   801C342C   1C342C     turbo         turbo_base3B@1C342C
  high   801C36AC   1C36AC     turbo         turbo_base3B@1C36AC
  high   801C09B0   1C09B0     turbo         turbo_base3B
  high   801C1B50   1C1B50     turbo         turbo_base3B
  high   801C206C   1C206C     turbo         turbo_base3B
  high   801C3AAC   1C3AAC     turbo_corr    turbo_int_trq_correction2C
  high   801C3DAC   1C3DAC     turbo_corr    turbo_int_trq_correction2C@1C3DAC
  high   801C40AC   1C40AC     turbo_corr    turbo_int_trq_correction2C@1C40AC
  high   801C43AC   1C43AC     turbo_corr    turbo_int_trq_correction2C@1C43AC
  high   801C46AC   1C46AC     turbo_corr    turbo_int_trq_correction2C@1C46AC
  high   801C58AC   1C58AC     turbo_corr    turbo_int_trq_correction2C@1C58AC
  high   801C5BAC   1C5BAC     turbo_corr    turbo_int_trq_correction2C@1C5BAC
  high   801C5EAC   1C5EAC     turbo_corr    turbo_int_trq_correction2C@1C5EAC
  high   801C67AC   1C67AC     turbo_corr    turbo_int_trq_correction2C@1C67AC
  high   801C3ABC   1C3ABC     turbo_corr    turbo_int_trq_correction2C
  high   801C3AC4   1C3AC4     turbo_corr    turbo_int_trq_correction2C
  high   801C692C   1C692C     turbo_other   turbo_atm6A
  high   801C6A2C   1C6A2C     turbo_other   turbo_atm6A@1C6A2C
  high   801E9368   1E9368     rail          rail_base_int_trq2B
  high   801E9768   1E9768     rail          rail_base_int_trq2B@1E9768
  high   801E9968   1E9968     rail          rail_base_int_trq2B@1E9968
  high   801E9B68   1E9B68     rail          rail_base_int_trq2B@1E9B68
  high   801E9D68   1E9D68     rail          rail_base_int_trq2B@1E9D68
  high   801E9F68   1E9F68     rail          rail_base_int_trq2B@1E9F68
  high   801EA168   1EA168     rail          rail_request_horsA2L_banque_01
  high   801EA368   1EA368     rail          rail_request_horsA2L_banque_02
  high   801EA568   1EA568     rail          rail_request_horsA2L_banque_03
  high   801EA768   1EA768     rail          rail_request_horsA2L_banque_04
  high   801EA968   1EA968     rail          rail_request_horsA2L_banque_05
  high   801EAB68   1EAB68     rail          rail_request_horsA2L_banque_06
  high   801EAD68   1EAD68     rail          rail_request_horsA2L_banque_07
  high   801EAF68   1EAF68     rail          rail_request_horsA2L_banque_08
  high   801EB168   1EB168     rail          rail_request_horsA2L_banque_09
  high   801EB368   1EB368     rail          rail_request_horsA2L_banque_10
  high   801EB568   1EB568     rail          rail_request_horsA2L_banque_11
  high   801EB768   1EB768     rail          rail_request_horsA2L_banque_12
  high   801EB968   1EB968     rail          rail_request_horsA2L_banque_13
  high   801EBB68   1EBB68     rail          rail_request_horsA2L_banque_14
  high   801EBDD8   1EBDD8     rail          rail_lim_horsA2L_A
  high   801EBE58   1EBE58     rail          rail_lim_horsA2L_B
  high   8018C380   18C380     soi           soi_base_int_trq2A
  high   8018C780   18C780     soi           soi_base_int_trq2A@18C780
  high   8018C980   18C980     soi           soi_base_int_trq2A@18C980
  high   8018CB80   18CB80     soi           soi_base_int_trq2A@18CB80
  high   8018CD80   18CD80     soi           soi_base_int_trq2A@18CD80
  high   8018CF80   18CF80     soi           soi_base_int_trq2A@18CF80
  high   8018D180   18D180     soi           soi_base_int_trq2A@18D180
  high   8018D380   18D380     soi           soi_base_int_trq2A@18D380
  high   8018D580   18D580     soi           soi_base_int_trq2A@18D580
  high   8018D980   18D980     soi           soi_base_int_trq2A@18D980
  high   8018DB80   18DB80     soi           soi_base_int_trq2A@18DB80
  high   8018DD80   18DD80     soi           soi_base_int_trq2A@18DD80
  high   8018DF80   18DF80     soi           soi_base_int_trq2A@18DF80
  high   8018E180   18E180     soi           soi_base_int_trq2A@18E180
  high   8018E380   18E380     soi           soi_base_int_trq2A@18E380
  high   8018E580   18E580     soi           soi_base_int_trq2A@18E580
  high   8018E780   18E780     soi           soi_base_int_trq2A@18E780
  high   8018E980   18E980     soi           soi_base_int_trq2A@18E980
  high   8018EB80   18EB80     soi           soi_base_int_trq2A@18EB80
  high   8018ED80   18ED80     soi           soi_base_int_trq2A@18ED80
  high   8018EF80   18EF80     soi           soi_base_int_trq2A@18EF80
  high   8018F180   18F180     soi           soi_base_int_trq2A@18F180
  high   8018F380   18F380     soi           soi_base_int_trq2A@18F380
  high   8018F580   18F580     soi           soi_base_int_trq2A@18F580
  high   8018F780   18F780     soi           soi_base_int_trq2A@18F780
  high   8018FF80   18FF80     soi           soi_base_int_trq2A@18FF80
  high   80190180   190180     soi           soi_base_int_trq2A@190180
  high   80190380   190380     soi           soi_base_int_trq2A@190380
  high   80190580   190580     soi           soi_base_int_trq2A@190580
  high   80190780   190780     soi           soi_base_int_trq2A@190780
  high   80190980   190980     soi           soi_base_int_trq2A@190980
  high   80195988   195988     soi           soi_base_int_trq2A
  high   8018D998   18D998     soi           soi_base_int_trq2A
  high   80195998   195998     soi           soi_base_int_trq2A
  high   80197998   197998     soi           soi_base_int_trq2A
  high   80196BC0   196BC0     soi           soi_base_int_trq2A
  high   801CDC84   1CDC84     duration      duration_inj6A
  high   801CDFE4   1CDFE4     duration      duration_inj6A@1CDFE4
  high   8018047C   18047C     speed_limiter vmax3
  high   8018047E   18047E     speed_limiter vmax3@18047E
  high   8018048A   18048A     speed_limiter vmax2
  high   8018048C   18048C     speed_limiter vmax2@18048C
  high   8018049E   18049E     speed_limiter vmax3@18049E
  high   801804A0   1804A0     speed_limiter vmax3@1804A0
  high   801804A2   1804A2     speed_limiter vmax3@1804A2
  high   801D0120   1D0120     egr_control   airctl_hysteresisC@1D0120
  high   801D0180   1D0180     egr_control   airctl_hysteresisC@1D0180
  high   801A0071   1A0071     dtc_dpf       DTC_P2002
  high   801A009D   1A009D     dtc_dpf       DTC_P2453
  high   801A01D1   1A01D1     dtc_dpf       DTC_P0471
  high   801A0229   1A0229     dtc_dpf       DTC_P2456
  high   801A1409   1A1409     dtc_dpf       DTC_P2463
  high   801A22A5   1A22A5     dtc_dpf       DTC_P3004
  high   801A2381   1A2381     dtc_dpf       DTC_P3005
  high   801A2959   1A2959     dtc_dpf       DTC_P2458
  high   801A32A1   1A32A1     dtc_dpf       DTC_P2454
  high   8019E809   19E809     dtc_egr       DTC_P1428
  high   801A06A1   1A06A1     dtc_egr       DTC_P2425
  high   801A06CD   1A06CD     dtc_egr       DTC_P2426
  high   801A06F9   1A06F9     dtc_egr       DTC_P2427
  high   801A0725   1A0725     dtc_egr       DTC_P0401
  high   801A0751   1A0751     dtc_egr       DTC_P0402
  high   801A0885   1A0885     dtc_egr       DTC_P0403
  high   801A0935   1A0935     dtc_egr       DTC_P0400
  high   801A0961   1A0961     dtc_egr       DTC_P1400
  high   801A3325   1A3325     dtc_egr       DTC_P0407
  high   8019FE09   19FE09     dtc_egt       DTC_P2080
  high   8019FE35   19FE35     dtc_egt       DTC_P242B
  high   801A2CC9   1A2CC9     dtc_egt       DTC_P0544
  high   801A2DA5   1A2DA5     dtc_egt       DTC_P246E
  high   801A2DD1   1A2DD1     dtc_egt       DTC_P0545
  high   801A32CD   1A32CD     dtc_egr_dpf   DTC_P046C
  high   8019E1AD   19E1AD     dtc_egr_com   DTC_U1112
  high   801A1931   1A1931     dtc_dpf_o2    DTC_P2626

=== CHECKLIST: best MEDIUM per family (clutch/rail/duration/soi/smoke/tqlim/vmax) ===
  conf   Ghidra      WinOLS     category      id_name  delta
  medium 801D086C   1D086C     clutch_prot   tqlim_cluth_prot  0xC
  medium 801D3928   1D3928     tqlim         tqlim_base8A  0x0
  medium 801D32CC   1D32CC     tqlim         tqlim_base_pu_4A  0x13C
  medium 801D144C   1D144C     smoke_maf     smoke_maf_trqA  0x34
  medium 801D0F34   1D0F34     smoke         smoke_mapA  0x8
  medium 801EBDF0   1EBDF0     rail          rail_lim_horsA2L_A  0x18
  medium 801EADB0   1EADB0     rail          rail_request_horsA2L_banque_07  0x48
  medium 801E9BC8   1E9BC8     rail          rail_base_int_trq2B  0x60
  medium 801EBBC8   1EBBC8     rail          rail_request_horsA2L_banque_14  0x60
  medium 801EB840   1EB840     rail          rail_request_horsA2L_banque_12  0xD8
  medium 801EACFC   1EACFC     rail          rail_request_horsA2L_banque_06  0x194
  medium 8018E9A0   18E9A0     soi           soi_base_int_trq2A  0x20
  medium 801CDE04   1CDE04     duration      duration_inj6A  0x180

=== AccPed (13) ===
  conf   Ghidra      WinOLS     id_name                  atlas
  high   801CFFC0   1CFFC0     AccPed_trq4A             8x16
  high   801D0640   1D0640     AccPed_trq4A@1D0640      8x16
  high   801CFAE4   1CFAE4     AccPed_trq4A             8x16
  high   801CFCE4   1CFCE4     AccPed_trq4A             8x16
  medium 801D0AA8   1D0AA8     AccPed_trq4A             8x16
